Ion = Helium      . Mass = 4.0026
Tgt = La (Solid). Density = 6.1738 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.557E+00  2.121E+00 
1.013E+00   7.606E+00  2.127E+00 
1.026E+00   7.655E+00  2.132E+00 
1.039E+00   7.705E+00  2.137E+00 
1.053E+00   7.755E+00  2.142E+00 
1.067E+00   7.805E+00  2.147E+00 
1.081E+00   7.856E+00  2.152E+00 
1.095E+00   7.907E+00  2.157E+00 
1.109E+00   7.958E+00  2.162E+00 
1.123E+00   8.009E+00  2.167E+00 
1.138E+00   8.061E+00  2.172E+00 
1.153E+00   8.113E+00  2.177E+00 
1.168E+00   8.166E+00  2.181E+00 
1.183E+00   8.219E+00  2.186E+00 
1.198E+00   8.272E+00  2.191E+00 
1.214E+00   8.326E+00  2.196E+00 
1.229E+00   8.380E+00  2.201E+00 
1.245E+00   8.434E+00  2.205E+00 
1.262E+00   8.489E+00  2.210E+00 
1.278E+00   8.544E+00  2.214E+00 
1.295E+00   8.599E+00  2.219E+00 
1.311E+00   8.655E+00  2.224E+00 
1.329E+00   8.711E+00  2.228E+00 
1.346E+00   8.767E+00  2.233E+00 
1.363E+00   8.824E+00  2.237E+00 
1.381E+00   8.881E+00  2.242E+00 
1.399E+00   8.939E+00  2.246E+00 
1.417E+00   8.996E+00  2.250E+00 
1.436E+00   9.055E+00  2.255E+00 
1.454E+00   9.113E+00  2.259E+00 
1.473E+00   9.172E+00  2.263E+00 
1.492E+00   9.232E+00  2.267E+00 
1.512E+00   9.292E+00  2.272E+00 
1.531E+00   9.352E+00  2.276E+00 
1.551E+00   9.412E+00  2.280E+00 
1.571E+00   9.473E+00  2.284E+00 
1.592E+00   9.535E+00  2.288E+00 
1.612E+00   9.596E+00  2.292E+00 
1.633E+00   9.659E+00  2.296E+00 
1.655E+00   9.721E+00  2.300E+00 
1.676E+00   9.784E+00  2.304E+00 
1.698E+00   9.847E+00  2.307E+00 
1.720E+00   9.911E+00  2.311E+00 
1.742E+00   9.975E+00  2.315E+00 
1.765E+00   1.004E+01  2.319E+00 
1.788E+00   1.011E+01  2.322E+00 
1.811E+00   1.017E+01  2.326E+00 
1.835E+00   1.024E+01  2.330E+00 
1.859E+00   1.030E+01  2.333E+00 
1.883E+00   1.037E+01  2.337E+00 
1.907E+00   1.044E+01  2.340E+00 
1.932E+00   1.050E+01  2.343E+00 
1.957E+00   1.057E+01  2.347E+00 
1.983E+00   1.064E+01  2.350E+00 
2.008E+00   1.071E+01  2.353E+00 
2.034E+00   1.078E+01  2.357E+00 
2.061E+00   1.085E+01  2.360E+00 
2.088E+00   1.092E+01  2.363E+00 
2.115E+00   1.099E+01  2.366E+00 
2.142E+00   1.106E+01  2.369E+00 
2.170E+00   1.113E+01  2.372E+00 
2.198E+00   1.120E+01  2.375E+00 
2.227E+00   1.128E+01  2.378E+00 
2.256E+00   1.135E+01  2.381E+00 
2.285E+00   1.142E+01  2.384E+00 
2.315E+00   1.150E+01  2.386E+00 
2.345E+00   1.157E+01  2.389E+00 
2.375E+00   1.165E+01  2.392E+00 
2.406E+00   1.172E+01  2.394E+00 
2.438E+00   1.180E+01  2.397E+00 
