Ion = Helium      . Mass = 4.0026
Tgt = Ce (Solid). Density = 6.6724 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.227E+00  2.135E+00 
1.013E+00   6.267E+00  2.140E+00 
1.026E+00   6.308E+00  2.145E+00 
1.039E+00   6.349E+00  2.150E+00 
1.053E+00   6.390E+00  2.155E+00 
1.067E+00   6.431E+00  2.160E+00 
1.081E+00   6.473E+00  2.165E+00 
1.095E+00   6.515E+00  2.171E+00 
1.109E+00   6.557E+00  2.176E+00 
1.123E+00   6.600E+00  2.181E+00 
1.138E+00   6.642E+00  2.185E+00 
1.153E+00   6.685E+00  2.190E+00 
1.168E+00   6.729E+00  2.195E+00 
1.183E+00   6.772E+00  2.200E+00 
1.198E+00   6.816E+00  2.205E+00 
1.214E+00   6.860E+00  2.210E+00 
1.229E+00   6.905E+00  2.215E+00 
1.245E+00   6.949E+00  2.219E+00 
1.262E+00   6.994E+00  2.224E+00 
1.278E+00   7.040E+00  2.229E+00 
1.295E+00   7.085E+00  2.233E+00 
1.311E+00   7.131E+00  2.238E+00 
1.329E+00   7.177E+00  2.243E+00 
1.346E+00   7.224E+00  2.247E+00 
1.363E+00   7.271E+00  2.252E+00 
1.381E+00   7.318E+00  2.256E+00 
1.399E+00   7.365E+00  2.261E+00 
1.417E+00   7.413E+00  2.265E+00 
1.436E+00   7.461E+00  2.269E+00 
1.454E+00   7.509E+00  2.274E+00 
1.473E+00   7.558E+00  2.278E+00 
1.492E+00   7.607E+00  2.282E+00 
1.512E+00   7.656E+00  2.287E+00 
1.531E+00   7.706E+00  2.291E+00 
1.551E+00   7.756E+00  2.295E+00 
1.571E+00   7.806E+00  2.299E+00 
1.592E+00   7.856E+00  2.303E+00 
1.612E+00   7.907E+00  2.307E+00 
1.633E+00   7.959E+00  2.311E+00 
1.655E+00   8.010E+00  2.315E+00 
1.676E+00   8.062E+00  2.319E+00 
1.698E+00   8.114E+00  2.323E+00 
1.720E+00   8.167E+00  2.327E+00 
1.742E+00   8.220E+00  2.331E+00 
1.765E+00   8.273E+00  2.334E+00 
1.788E+00   8.326E+00  2.338E+00 
1.811E+00   8.380E+00  2.342E+00 
1.835E+00   8.435E+00  2.345E+00 
1.859E+00   8.489E+00  2.349E+00 
1.883E+00   8.544E+00  2.353E+00 
1.907E+00   8.600E+00  2.356E+00 
1.932E+00   8.655E+00  2.360E+00 
1.957E+00   8.711E+00  2.363E+00 
1.983E+00   8.768E+00  2.366E+00 
2.008E+00   8.825E+00  2.370E+00 
2.034E+00   8.882E+00  2.373E+00 
2.061E+00   8.939E+00  2.376E+00 
2.088E+00   8.997E+00  2.379E+00 
2.115E+00   9.056E+00  2.383E+00 
2.142E+00   9.114E+00  2.386E+00 
2.170E+00   9.173E+00  2.389E+00 
2.198E+00   9.233E+00  2.392E+00 
2.227E+00   9.292E+00  2.395E+00 
2.256E+00   9.353E+00  2.398E+00 
2.285E+00   9.413E+00  2.400E+00 
2.315E+00   9.474E+00  2.403E+00 
2.345E+00   9.536E+00  2.406E+00 
2.375E+00   9.597E+00  2.409E+00 
2.406E+00   9.659E+00  2.411E+00 
2.438E+00   9.722E+00  2.414E+00 
2.469E+00   9.785E+00  2.417E+00 
2.501E+00   9.848E+00  2.419E+00 
2.534E+00   9.912E+00  2.422E+00 
2.567E+00   9.976E+00  2.424E+00 
2.600E+00   1.004E+01  2.426E+00 
2.634E+00   1.011E+01  2.429E+00 
2.668E+00   1.017E+01  2.431E+00 
2.703E+00   1.024E+01  2.433E+00 
2.738E+00   1.030E+01  2.435E+00 
2.773E+00   1.037E+01  2.437E+00 
2.810E+00   1.044E+01  2.439E+00 
2.846E+00   1.051E+01  2.441E+00 
2.883E+00   1.057E+01  2.443E+00 
2.921E+00   1.064E+01  2.445E+00 
2.958E+00   1.071E+01  2.447E+00 
2.997E+00   1.078E+01  2.449E+00 
3.036E+00   1.085E+01  2.451E+00 
3.075E+00   1.092E+01  2.452E+00 
3.115E+00   1.099E+01  2.454E+00 
3.156E+00   1.106E+01  2.455E+00 
3.197E+00   1.113E+01  2.457E+00 
3.238E+00   1.121E+01  2.458E+00 
3.280E+00   1.128E+01  2.460E+00 
3.323E+00   1.135E+01  2.461E+00 
3.366E+00   1.142E+01  2.462E+00 
3.410E+00   1.150E+01  2.463E+00 
3.454E+00   1.157E+01  2.465E+00 
3.499E+00   1.165E+01  2.466E+00 
3.545E+00   1.172E+01  2.467E+00 
3.591E+00   1.180E+01  2.468E+00 
3.637E+00   1.188E+01  2.469E+00 
3.685E+00   1.195E+01  2.469E+00 
3.733E+00   1.203E+01  2.470E+00 
3.781E+00   1.211E+01  2.471E+00 
3.830E+00   1.219E+01  2.472E+00 
3.880E+00   1.227E+01  2.472E+00 
3.930E+00   1.235E+01  2.473E+00 
3.982E+00   1.243E+01  2.473E+00 
4.033E+00   1.251E+01  2.473E+00 
4.086E+00   1.259E+01  2.474E+00 
4.139E+00   1.267E+01  2.474E+00 
4.193E+00   1.275E+01  2.474E+00 
4.247E+00   1.283E+01  2.474E+00 
4.302E+00   1.292E+01  2.475E+00 
4.358E+00   1.300E+01  2.475E+00 
4.415E+00   1.308E+01  2.475E+00 
4.472E+00   1.317E+01  2.474E+00 
4.530E+00   1.325E+01  2.474E+00 
4.589E+00   1.334E+01  2.474E+00 
4.649E+00   1.343E+01  2.474E+00 
4.709E+00   1.351E+01  2.473E+00 
4.770E+00   1.360E+01  2.473E+00 
4.832E+00   1.369E+01  2.472E+00 
4.895E+00   1.378E+01  2.472E+00 
4.959E+00   1.387E+01  2.471E+00 
5.023E+00   1.396E+01  2.470E+00 
5.089E+00   1.405E+01  2.470E+00 
5.155E+00   1.414E+01  2.469E+00 
5.222E+00   1.423E+01  2.468E+00 
5.290E+00   1.432E+01  2.467E+00 
5.358E+00   1.441E+01  2.466E+00 
5.428E+00   1.451E+01  2.465E+00 
5.499E+00   1.460E+01  2.464E+00 
5.570E+00   1.470E+01  2.462E+00 
5.642E+00   1.479E+01  2.461E+00 
5.716E+00   1.489E+01  2.460E+00 
5.790E+00   1.498E+01  2.458E+00 
5.865E+00   1.508E+01  2.457E+00 
5.942E+00   1.518E+01  2.455E+00 
6.019E+00   1.528E+01  2.454E+00 
6.097E+00   1.538E+01  2.452E+00 
6.176E+00   1.548E+01  2.450E+00 
6.256E+00   1.558E+01  2.448E+00 
6.338E+00   1.568E+01  2.446E+00 
6.420E+00   1.578E+01  2.444E+00 
6.504E+00   1.588E+01  2.442E+00 
6.588E+00   1.598E+01  2.440E+00 
6.674E+00   1.609E+01  2.438E+00 
6.760E+00   1.619E+01  2.436E+00 
6.848E+00   1.630E+01  2.433E+00 
6.937E+00   1.640E+01  2.431E+00 
7.027E+00   1.651E+01  2.428E+00 
7.119E+00   1.661E+01  2.426E+00 
7.211E+00   1.672E+01  2.423E+00 
7.305E+00   1.683E+01  2.421E+00 
7.400E+00   1.694E+01  2.418E+00 
7.496E+00   1.705E+01  2.415E+00 
7.594E+00   1.716E+01  2.412E+00 
7.692E+00   1.727E+01  2.409E+00 
7.792E+00   1.738E+01  2.406E+00 
7.894E+00   1.750E+01  2.403E+00 
7.996E+00   1.761E+01  2.400E+00 
8.100E+00   1.772E+01  2.397E+00 
8.205E+00   1.784E+01  2.393E+00 
8.312E+00   1.796E+01  2.390E+00 
8.420E+00   1.808E+01  2.386E+00 
8.529E+00   1.820E+01  2.383E+00 
8.640E+00   1.832E+01  2.379E+00 
8.753E+00   1.844E+01  2.376E+00 
8.866E+00   1.856E+01  2.372E+00 
8.982E+00   1.869E+01  2.368E+00 
9.098E+00   1.881E+01  2.364E+00 
9.217E+00   1.894E+01  2.360E+00 
9.336E+00   1.907E+01  2.356E+00 
9.458E+00   1.920E+01  2.352E+00 
9.581E+00   1.933E+01  2.348E+00 
9.705E+00   1.946E+01  2.344E+00 
9.831E+00   1.959E+01  2.340E+00 
9.959E+00   1.972E+01  2.335E+00 
1.009E+01   1.986E+01  2.331E+00 
1.022E+01   1.999E+01  2.327E+00 
1.035E+01   2.013E+01  2.322E+00 
1.049E+01   2.027E+01  2.318E+00 
1.062E+01   2.041E+01  2.313E+00 
1.076E+01   2.055E+01  2.308E+00 
1.090E+01   2.069E+01  2.303E+00 
1.104E+01   2.083E+01  2.299E+00 
1.119E+01   2.098E+01  2.294E+00 
1.133E+01   2.112E+01  2.289E+00 
1.148E+01   2.127E+01  2.284E+00 
1.163E+01   2.142E+01  2.279E+00 
1.178E+01   2.157E+01  2.273E+00 
1.193E+01   2.172E+01  2.268E+00 
1.209E+01   2.187E+01  2.263E+00 
1.224E+01   2.203E+01  2.258E+00 
1.240E+01   2.218E+01  2.252E+00 
1.256E+01   2.234E+01  2.247E+00 
1.273E+01   2.250E+01  2.241E+00 
1.289E+01   2.265E+01  2.236E+00 
1.306E+01   2.282E+01  2.230E+00 
1.323E+01   2.298E+01  2.224E+00 
1.340E+01   2.314E+01  2.219E+00 
1.358E+01   2.331E+01  2.213E+00 
1.375E+01   2.347E+01  2.207E+00 
1.393E+01   2.364E+01  2.201E+00 
1.411E+01   2.381E+01  2.195E+00 
1.430E+01   2.398E+01  2.189E+00 
1.448E+01   2.416E+01  2.183E+00 
1.467E+01   2.433E+01  2.177E+00 
1.486E+01   2.451E+01  2.171E+00 
1.505E+01   2.468E+01  2.164E+00 
1.525E+01   2.486E+01  2.158E+00 
1.545E+01   2.504E+01  2.152E+00 
1.565E+01   2.522E+01  2.145E+00 
1.585E+01   2.541E+01  2.139E+00 
1.606E+01   2.559E+01  2.132E+00 
1.627E+01   2.578E+01  2.126E+00 
1.648E+01   2.597E+01  2.119E+00 
1.669E+01   2.616E+01  2.112E+00 
1.691E+01   2.635E+01  2.106E+00 
1.713E+01   2.655E+01  2.099E+00 
1.735E+01   2.674E+01  2.092E+00 
1.758E+01   2.694E+01  2.085E+00 
1.781E+01   2.714E+01  2.078E+00 
