Ion = Helium      . Mass = 4.0026
Tgt = Pr (Solid). Density = 6.773 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.321E+00  2.124E+00 
1.013E+00   5.356E+00  2.129E+00 
1.026E+00   5.390E+00  2.135E+00 
1.039E+00   5.425E+00  2.140E+00 
1.053E+00   5.461E+00  2.146E+00 
1.067E+00   5.496E+00  2.151E+00 
1.081E+00   5.531E+00  2.156E+00 
1.095E+00   5.567E+00  2.162E+00 
1.109E+00   5.603E+00  2.167E+00 
1.123E+00   5.640E+00  2.172E+00 
1.138E+00   5.676E+00  2.177E+00 
1.153E+00   5.713E+00  2.183E+00 
1.168E+00   5.750E+00  2.188E+00 
1.183E+00   5.787E+00  2.193E+00 
1.198E+00   5.825E+00  2.198E+00 
1.214E+00   5.862E+00  2.203E+00 
1.229E+00   5.900E+00  2.208E+00 
1.245E+00   5.939E+00  2.213E+00 
1.262E+00   5.977E+00  2.218E+00 
1.278E+00   6.016E+00  2.223E+00 
1.295E+00   6.055E+00  2.228E+00 
1.311E+00   6.094E+00  2.233E+00 
1.329E+00   6.133E+00  2.238E+00 
1.346E+00   6.173E+00  2.243E+00 
1.363E+00   6.213E+00  2.248E+00 
1.381E+00   6.253E+00  2.253E+00 
1.399E+00   6.294E+00  2.257E+00 
1.417E+00   6.335E+00  2.262E+00 
1.436E+00   6.376E+00  2.267E+00 
1.454E+00   6.417E+00  2.271E+00 
1.473E+00   6.459E+00  2.276E+00 
1.492E+00   6.500E+00  2.281E+00 
1.512E+00   6.543E+00  2.285E+00 
1.531E+00   6.585E+00  2.290E+00 
1.551E+00   6.628E+00  2.294E+00 
1.571E+00   6.670E+00  2.298E+00 
1.592E+00   6.714E+00  2.303E+00 
1.612E+00   6.757E+00  2.307E+00 
1.633E+00   6.801E+00  2.312E+00 
1.655E+00   6.845E+00  2.316E+00 
1.676E+00   6.889E+00  2.320E+00 
1.698E+00   6.934E+00  2.324E+00 
1.720E+00   6.979E+00  2.329E+00 
1.742E+00   7.024E+00  2.333E+00 
1.765E+00   7.070E+00  2.337E+00 
1.788E+00   7.115E+00  2.341E+00 
1.811E+00   7.161E+00  2.345E+00 
1.835E+00   7.208E+00  2.349E+00 
1.859E+00   7.255E+00  2.353E+00 
1.883E+00   7.302E+00  2.357E+00 
1.907E+00   7.349E+00  2.360E+00 
1.932E+00   7.396E+00  2.364E+00 
1.957E+00   7.444E+00  2.368E+00 
1.983E+00   7.493E+00  2.372E+00 
2.008E+00   7.541E+00  2.375E+00 
2.034E+00   7.590E+00  2.379E+00 
2.061E+00   7.639E+00  2.382E+00 
2.088E+00   7.689E+00  2.386E+00 
2.115E+00   7.738E+00  2.390E+00 
2.142E+00   7.788E+00  2.393E+00 
2.170E+00   7.839E+00  2.396E+00 
2.198E+00   7.890E+00  2.400E+00 
2.227E+00   7.941E+00  2.403E+00 
2.256E+00   7.992E+00  2.406E+00 
2.285E+00   8.044E+00  2.409E+00 
2.315E+00   8.096E+00  2.413E+00 
2.345E+00   8.149E+00  2.416E+00 
2.375E+00   8.201E+00  2.419E+00 
2.406E+00   8.254E+00  2.422E+00 
2.438E+00   8.308E+00  2.425E+00 
2.469E+00   8.362E+00  2.428E+00 
2.501E+00   8.416E+00  2.430E+00 
2.534E+00   8.470E+00  2.433E+00 
2.567E+00   8.525E+00  2.436E+00 
2.600E+00   8.581E+00  2.439E+00 
2.634E+00   8.636E+00  2.441E+00 
2.668E+00   8.692E+00  2.444E+00 
2.703E+00   8.748E+00  2.446E+00 
2.738E+00   8.805E+00  2.449E+00 
2.773E+00   8.862E+00  2.451E+00 
2.810E+00   8.919E+00  2.454E+00 
2.846E+00   8.977E+00  2.456E+00 
2.883E+00   9.035E+00  2.458E+00 
2.921E+00   9.094E+00  2.460E+00 
2.958E+00   9.153E+00  2.463E+00 
2.997E+00   9.212E+00  2.465E+00 
3.036E+00   9.272E+00  2.467E+00 
3.075E+00   9.332E+00  2.469E+00 
3.115E+00   9.392E+00  2.471E+00 
3.156E+00   9.453E+00  2.473E+00 
3.197E+00   9.514E+00  2.474E+00 
3.238E+00   9.576E+00  2.476E+00 
3.280E+00   9.638E+00  2.478E+00 
3.323E+00   9.700E+00  2.479E+00 
3.366E+00   9.763E+00  2.481E+00 
3.410E+00   9.826E+00  2.482E+00 
3.454E+00   9.890E+00  2.484E+00 
3.499E+00   9.954E+00  2.485E+00 
3.545E+00   1.002E+01  2.487E+00 
3.591E+00   1.008E+01  2.488E+00 
3.637E+00   1.015E+01  2.489E+00 
3.685E+00   1.021E+01  2.490E+00 
3.733E+00   1.028E+01  2.491E+00 
3.781E+00   1.035E+01  2.492E+00 
3.830E+00   1.041E+01  2.493E+00 
3.880E+00   1.048E+01  2.494E+00 
3.930E+00   1.055E+01  2.495E+00 
3.982E+00   1.062E+01  2.496E+00 
4.033E+00   1.069E+01  2.496E+00 
4.086E+00   1.076E+01  2.497E+00 
