Ion = Helium      . Mass = 4.0026
Tgt =  C (Solid). Density = 2.253 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.812E+00  3.592E+00 
1.013E+00   2.830E+00  3.584E+00 
1.026E+00   2.849E+00  3.576E+00 
1.039E+00   2.867E+00  3.567E+00 
1.053E+00   2.886E+00  3.559E+00 
1.067E+00   2.904E+00  3.550E+00 
1.081E+00   2.923E+00  3.541E+00 
1.095E+00   2.942E+00  3.532E+00 
1.109E+00   2.961E+00  3.523E+00 
1.123E+00   2.980E+00  3.514E+00 
1.138E+00   3.000E+00  3.505E+00 
1.153E+00   3.019E+00  3.496E+00 
1.168E+00   3.039E+00  3.486E+00 
1.183E+00   3.058E+00  3.477E+00 
1.198E+00   3.078E+00  3.467E+00 
1.214E+00   3.098E+00  3.458E+00 
1.229E+00   3.118E+00  3.448E+00 
1.245E+00   3.138E+00  3.438E+00 
1.262E+00   3.159E+00  3.428E+00 
1.278E+00   3.179E+00  3.418E+00 
1.295E+00   3.200E+00  3.408E+00 
1.311E+00   3.221E+00  3.398E+00 
1.329E+00   3.241E+00  3.387E+00 
1.346E+00   3.262E+00  3.377E+00 
1.363E+00   3.284E+00  3.366E+00 
1.381E+00   3.305E+00  3.356E+00 
1.399E+00   3.326E+00  3.345E+00 
1.417E+00   3.348E+00  3.335E+00 
1.436E+00   3.369E+00  3.324E+00 
1.454E+00   3.391E+00  3.313E+00 
1.473E+00   3.413E+00  3.302E+00 
1.492E+00   3.435E+00  3.291E+00 
1.512E+00   3.458E+00  3.280E+00 
1.531E+00   3.480E+00  3.268E+00 
1.551E+00   3.502E+00  3.257E+00 
1.571E+00   3.525E+00  3.246E+00 
1.592E+00   3.548E+00  3.234E+00 
1.612E+00   3.571E+00  3.223E+00 
1.633E+00   3.594E+00  3.211E+00 
1.655E+00   3.617E+00  3.200E+00 
1.676E+00   3.641E+00  3.188E+00 
1.698E+00   3.664E+00  3.176E+00 
1.720E+00   3.688E+00  3.164E+00 
1.742E+00   3.712E+00  3.152E+00 
1.765E+00   3.736E+00  3.140E+00 
1.788E+00   3.760E+00  3.128E+00 
1.811E+00   3.785E+00  3.116E+00 
1.835E+00   3.809E+00  3.104E+00 
1.859E+00   3.834E+00  3.092E+00 
1.883E+00   3.859E+00  3.079E+00 
1.907E+00   3.884E+00  3.067E+00 
1.932E+00   3.909E+00  3.055E+00 
1.957E+00   3.934E+00  3.042E+00 
1.983E+00   3.960E+00  3.030E+00 
2.008E+00   3.985E+00  3.017E+00 
2.034E+00   4.011E+00  3.005E+00 
2.061E+00   4.037E+00  2.992E+00 
2.088E+00   4.063E+00  2.979E+00 
2.115E+00   4.090E+00  2.966E+00 
2.142E+00   4.116E+00  2.954E+00 
2.170E+00   4.143E+00  2.941E+00 
2.198E+00   4.170E+00  2.928E+00 
2.227E+00   4.197E+00  2.915E+00 
2.256E+00   4.224E+00  2.902E+00 
2.285E+00   4.251E+00  2.889E+00 
2.315E+00   4.279E+00  2.876E+00 
2.345E+00   4.306E+00  2.863E+00 
2.375E+00   4.334E+00  2.850E+00 
2.406E+00   4.362E+00  2.837E+00 
2.438E+00   4.391E+00  2.824E+00 
2.469E+00   4.419E+00  2.810E+00 
2.501E+00   4.448E+00  2.797E+00 
2.534E+00   4.476E+00  2.784E+00 
2.567E+00   4.505E+00  2.771E+00 
2.600E+00   4.535E+00  2.757E+00 
2.634E+00   4.564E+00  2.744E+00 
2.668E+00   4.594E+00  2.731E+00 
2.703E+00   4.623E+00  2.717E+00 
2.738E+00   4.653E+00  2.704E+00 
2.773E+00   4.683E+00  2.690E+00 
2.810E+00   4.714E+00  2.677E+00 
2.846E+00   4.744E+00  2.664E+00 
2.883E+00   4.775E+00  2.650E+00 
2.921E+00   4.806E+00  2.637E+00 
2.958E+00   4.837E+00  2.623E+00 
2.997E+00   4.868E+00  2.610E+00 
3.036E+00   4.900E+00  2.596E+00 
3.075E+00   4.932E+00  2.583E+00 
3.115E+00   4.964E+00  2.569E+00 
3.156E+00   4.996E+00  2.555E+00 
3.197E+00   5.028E+00  2.542E+00 
3.238E+00   5.061E+00  2.528E+00 
3.280E+00   5.093E+00  2.515E+00 
3.323E+00   5.126E+00  2.501E+00 
3.366E+00   5.160E+00  2.488E+00 
3.410E+00   5.193E+00  2.474E+00 
3.454E+00   5.227E+00  2.460E+00 
3.499E+00   5.261E+00  2.447E+00 
3.545E+00   5.295E+00  2.433E+00 
3.591E+00   5.329E+00  2.420E+00 
3.637E+00   5.363E+00  2.406E+00 
3.685E+00   5.398E+00  2.393E+00 
3.733E+00   5.433E+00  2.379E+00 
3.781E+00   5.468E+00  2.366E+00 
3.830E+00   5.504E+00  2.352E+00 
3.880E+00   5.539E+00  2.338E+00 
3.930E+00   5.575E+00  2.325E+00 
3.982E+00   5.611E+00  2.311E+00 
4.033E+00   5.648E+00  2.298E+00 
4.086E+00   5.684E+00  2.284E+00 
4.139E+00   5.721E+00  2.271E+00 
4.193E+00   5.758E+00  2.258E+00 
4.247E+00   5.795E+00  2.244E+00 
4.302E+00   5.833E+00  2.231E+00 
4.358E+00   5.871E+00  2.217E+00 
4.415E+00   5.909E+00  2.204E+00 
4.472E+00   5.947E+00  2.190E+00 
4.530E+00   5.986E+00  2.177E+00 
4.589E+00   6.024E+00  2.164E+00 
4.649E+00   6.063E+00  2.151E+00 
4.709E+00   6.103E+00  2.137E+00 
4.770E+00   6.142E+00  2.124E+00 
4.832E+00   6.182E+00  2.111E+00 
4.895E+00   6.222E+00  2.098E+00 
4.959E+00   6.262E+00  2.084E+00 
5.023E+00   6.303E+00  2.071E+00 
5.089E+00   6.344E+00  2.058E+00 
5.155E+00   6.385E+00  2.045E+00 
5.222E+00   6.426E+00  2.032E+00 
5.290E+00   6.468E+00  2.019E+00 
5.358E+00   6.510E+00  2.006E+00 
5.428E+00   6.552E+00  1.993E+00 
5.499E+00   6.594E+00  1.980E+00 
5.570E+00   6.637E+00  1.967E+00 
5.642E+00   6.680E+00  1.954E+00 
5.716E+00   6.723E+00  1.941E+00 
5.790E+00   6.767E+00  1.928E+00 
5.865E+00   6.811E+00  1.916E+00 
5.942E+00   6.855E+00  1.903E+00 
6.019E+00   6.899E+00  1.890E+00 
6.097E+00   6.944E+00  1.878E+00 
6.176E+00   6.989E+00  1.865E+00 
6.256E+00   7.034E+00  1.852E+00 
6.338E+00   7.080E+00  1.840E+00 
6.420E+00   7.125E+00  1.827E+00 
6.504E+00   7.172E+00  1.815E+00 
6.588E+00   7.218E+00  1.802E+00 
6.674E+00   7.265E+00  1.790E+00 
6.760E+00   7.312E+00  1.778E+00 
6.848E+00   7.359E+00  1.765E+00 
6.937E+00   7.407E+00  1.753E+00 
7.027E+00   7.455E+00  1.741E+00 
7.119E+00   7.503E+00  1.729E+00 
7.211E+00   7.552E+00  1.717E+00 
7.305E+00   7.601E+00  1.705E+00 
7.400E+00   7.650E+00  1.692E+00 
7.496E+00   7.700E+00  1.680E+00 
7.594E+00   7.749E+00  1.669E+00 
7.692E+00   7.800E+00  1.657E+00 
7.792E+00   7.850E+00  1.645E+00 
7.894E+00   7.901E+00  1.633E+00 
7.996E+00   7.952E+00  1.621E+00 
8.100E+00   8.003E+00  1.609E+00 
8.205E+00   8.055E+00  1.598E+00 
8.312E+00   8.107E+00  1.586E+00 
8.420E+00   8.159E+00  1.575E+00 
8.529E+00   8.211E+00  1.563E+00 
8.640E+00   8.264E+00  1.552E+00 
8.753E+00   8.318E+00  1.540E+00 
8.866E+00   8.371E+00  1.529E+00 
8.982E+00   8.425E+00  1.518E+00 
9.098E+00   8.480E+00  1.506E+00 
9.217E+00   8.534E+00  1.495E+00 
9.336E+00   8.589E+00  1.484E+00 
9.458E+00   8.645E+00  1.473E+00 
9.581E+00   8.701E+00  1.462E+00 
9.705E+00   8.757E+00  1.451E+00 
9.831E+00   8.814E+00  1.440E+00 
9.959E+00   8.870E+00  1.429E+00 
1.009E+01   8.928E+00  1.418E+00 
1.022E+01   8.986E+00  1.407E+00 
1.035E+01   9.044E+00  1.397E+00 
1.049E+01   9.102E+00  1.386E+00 
1.062E+01   9.161E+00  1.375E+00 
1.076E+01   9.220E+00  1.365E+00 
1.090E+01   9.280E+00  1.354E+00 
1.104E+01   9.340E+00  1.344E+00 
1.119E+01   9.401E+00  1.333E+00 
1.133E+01   9.462E+00  1.323E+00 
1.148E+01   9.523E+00  1.313E+00 
1.163E+01   9.585E+00  1.302E+00 
1.178E+01   9.647E+00  1.292E+00 
1.193E+01   9.709E+00  1.282E+00 
1.209E+01   9.772E+00  1.272E+00 
1.224E+01   9.835E+00  1.262E+00 
1.240E+01   9.899E+00  1.252E+00 
1.256E+01   9.963E+00  1.242E+00 
1.273E+01   1.003E+01  1.232E+00 
1.289E+01   1.009E+01  1.222E+00 
1.306E+01   1.016E+01  1.213E+00 
1.323E+01   1.022E+01  1.203E+00 
1.340E+01   1.029E+01  1.193E+00 
1.358E+01   1.036E+01  1.184E+00 
1.375E+01   1.042E+01  1.174E+00 
1.393E+01   1.049E+01  1.165E+00 
1.411E+01   1.056E+01  1.155E+00 
1.430E+01   1.063E+01  1.146E+00 
1.448E+01   1.070E+01  1.136E+00 
1.467E+01   1.077E+01  1.127E+00 
1.486E+01   1.084E+01  1.118E+00 
1.505E+01   1.091E+01  1.109E+00 
1.525E+01   1.098E+01  1.100E+00 
1.545E+01   1.105E+01  1.091E+00 
1.565E+01   1.112E+01  1.082E+00 
1.585E+01   1.119E+01  1.073E+00 
1.606E+01   1.126E+01  1.064E+00 
1.627E+01   1.134E+01  1.055E+00 
1.648E+01   1.141E+01  1.046E+00 
1.669E+01   1.148E+01  1.038E+00 
1.691E+01   1.156E+01  1.029E+00 
1.713E+01   1.163E+01  1.020E+00 
1.735E+01   1.171E+01  1.012E+00 
1.758E+01   1.178E+01  1.003E+00 
1.781E+01   1.186E+01  9.949E-01 
1.804E+01   1.193E+01  9.866E-01 
1.827E+01   1.201E+01  9.782E-01 
1.851E+01   1.209E+01  9.700E-01 
1.875E+01   1.217E+01  9.618E-01 
1.899E+01   1.224E+01  9.536E-01 
1.924E+01   1.232E+01  9.455E-01 
1.949E+01   1.240E+01  9.374E-01 
1.974E+01   1.248E+01  9.295E-01 
