Ion = Helium      . Mass = 4.0026
Tgt = Nd (Solid). Density = 7.008 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.997E+00  2.158E+00 
1.013E+00   6.036E+00  2.164E+00 
1.026E+00   6.075E+00  2.169E+00 
1.039E+00   6.114E+00  2.175E+00 
1.053E+00   6.154E+00  2.180E+00 
1.067E+00   6.193E+00  2.186E+00 
1.081E+00   6.234E+00  2.192E+00 
1.095E+00   6.274E+00  2.197E+00 
1.109E+00   6.315E+00  2.203E+00 
1.123E+00   6.355E+00  2.208E+00 
1.138E+00   6.397E+00  2.213E+00 
1.153E+00   6.438E+00  2.219E+00 
1.168E+00   6.480E+00  2.224E+00 
1.183E+00   6.522E+00  2.230E+00 
1.198E+00   6.564E+00  2.235E+00 
1.214E+00   6.607E+00  2.240E+00 
1.229E+00   6.649E+00  2.246E+00 
1.245E+00   6.692E+00  2.251E+00 
1.262E+00   6.736E+00  2.256E+00 
1.278E+00   6.779E+00  2.261E+00 
1.295E+00   6.823E+00  2.266E+00 
1.311E+00   6.867E+00  2.271E+00 
1.329E+00   6.912E+00  2.276E+00 
1.346E+00   6.957E+00  2.282E+00 
1.363E+00   7.002E+00  2.287E+00 
1.381E+00   7.047E+00  2.292E+00 
1.399E+00   7.093E+00  2.296E+00 
1.417E+00   7.139E+00  2.301E+00 
1.436E+00   7.185E+00  2.306E+00 
1.454E+00   7.231E+00  2.311E+00 
1.473E+00   7.278E+00  2.316E+00 
1.492E+00   7.325E+00  2.321E+00 
1.512E+00   7.373E+00  2.325E+00 
1.531E+00   7.421E+00  2.330E+00 
1.551E+00   7.469E+00  2.335E+00 
1.571E+00   7.517E+00  2.339E+00 
1.592E+00   7.566E+00  2.344E+00 
1.612E+00   7.615E+00  2.348E+00 
1.633E+00   7.664E+00  2.353E+00 
1.655E+00   7.714E+00  2.357E+00 
1.676E+00   7.764E+00  2.362E+00 
1.698E+00   7.814E+00  2.366E+00 
1.720E+00   7.865E+00  2.370E+00 
1.742E+00   7.916E+00  2.375E+00 
1.765E+00   7.967E+00  2.379E+00 
1.788E+00   8.018E+00  2.383E+00 
1.811E+00   8.070E+00  2.387E+00 
1.835E+00   8.123E+00  2.391E+00 
1.859E+00   8.175E+00  2.396E+00 
1.883E+00   8.228E+00  2.400E+00 
1.907E+00   8.282E+00  2.404E+00 
1.932E+00   8.335E+00  2.408E+00 
1.957E+00   8.389E+00  2.411E+00 
1.983E+00   8.444E+00  2.415E+00 
2.008E+00   8.498E+00  2.419E+00 
2.034E+00   8.553E+00  2.423E+00 
2.061E+00   8.609E+00  2.427E+00 
2.088E+00   8.664E+00  2.430E+00 
2.115E+00   8.721E+00  2.434E+00 
2.142E+00   8.777E+00  2.437E+00 
2.170E+00   8.834E+00  2.441E+00 
2.198E+00   8.891E+00  2.444E+00 
2.227E+00   8.949E+00  2.448E+00 
2.256E+00   9.007E+00  2.451E+00 
2.285E+00   9.065E+00  2.455E+00 
2.315E+00   9.124E+00  2.458E+00 
2.345E+00   9.183E+00  2.461E+00 
2.375E+00   9.242E+00  2.464E+00 
2.406E+00   9.302E+00  2.467E+00 
2.438E+00   9.362E+00  2.470E+00 
2.469E+00   9.423E+00  2.473E+00 
2.501E+00   9.484E+00  2.476E+00 
2.534E+00   9.546E+00  2.479E+00 
2.567E+00   9.607E+00  2.482E+00 
2.600E+00   9.670E+00  2.485E+00 
2.634E+00   9.732E+00  2.488E+00 
2.668E+00   9.795E+00  2.490E+00 
2.703E+00   9.859E+00  2.493E+00 
2.738E+00   9.923E+00  2.496E+00 
2.773E+00   9.987E+00  2.498E+00 
2.810E+00   1.005E+01  2.501E+00 
2.846E+00   1.012E+01  2.503E+00 
2.883E+00   1.018E+01  2.505E+00 
2.921E+00   1.025E+01  2.508E+00 
2.958E+00   1.031E+01  2.510E+00 
2.997E+00   1.038E+01  2.512E+00 
3.036E+00   1.045E+01  2.514E+00 
3.075E+00   1.052E+01  2.516E+00 
3.115E+00   1.058E+01  2.518E+00 
3.156E+00   1.065E+01  2.520E+00 
3.197E+00   1.072E+01  2.522E+00 
3.238E+00   1.079E+01  2.524E+00 
3.280E+00   1.086E+01  2.526E+00 
3.323E+00   1.093E+01  2.527E+00 
3.366E+00   1.100E+01  2.529E+00 
3.410E+00   1.107E+01  2.531E+00 
3.454E+00   1.115E+01  2.532E+00 
3.499E+00   1.122E+01  2.534E+00 
3.545E+00   1.129E+01  2.535E+00 
3.591E+00   1.136E+01  2.536E+00 
3.637E+00   1.144E+01  2.538E+00 
3.685E+00   1.151E+01  2.539E+00 
3.733E+00   1.159E+01  2.540E+00 
3.781E+00   1.166E+01  2.541E+00 
3.830E+00   1.174E+01  2.542E+00 
3.880E+00   1.181E+01  2.543E+00 
3.930E+00   1.189E+01  2.544E+00 
3.982E+00   1.197E+01  2.545E+00 
4.033E+00   1.204E+01  2.545E+00 
4.086E+00   1.212E+01  2.546E+00 
4.139E+00   1.220E+01  2.547E+00 
4.193E+00   1.228E+01  2.547E+00 
4.247E+00   1.236E+01  2.548E+00 
4.302E+00   1.244E+01  2.548E+00 
4.358E+00   1.252E+01  2.548E+00 
4.415E+00   1.260E+01  2.549E+00 
