Ion = Helium      . Mass = 4.0026
Tgt = Pm (Solid). Density = 6.475 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.592E+00  2.064E+00 
1.013E+00   5.629E+00  2.070E+00 
1.026E+00   5.665E+00  2.075E+00 
1.039E+00   5.702E+00  2.080E+00 
1.053E+00   5.739E+00  2.085E+00 
1.067E+00   5.776E+00  2.091E+00 
1.081E+00   5.813E+00  2.096E+00 
1.095E+00   5.851E+00  2.101E+00 
1.109E+00   5.889E+00  2.106E+00 
1.123E+00   5.927E+00  2.111E+00 
1.138E+00   5.965E+00  2.116E+00 
1.153E+00   6.004E+00  2.121E+00 
1.168E+00   6.043E+00  2.126E+00 
1.183E+00   6.082E+00  2.131E+00 
1.198E+00   6.121E+00  2.136E+00 
1.214E+00   6.161E+00  2.141E+00 
1.229E+00   6.201E+00  2.146E+00 
1.245E+00   6.241E+00  2.151E+00 
1.262E+00   6.282E+00  2.156E+00 
1.278E+00   6.322E+00  2.161E+00 
1.295E+00   6.363E+00  2.165E+00 
1.311E+00   6.404E+00  2.170E+00 
1.329E+00   6.446E+00  2.175E+00 
1.346E+00   6.488E+00  2.180E+00 
1.363E+00   6.530E+00  2.184E+00 
1.381E+00   6.572E+00  2.189E+00 
1.399E+00   6.615E+00  2.194E+00 
1.417E+00   6.657E+00  2.198E+00 
1.436E+00   6.700E+00  2.203E+00 
1.454E+00   6.744E+00  2.207E+00 
1.473E+00   6.788E+00  2.212E+00 
1.492E+00   6.832E+00  2.216E+00 
1.512E+00   6.876E+00  2.221E+00 
1.531E+00   6.920E+00  2.225E+00 
1.551E+00   6.965E+00  2.229E+00 
1.571E+00   7.010E+00  2.234E+00 
1.592E+00   7.056E+00  2.238E+00 
1.612E+00   7.101E+00  2.242E+00 
1.633E+00   7.147E+00  2.246E+00 
1.655E+00   7.194E+00  2.250E+00 
1.676E+00   7.240E+00  2.254E+00 
1.698E+00   7.287E+00  2.259E+00 
