Ion = Helium      . Mass = 4.0026
Tgt = Sm (Solid). Density = 7.52 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.453E+00  2.056E+00 
1.013E+00   5.488E+00  2.062E+00 
1.026E+00   5.524E+00  2.067E+00 
1.039E+00   5.560E+00  2.073E+00 
1.053E+00   5.596E+00  2.078E+00 
1.067E+00   5.632E+00  2.083E+00 
1.081E+00   5.668E+00  2.089E+00 
1.095E+00   5.705E+00  2.094E+00 
1.109E+00   5.742E+00  2.099E+00 
1.123E+00   5.779E+00  2.105E+00 
1.138E+00   5.817E+00  2.110E+00 
1.153E+00   5.854E+00  2.115E+00 
1.168E+00   5.892E+00  2.120E+00 
1.183E+00   5.930E+00  2.125E+00 
1.198E+00   5.969E+00  2.130E+00 
1.214E+00   6.007E+00  2.136E+00 
1.229E+00   6.046E+00  2.141E+00 
1.245E+00   6.086E+00  2.146E+00 
1.262E+00   6.125E+00  2.151E+00 
1.278E+00   6.165E+00  2.156E+00 
1.295E+00   6.205E+00  2.161E+00 
1.311E+00   6.245E+00  2.166E+00 
1.329E+00   6.285E+00  2.171E+00 
1.346E+00   6.326E+00  2.175E+00 
1.363E+00   6.367E+00  2.180E+00 
1.381E+00   6.408E+00  2.185E+00 
1.399E+00   6.450E+00  2.190E+00 
1.417E+00   6.491E+00  2.195E+00 
1.436E+00   6.533E+00  2.199E+00 
1.454E+00   6.576E+00  2.204E+00 
1.473E+00   6.618E+00  2.209E+00 
1.492E+00   6.661E+00  2.213E+00 
1.512E+00   6.704E+00  2.218E+00 
1.531E+00   6.748E+00  2.222E+00 
1.551E+00   6.792E+00  2.227E+00 
1.571E+00   6.836E+00  2.231E+00 
1.592E+00   6.880E+00  2.236E+00 
1.612E+00   6.924E+00  2.240E+00 
1.633E+00   6.969E+00  2.245E+00 
1.655E+00   7.014E+00  2.249E+00 
1.676E+00   7.060E+00  2.253E+00 
1.698E+00   7.106E+00  2.258E+00 
1.720E+00   7.152E+00  2.262E+00 
1.742E+00   7.198E+00  2.266E+00 
1.765E+00   7.244E+00  2.270E+00 
1.788E+00   7.291E+00  2.274E+00 
1.811E+00   7.339E+00  2.278E+00 
1.835E+00   7.386E+00  2.283E+00 
1.859E+00   7.434E+00  2.287E+00 
1.883E+00   7.482E+00  2.290E+00 
1.907E+00   7.531E+00  2.294E+00 
1.932E+00   7.579E+00  2.298E+00 
1.957E+00   7.629E+00  2.302E+00 
1.983E+00   7.678E+00  2.306E+00 
2.008E+00   7.728E+00  2.310E+00 
2.034E+00   7.778E+00  2.313E+00 
2.061E+00   7.828E+00  2.317E+00 
2.088E+00   7.879E+00  2.321E+00 
2.115E+00   7.930E+00  2.324E+00 
2.142E+00   7.981E+00  2.328E+00 
2.170E+00   8.033E+00  2.331E+00 
2.198E+00   8.085E+00  2.335E+00 
2.227E+00   8.137E+00  2.338E+00 
2.256E+00   8.190E+00  2.342E+00 
2.285E+00   8.243E+00  2.345E+00 
2.315E+00   8.296E+00  2.348E+00 
2.345E+00   8.350E+00  2.351E+00 
2.375E+00   8.404E+00  2.355E+00 
2.406E+00   8.459E+00  2.358E+00 
2.438E+00   8.513E+00  2.361E+00 
2.469E+00   8.569E+00  2.364E+00 
2.501E+00   8.624E+00  2.367E+00 
2.534E+00   8.680E+00  2.370E+00 
2.567E+00   8.736E+00  2.373E+00 
2.600E+00   8.793E+00  2.376E+00 
2.634E+00   8.850E+00  2.378E+00 
2.668E+00   8.907E+00  2.381E+00 
2.703E+00   8.965E+00  2.384E+00 
2.738E+00   9.023E+00  2.387E+00 
2.773E+00   9.081E+00  2.389E+00 
2.810E+00   9.140E+00  2.392E+00 
2.846E+00   9.199E+00  2.394E+00 
2.883E+00   9.259E+00  2.397E+00 
2.921E+00   9.319E+00  2.399E+00 
2.958E+00   9.379E+00  2.401E+00 
2.997E+00   9.440E+00  2.404E+00 
3.036E+00   9.501E+00  2.406E+00 
3.075E+00   9.563E+00  2.408E+00 
3.115E+00   9.625E+00  2.410E+00 
3.156E+00   9.687E+00  2.412E+00 
3.197E+00   9.750E+00  2.414E+00 
3.238E+00   9.813E+00  2.416E+00 
3.280E+00   9.876E+00  2.418E+00 
3.323E+00   9.940E+00  2.420E+00 
3.366E+00   1.000E+01  2.422E+00 
3.410E+00   1.007E+01  2.423E+00 
3.454E+00   1.013E+01  2.425E+00 
3.499E+00   1.020E+01  2.427E+00 
3.545E+00   1.027E+01  2.428E+00 
3.591E+00   1.033E+01  2.430E+00 
3.637E+00   1.040E+01  2.431E+00 
3.685E+00   1.047E+01  2.432E+00 
3.733E+00   1.054E+01  2.434E+00 
3.781E+00   1.060E+01  2.435E+00 
3.830E+00   1.067E+01  2.436E+00 
3.880E+00   1.074E+01  2.437E+00 
3.930E+00   1.081E+01  2.438E+00 
3.982E+00   1.088E+01  2.439E+00 
4.033E+00   1.095E+01  2.440E+00 
4.086E+00   1.102E+01  2.441E+00 
4.139E+00   1.109E+01  2.442E+00 
4.193E+00   1.117E+01  2.443E+00 
4.247E+00   1.124E+01  2.444E+00 
4.302E+00   1.131E+01  2.444E+00 
4.358E+00   1.138E+01  2.445E+00 
4.415E+00   1.146E+01  2.445E+00 
4.472E+00   1.153E+01  2.446E+00 
4.530E+00   1.161E+01  2.446E+00 
4.589E+00   1.168E+01  2.446E+00 
4.649E+00   1.176E+01  2.447E+00 
4.709E+00   1.183E+01  2.447E+00 
4.770E+00   1.191E+01  2.447E+00 
4.832E+00   1.199E+01  2.447E+00 
4.895E+00   1.206E+01  2.447E+00 
4.959E+00   1.214E+01  2.447E+00 
5.023E+00   1.222E+01  2.447E+00 
5.089E+00   1.230E+01  2.447E+00 
5.155E+00   1.238E+01  2.446E+00 
5.222E+00   1.246E+01  2.446E+00 
5.290E+00   1.254E+01  2.446E+00 
5.358E+00   1.262E+01  2.445E+00 
5.428E+00   1.270E+01  2.444E+00 
5.499E+00   1.279E+01  2.444E+00 
5.570E+00   1.287E+01  2.443E+00 
5.642E+00   1.295E+01  2.442E+00 
5.716E+00   1.304E+01  2.442E+00 
5.790E+00   1.312E+01  2.441E+00 
5.865E+00   1.321E+01  2.440E+00 
5.942E+00   1.329E+01  2.439E+00 
6.019E+00   1.338E+01  2.438E+00 
6.097E+00   1.346E+01  2.437E+00 
6.176E+00   1.355E+01  2.435E+00 
6.256E+00   1.364E+01  2.434E+00 
6.338E+00   1.373E+01  2.433E+00 
6.420E+00   1.382E+01  2.431E+00 
6.504E+00   1.391E+01  2.430E+00 
6.588E+00   1.400E+01  2.428E+00 
6.674E+00   1.409E+01  2.426E+00 
6.760E+00   1.418E+01  2.425E+00 
6.848E+00   1.427E+01  2.423E+00 
6.937E+00   1.436E+01  2.421E+00 
7.027E+00   1.446E+01  2.419E+00 
7.119E+00   1.455E+01  2.417E+00 
7.211E+00   1.464E+01  2.415E+00 
7.305E+00   1.474E+01  2.413E+00 
7.400E+00   1.483E+01  2.411E+00 
7.496E+00   1.493E+01  2.408E+00 
7.594E+00   1.503E+01  2.406E+00 
7.692E+00   1.512E+01  2.404E+00 
7.792E+00   1.522E+01  2.401E+00 
7.894E+00   1.532E+01  2.399E+00 
7.996E+00   1.542E+01  2.396E+00 
8.100E+00   1.552E+01  2.393E+00 
8.205E+00   1.562E+01  2.391E+00 
8.312E+00   1.573E+01  2.388E+00 
8.420E+00   1.583E+01  2.385E+00 
8.529E+00   1.594E+01  2.382E+00 
8.640E+00   1.605E+01  2.379E+00 
8.753E+00   1.615E+01  2.376E+00 
8.866E+00   1.626E+01  2.373E+00 
8.982E+00   1.637E+01  2.369E+00 
9.098E+00   1.648E+01  2.366E+00 
9.217E+00   1.660E+01  2.363E+00 
9.336E+00   1.671E+01  2.359E+00 
9.458E+00   1.682E+01  2.356E+00 
9.581E+00   1.694E+01  2.352E+00 
9.705E+00   1.706E+01  2.348E+00 
9.831E+00   1.717E+01  2.345E+00 
9.959E+00   1.729E+01  2.341E+00 
1.009E+01   1.741E+01  2.337E+00 
1.022E+01   1.753E+01  2.333E+00 
1.035E+01   1.766E+01  2.329E+00 
1.049E+01   1.778E+01  2.325E+00 
1.062E+01   1.791E+01  2.321E+00 
1.076E+01   1.803E+01  2.316E+00 
1.090E+01   1.816E+01  2.312E+00 
1.104E+01   1.829E+01  2.308E+00 
