Ion = Helium      . Mass = 4.0026
Tgt = Eu (Solid). Density = 5.244 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.754E+00  2.083E+00 
1.013E+00   4.785E+00  2.088E+00 
1.026E+00   4.816E+00  2.094E+00 
1.039E+00   4.847E+00  2.099E+00 
1.053E+00   4.878E+00  2.105E+00 
1.067E+00   4.910E+00  2.110E+00 
1.081E+00   4.942E+00  2.116E+00 
1.095E+00   4.974E+00  2.121E+00 
1.109E+00   5.006E+00  2.127E+00 
1.123E+00   5.038E+00  2.132E+00 
1.138E+00   5.071E+00  2.138E+00 
1.153E+00   5.104E+00  2.143E+00 
1.168E+00   5.137E+00  2.148E+00 
1.183E+00   5.170E+00  2.154E+00 
1.198E+00   5.204E+00  2.159E+00 
1.214E+00   5.237E+00  2.164E+00 
1.229E+00   5.271E+00  2.170E+00 
1.245E+00   5.305E+00  2.175E+00 
1.262E+00   5.340E+00  2.180E+00 
1.278E+00   5.374E+00  2.185E+00 
1.295E+00   5.409E+00  2.190E+00 
1.311E+00   5.444E+00  2.195E+00 
1.329E+00   5.479E+00  2.200E+00 
1.346E+00   5.515E+00  2.205E+00 
1.363E+00   5.551E+00  2.210E+00 
1.381E+00   5.587E+00  2.215E+00 
1.399E+00   5.623E+00  2.220E+00 
1.417E+00   5.659E+00  2.225E+00 
1.436E+00   5.696E+00  2.230E+00 
1.454E+00   5.733E+00  2.235E+00 
1.473E+00   5.770E+00  2.240E+00 
1.492E+00   5.807E+00  2.244E+00 
1.512E+00   5.845E+00  2.249E+00 
1.531E+00   5.883E+00  2.254E+00 
1.551E+00   5.921E+00  2.258E+00 
1.571E+00   5.959E+00  2.263E+00 
1.592E+00   5.998E+00  2.268E+00 
1.612E+00   6.037E+00  2.272E+00 
1.633E+00   6.076E+00  2.277E+00 
1.655E+00   6.115E+00  2.281E+00 
1.676E+00   6.155E+00  2.286E+00 
1.698E+00   6.195E+00  2.290E+00 
