Ion = Helium      . Mass = 4.0026
Tgt = Gd (Solid). Density = 7.901 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.586E+00  2.017E+00 
1.013E+00   6.628E+00  2.023E+00 
1.026E+00   6.671E+00  2.028E+00 
1.039E+00   6.714E+00  2.034E+00 
1.053E+00   6.758E+00  2.040E+00 
1.067E+00   6.802E+00  2.045E+00 
1.081E+00   6.846E+00  2.051E+00 
1.095E+00   6.890E+00  2.056E+00 
1.109E+00   6.935E+00  2.062E+00 
1.123E+00   6.980E+00  2.067E+00 
1.138E+00   7.025E+00  2.073E+00 
1.153E+00   7.070E+00  2.078E+00 
1.168E+00   7.116E+00  2.084E+00 
1.183E+00   7.162E+00  2.089E+00 
1.198E+00   7.209E+00  2.094E+00 
1.214E+00   7.255E+00  2.100E+00 
1.229E+00   7.302E+00  2.105E+00 
1.245E+00   7.350E+00  2.110E+00 
1.262E+00   7.397E+00  2.115E+00 
1.278E+00   7.445E+00  2.121E+00 
1.295E+00   7.493E+00  2.126E+00 
1.311E+00   7.542E+00  2.131E+00 
1.329E+00   7.591E+00  2.136E+00 
1.346E+00   7.640E+00  2.141E+00 
1.363E+00   7.689E+00  2.146E+00 
1.381E+00   7.739E+00  2.151E+00 
1.399E+00   7.789E+00  2.157E+00 
1.417E+00   7.840E+00  2.162E+00 
1.436E+00   7.891E+00  2.166E+00 
1.454E+00   7.942E+00  2.171E+00 
1.473E+00   7.993E+00  2.176E+00 
1.492E+00   8.045E+00  2.181E+00 
1.512E+00   8.097E+00  2.186E+00 
1.531E+00   8.149E+00  2.191E+00 
1.551E+00   8.202E+00  2.196E+00 
1.571E+00   8.255E+00  2.200E+00 
1.592E+00   8.309E+00  2.205E+00 
1.612E+00   8.363E+00  2.210E+00 
1.633E+00   8.417E+00  2.214E+00 
1.655E+00   8.471E+00  2.219E+00 
1.676E+00   8.526E+00  2.224E+00 
1.698E+00   8.581E+00  2.228E+00 
1.720E+00   8.637E+00  2.233E+00 
1.742E+00   8.693E+00  2.237E+00 
1.765E+00   8.749E+00  2.242E+00 
1.788E+00   8.806E+00  2.246E+00 
1.811E+00   8.863E+00  2.250E+00 
1.835E+00   8.920E+00  2.255E+00 
1.859E+00   8.978E+00  2.259E+00 
1.883E+00   9.036E+00  2.263E+00 
1.907E+00   9.095E+00  2.267E+00 
1.932E+00   9.154E+00  2.272E+00 
1.957E+00   9.213E+00  2.276E+00 
1.983E+00   9.273E+00  2.280E+00 
2.008E+00   9.333E+00  2.284E+00 
2.034E+00   9.393E+00  2.288E+00 
2.061E+00   9.454E+00  2.292E+00 
2.088E+00   9.515E+00  2.296E+00 
2.115E+00   9.577E+00  2.300E+00 
2.142E+00   9.639E+00  2.303E+00 
2.170E+00   9.701E+00  2.307E+00 
2.198E+00   9.764E+00  2.311E+00 
2.227E+00   9.827E+00  2.315E+00 
2.256E+00   9.891E+00  2.318E+00 
2.285E+00   9.955E+00  2.322E+00 
2.315E+00   1.002E+01  2.326E+00 
2.345E+00   1.008E+01  2.329E+00 
2.375E+00   1.015E+01  2.333E+00 
2.406E+00   1.022E+01  2.336E+00 
2.438E+00   1.028E+01  2.339E+00 
2.469E+00   1.035E+01  2.343E+00 
2.501E+00   1.042E+01  2.346E+00 
2.534E+00   1.048E+01  2.349E+00 
2.567E+00   1.055E+01  2.352E+00 
2.600E+00   1.062E+01  2.356E+00 
2.634E+00   1.069E+01  2.359E+00 
2.668E+00   1.076E+01  2.362E+00 
2.703E+00   1.083E+01  2.365E+00 
2.738E+00   1.090E+01  2.368E+00 
2.773E+00   1.097E+01  2.371E+00 
2.810E+00   1.104E+01  2.373E+00 
2.846E+00   1.111E+01  2.376E+00 
2.883E+00   1.118E+01  2.379E+00 
2.921E+00   1.125E+01  2.382E+00 
2.958E+00   1.133E+01  2.384E+00 
2.997E+00   1.140E+01  2.387E+00 
3.036E+00   1.147E+01  2.389E+00 
3.075E+00   1.155E+01  2.392E+00 
3.115E+00   1.162E+01  2.394E+00 
3.156E+00   1.170E+01  2.397E+00 
3.197E+00   1.177E+01  2.399E+00 
3.238E+00   1.185E+01  2.401E+00 
3.280E+00   1.193E+01  2.403E+00 
3.323E+00   1.201E+01  2.406E+00 
3.366E+00   1.208E+01  2.408E+00 
3.410E+00   1.216E+01  2.410E+00 
3.454E+00   1.224E+01  2.412E+00 
3.499E+00   1.232E+01  2.413E+00 
3.545E+00   1.240E+01  2.415E+00 
3.591E+00   1.248E+01  2.417E+00 
3.637E+00   1.256E+01  2.419E+00 
3.685E+00   1.264E+01  2.421E+00 
3.733E+00   1.272E+01  2.422E+00 
3.781E+00   1.281E+01  2.424E+00 
3.830E+00   1.289E+01  2.425E+00 
3.880E+00   1.297E+01  2.427E+00 
3.930E+00   1.306E+01  2.428E+00 
3.982E+00   1.314E+01  2.429E+00 
4.033E+00   1.323E+01  2.431E+00 
4.086E+00   1.331E+01  2.432E+00 
4.139E+00   1.340E+01  2.433E+00 
4.193E+00   1.348E+01  2.434E+00 
4.247E+00   1.357E+01  2.435E+00 
4.302E+00   1.366E+01  2.436E+00 
4.358E+00   1.375E+01  2.437E+00 
4.415E+00   1.384E+01  2.438E+00 
4.472E+00   1.393E+01  2.438E+00 
4.530E+00   1.402E+01  2.439E+00 
4.589E+00   1.411E+01  2.440E+00 
4.649E+00   1.420E+01  2.440E+00 
4.709E+00   1.429E+01  2.441E+00 
4.770E+00   1.438E+01  2.441E+00 
4.832E+00   1.448E+01  2.441E+00 
4.895E+00   1.457E+01  2.442E+00 
4.959E+00   1.467E+01  2.442E+00 
5.023E+00   1.476E+01  2.442E+00 
5.089E+00   1.486E+01  2.442E+00 
5.155E+00   1.495E+01  2.442E+00 
5.222E+00   1.505E+01  2.442E+00 
5.290E+00   1.515E+01  2.442E+00 
5.358E+00   1.524E+01  2.442E+00 
5.428E+00   1.534E+01  2.441E+00 
5.499E+00   1.544E+01  2.441E+00 
5.570E+00   1.554E+01  2.441E+00 
5.642E+00   1.564E+01  2.440E+00 
5.716E+00   1.574E+01  2.440E+00 
5.790E+00   1.585E+01  2.439E+00 
5.865E+00   1.595E+01  2.438E+00 
