Ion = Helium      . Mass = 4.0026
Tgt = Tb (Solid). Density = 8.23 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.584E+00  2.001E+00 
1.013E+00   5.620E+00  2.006E+00 
1.026E+00   5.656E+00  2.012E+00 
1.039E+00   5.693E+00  2.018E+00 
1.053E+00   5.730E+00  2.024E+00 
1.067E+00   5.767E+00  2.030E+00 
1.081E+00   5.804E+00  2.035E+00 
1.095E+00   5.842E+00  2.041E+00 
1.109E+00   5.880E+00  2.047E+00 
1.123E+00   5.918E+00  2.053E+00 
1.138E+00   5.956E+00  2.058E+00 
1.153E+00   5.995E+00  2.064E+00 
1.168E+00   6.033E+00  2.070E+00 
1.183E+00   6.072E+00  2.075E+00 
1.198E+00   6.112E+00  2.081E+00 
1.214E+00   6.151E+00  2.086E+00 
1.229E+00   6.191E+00  2.092E+00 
1.245E+00   6.231E+00  2.098E+00 
1.262E+00   6.272E+00  2.103E+00 
1.278E+00   6.312E+00  2.108E+00 
1.295E+00   6.353E+00  2.114E+00 
1.311E+00   6.394E+00  2.119E+00 
1.329E+00   6.436E+00  2.125E+00 
1.346E+00   6.477E+00  2.130E+00 
1.363E+00   6.519E+00  2.135E+00 
1.381E+00   6.562E+00  2.141E+00 
1.399E+00   6.604E+00  2.146E+00 
1.417E+00   6.647E+00  2.151E+00 
1.436E+00   6.690E+00  2.157E+00 
1.454E+00   6.733E+00  2.162E+00 
1.473E+00   6.777E+00  2.167E+00 
1.492E+00   6.821E+00  2.172E+00 
1.512E+00   6.865E+00  2.177E+00 
1.531E+00   6.909E+00  2.182E+00 
1.551E+00   6.954E+00  2.187E+00 
1.571E+00   6.999E+00  2.192E+00 
1.592E+00   7.045E+00  2.197E+00 
1.612E+00   7.090E+00  2.202E+00 
1.633E+00   7.136E+00  2.207E+00 
1.655E+00   7.182E+00  2.212E+00 
1.676E+00   7.229E+00  2.217E+00 
1.698E+00   7.276E+00  2.222E+00 
1.720E+00   7.323E+00  2.226E+00 
1.742E+00   7.370E+00  2.231E+00 
1.765E+00   7.418E+00  2.236E+00 
1.788E+00   7.466E+00  2.240E+00 
1.811E+00   7.514E+00  2.245E+00 
1.835E+00   7.563E+00  2.250E+00 
1.859E+00   7.612E+00  2.254E+00 
1.883E+00   7.661E+00  2.259E+00 
1.907E+00   7.711E+00  2.263E+00 
1.932E+00   7.761E+00  2.268E+00 
1.957E+00   7.811E+00  2.272E+00 
1.983E+00   7.862E+00  2.276E+00 
2.008E+00   7.913E+00  2.281E+00 
2.034E+00   7.964E+00  2.285E+00 
2.061E+00   8.016E+00  2.289E+00 
2.088E+00   8.068E+00  2.294E+00 
2.115E+00   8.120E+00  2.298E+00 
2.142E+00   8.172E+00  2.302E+00 
2.170E+00   8.225E+00  2.306E+00 
2.198E+00   8.279E+00  2.310E+00 
2.227E+00   8.332E+00  2.314E+00 
2.256E+00   8.386E+00  2.318E+00 
2.285E+00   8.441E+00  2.322E+00 
2.315E+00   8.495E+00  2.326E+00 
2.345E+00   8.550E+00  2.329E+00 
2.375E+00   8.606E+00  2.333E+00 
2.406E+00   8.661E+00  2.337E+00 
2.438E+00   8.717E+00  2.340E+00 
2.469E+00   8.774E+00  2.344E+00 
2.501E+00   8.831E+00  2.348E+00 
2.534E+00   8.888E+00  2.351E+00 
2.567E+00   8.945E+00  2.355E+00 
2.600E+00   9.003E+00  2.358E+00 
2.634E+00   9.062E+00  2.361E+00 
2.668E+00   9.120E+00  2.365E+00 
2.703E+00   9.180E+00  2.368E+00 
2.738E+00   9.239E+00  2.371E+00 
2.773E+00   9.299E+00  2.374E+00 
2.810E+00   9.359E+00  2.378E+00 
2.846E+00   9.420E+00  2.381E+00 
2.883E+00   9.481E+00  2.384E+00 
2.921E+00   9.542E+00  2.387E+00 
2.958E+00   9.604E+00  2.390E+00 
2.997E+00   9.666E+00  2.392E+00 
3.036E+00   9.729E+00  2.395E+00 
3.075E+00   9.792E+00  2.398E+00 
3.115E+00   9.855E+00  2.401E+00 
3.156E+00   9.919E+00  2.403E+00 
3.197E+00   9.983E+00  2.406E+00 
3.238E+00   1.005E+01  2.408E+00 
3.280E+00   1.011E+01  2.411E+00 
3.323E+00   1.018E+01  2.413E+00 
3.366E+00   1.024E+01  2.416E+00 
3.410E+00   1.031E+01  2.418E+00 
3.454E+00   1.038E+01  2.420E+00 
3.499E+00   1.044E+01  2.422E+00 
3.545E+00   1.051E+01  2.424E+00 
3.591E+00   1.058E+01  2.427E+00 
3.637E+00   1.065E+01  2.429E+00 
3.685E+00   1.072E+01  2.430E+00 
3.733E+00   1.079E+01  2.432E+00 
3.781E+00   1.086E+01  2.434E+00 
3.830E+00   1.093E+01  2.436E+00 
3.880E+00   1.100E+01  2.438E+00 
3.930E+00   1.107E+01  2.439E+00 
3.982E+00   1.114E+01  2.441E+00 
4.033E+00   1.121E+01  2.442E+00 
4.086E+00   1.129E+01  2.444E+00 
4.139E+00   1.136E+01  2.445E+00 
4.193E+00   1.143E+01  2.446E+00 
4.247E+00   1.151E+01  2.448E+00 
4.302E+00   1.158E+01  2.449E+00 
4.358E+00   1.166E+01  2.450E+00 
4.415E+00   1.173E+01  2.451E+00 
4.472E+00   1.181E+01  2.452E+00 
4.530E+00   1.188E+01  2.453E+00 
4.589E+00   1.196E+01  2.454E+00 
4.649E+00   1.204E+01  2.455E+00 
4.709E+00   1.212E+01  2.455E+00 
4.770E+00   1.220E+01  2.456E+00 
4.832E+00   1.227E+01  2.457E+00 
4.895E+00   1.235E+01  2.457E+00 
4.959E+00   1.243E+01  2.458E+00 
5.023E+00   1.251E+01  2.458E+00 
5.089E+00   1.260E+01  2.458E+00 
5.155E+00   1.268E+01  2.458E+00 
5.222E+00   1.276E+01  2.459E+00 
5.290E+00   1.284E+01  2.459E+00 
5.358E+00   1.293E+01  2.459E+00 
5.428E+00   1.301E+01  2.459E+00 
5.499E+00   1.309E+01  2.459E+00 
5.570E+00   1.318E+01  2.459E+00 
5.642E+00   1.326E+01  2.458E+00 
5.716E+00   1.335E+01  2.458E+00 
5.790E+00   1.344E+01  2.458E+00 
5.865E+00   1.352E+01  2.457E+00 
5.942E+00   1.361E+01  2.457E+00 
6.019E+00   1.370E+01  2.456E+00 
6.097E+00   1.379E+01  2.455E+00 
6.176E+00   1.388E+01  2.455E+00 
6.256E+00   1.397E+01  2.454E+00 
6.338E+00   1.406E+01  2.453E+00 
6.420E+00   1.415E+01  2.452E+00 
6.504E+00   1.424E+01  2.451E+00 
6.588E+00   1.433E+01  2.450E+00 
6.674E+00   1.442E+01  2.449E+00 
6.760E+00   1.452E+01  2.447E+00 
6.848E+00   1.461E+01  2.446E+00 
6.937E+00   1.471E+01  2.445E+00 
7.027E+00   1.480E+01  2.443E+00 
7.119E+00   1.490E+01  2.441E+00 
7.211E+00   1.499E+01  2.440E+00 
7.305E+00   1.509E+01  2.438E+00 
7.400E+00   1.519E+01  2.436E+00 
7.496E+00   1.529E+01  2.435E+00 
7.594E+00   1.539E+01  2.433E+00 
7.692E+00   1.549E+01  2.431E+00 
7.792E+00   1.559E+01  2.429E+00 
7.894E+00   1.569E+01  2.426E+00 
7.996E+00   1.579E+01  2.424E+00 
8.100E+00   1.591E+01  2.422E+00 
8.205E+00   1.603E+01  2.420E+00 
8.312E+00   1.615E+01  2.417E+00 
8.420E+00   1.627E+01  2.415E+00 
8.529E+00   1.640E+01  2.412E+00 
8.640E+00   1.652E+01  2.409E+00 
8.753E+00   1.665E+01  2.407E+00 
8.866E+00   1.677E+01  2.404E+00 
8.982E+00   1.690E+01  2.401E+00 
9.098E+00   1.703E+01  2.398E+00 
9.217E+00   1.716E+01  2.395E+00 
9.336E+00   1.729E+01  2.392E+00 
9.458E+00   1.742E+01  2.389E+00 
9.581E+00   1.755E+01  2.385E+00 
9.705E+00   1.768E+01  2.382E+00 
9.831E+00   1.782E+01  2.379E+00 
9.959E+00   1.795E+01  2.375E+00 
1.009E+01   1.809E+01  2.372E+00 
1.022E+01   1.822E+01  2.368E+00 
1.035E+01   1.836E+01  2.364E+00 
1.049E+01   1.850E+01  2.361E+00 
1.062E+01   1.864E+01  2.357E+00 
1.076E+01   1.878E+01  2.353E+00 
1.090E+01   1.892E+01  2.349E+00 
1.104E+01   1.906E+01  2.345E+00 
1.119E+01   1.920E+01  2.341E+00 
1.133E+01   1.934E+01  2.337E+00 
1.148E+01   1.949E+01  2.332E+00 
1.163E+01   1.963E+01  2.328E+00 
1.178E+01   1.978E+01  2.324E+00 
1.193E+01   1.992E+01  2.319E+00 
1.209E+01   2.007E+01  2.315E+00 
1.224E+01   2.021E+01  2.310E+00 
1.240E+01   2.036E+01  2.305E+00 
1.256E+01   2.051E+01  2.301E+00 
1.273E+01   2.066E+01  2.296E+00 
1.289E+01   2.081E+01  2.291E+00 
1.306E+01   2.096E+01  2.286E+00 
1.323E+01   2.111E+01  2.281E+00 
1.340E+01   2.126E+01  2.276E+00 
1.358E+01   2.141E+01  2.271E+00 
1.375E+01   2.157E+01  2.266E+00 
1.393E+01   2.172E+01  2.260E+00 
1.411E+01   2.187E+01  2.255E+00 
1.430E+01   2.202E+01  2.250E+00 
1.448E+01   2.218E+01  2.244E+00 
1.467E+01   2.233E+01  2.239E+00 
1.486E+01   2.249E+01  2.233E+00 
1.505E+01   2.264E+01  2.227E+00 
1.525E+01   2.279E+01  2.222E+00 
1.545E+01   2.295E+01  2.216E+00 
1.565E+01   2.310E+01  2.210E+00 
1.585E+01   2.326E+01  2.204E+00 
1.606E+01   2.341E+01  2.198E+00 
1.627E+01   2.357E+01  2.192E+00 
1.648E+01   2.372E+01  2.186E+00 
1.669E+01   2.388E+01  2.180E+00 
1.691E+01   2.403E+01  2.174E+00 
1.713E+01   2.419E+01  2.168E+00 
1.735E+01   2.434E+01  2.161E+00 
1.758E+01   2.450E+01  2.155E+00 
1.781E+01   2.465E+01  2.149E+00 
1.804E+01   2.481E+01  2.142E+00 
1.827E+01   2.496E+01  2.136E+00 
1.851E+01   2.512E+01  2.129E+00 
1.875E+01   2.527E+01  2.122E+00 
1.899E+01   2.542E+01  2.116E+00 
1.924E+01   2.558E+01  2.109E+00 
1.949E+01   2.573E+01  2.102E+00 
1.974E+01   2.589E+01  2.095E+00 
2.000E+01   2.605E+01  2.088E+00 
2.026E+01   2.620E+01  2.082E+00 
2.052E+01   2.636E+01  2.075E+00 
2.079E+01   2.651E+01  2.068E+00 
2.106E+01   2.667E+01  2.061E+00 
2.133E+01   2.683E+01  2.053E+00 
2.161E+01   2.699E+01  2.046E+00 
2.189E+01   2.715E+01  2.039E+00 
2.218E+01   2.731E+01  2.032E+00 
2.247E+01   2.747E+01  2.025E+00 
2.276E+01   2.763E+01  2.017E+00 
2.305E+01   2.780E+01  2.010E+00 
2.335E+01   2.796E+01  2.002E+00 
2.366E+01   2.813E+01  1.995E+00 
2.396E+01   2.830E+01  1.988E+00 
2.428E+01   2.847E+01  1.980E+00 
2.459E+01   2.865E+01  1.972E+00 
2.491E+01   2.882E+01  1.965E+00 
2.523E+01   2.900E+01  1.957E+00 
2.556E+01   2.918E+01  1.950E+00 
2.589E+01   2.937E+01  1.942E+00 
2.623E+01   2.955E+01  1.934E+00 
2.657E+01   2.975E+01  1.926E+00 
2.692E+01   2.994E+01  1.918E+00 
2.727E+01   3.014E+01  1.911E+00 
2.762E+01   3.034E+01  1.903E+00 
2.798E+01   3.054E+01  1.895E+00 
2.834E+01   3.075E+01  1.887E+00 
2.871E+01   3.096E+01  1.879E+00 
2.909E+01   3.118E+01  1.871E+00 
2.946E+01   3.140E+01  1.863E+00 
2.985E+01   3.162E+01  1.855E+00 
3.023E+01   3.185E+01  1.847E+00 
3.063E+01   3.208E+01  1.839E+00 
3.103E+01   3.232E+01  1.831E+00 
3.143E+01   3.256E+01  1.822E+00 
3.184E+01   3.281E+01  1.814E+00 
3.225E+01   3.306E+01  1.806E+00 
3.267E+01   3.331E+01  1.798E+00 
3.309E+01   3.357E+01  1.790E+00 
3.352E+01   3.384E+01  1.781E+00 
3.396E+01   3.411E+01  1.773E+00 
3.440E+01   3.438E+01  1.765E+00 
3.485E+01   3.466E+01  1.757E+00 
3.530E+01   3.494E+01  1.748E+00 
3.576E+01   3.523E+01  1.740E+00 
3.623E+01   3.553E+01  1.732E+00 
3.670E+01   3.582E+01  1.723E+00 
3.717E+01   3.613E+01  1.715E+00 
3.766E+01   3.643E+01  1.706E+00 
3.815E+01   3.675E+01  1.698E+00 
3.864E+01   3.706E+01  1.690E+00 
3.914E+01   3.739E+01  1.681E+00 
3.965E+01   3.771E+01  1.673E+00 
4.017E+01   3.804E+01  1.664E+00 
4.069E+01   3.838E+01  1.656E+00 
4.122E+01   3.872E+01  1.647E+00 
4.175E+01   3.906E+01  1.639E+00 
4.230E+01   3.941E+01  1.630E+00 
4.285E+01   3.977E+01  1.622E+00 
4.340E+01   4.012E+01  1.613E+00 
4.397E+01   4.049E+01  1.605E+00 
4.454E+01   4.085E+01  1.596E+00 
4.512E+01   4.122E+01  1.588E+00 
4.570E+01   4.160E+01  1.579E+00 
4.630E+01   4.198E+01  1.571E+00 
4.690E+01   4.236E+01  1.562E+00 
4.751E+01   4.275E+01  1.554E+00 
4.813E+01   4.315E+01  1.545E+00 
4.875E+01   4.354E+01  1.537E+00 
4.939E+01   4.394E+01  1.528E+00 
5.003E+01   4.435E+01  1.520E+00 
5.068E+01   4.476E+01  1.511E+00 
5.134E+01   4.517E+01  1.503E+00 
5.200E+01   4.559E+01  1.494E+00 
5.268E+01   4.602E+01  1.486E+00 
5.336E+01   4.644E+01  1.477E+00 
5.406E+01   4.687E+01  1.469E+00 
5.476E+01   4.731E+01  1.460E+00 
5.547E+01   4.775E+01  1.452E+00 
5.619E+01   4.819E+01  1.443E+00 
5.692E+01   4.864E+01  1.435E+00 
5.766E+01   4.909E+01  1.426E+00 
5.841E+01   4.954E+01  1.418E+00 
5.917E+01   5.000E+01  1.410E+00 
5.994E+01   5.047E+01  1.401E+00 
6.072E+01   5.093E+01  1.393E+00 
6.151E+01   5.140E+01  1.384E+00 
6.231E+01   5.188E+01  1.376E+00 
6.312E+01   5.236E+01  1.368E+00 
6.394E+01   5.284E+01  1.359E+00 
6.477E+01   5.333E+01  1.351E+00 
6.561E+01   5.382E+01  1.343E+00 
6.646E+01   5.432E+01  1.334E+00 
6.733E+01   5.481E+01  1.326E+00 
6.820E+01   5.532E+01  1.318E+00 
6.909E+01   5.582E+01  1.309E+00 
6.999E+01   5.634E+01  1.301E+00 
7.090E+01   5.685E+01  1.293E+00 
7.182E+01   5.737E+01  1.285E+00 
7.275E+01   5.789E+01  1.277E+00 
7.370E+01   5.842E+01  1.268E+00 
7.465E+01   5.895E+01  1.260E+00 
7.562E+01   5.948E+01  1.252E+00 
7.661E+01   6.002E+01  1.244E+00 
7.760E+01   6.056E+01  1.236E+00 
7.861E+01   6.111E+01  1.228E+00 
7.963E+01   6.165E+01  1.220E+00 
8.067E+01   6.221E+01  1.212E+00 
8.172E+01   6.276E+01  1.204E+00 
8.278E+01   6.332E+01  1.196E+00 
8.385E+01   6.389E+01  1.188E+00 
8.494E+01   6.446E+01  1.180E+00 
8.605E+01   6.503E+01  1.172E+00 
8.717E+01   6.560E+01  1.164E+00 
8.830E+01   6.618E+01  1.156E+00 
8.945E+01   6.676E+01  1.148E+00 
9.061E+01   6.735E+01  1.141E+00 
9.179E+01   6.794E+01  1.133E+00 
9.298E+01   6.853E+01  1.125E+00 
9.419E+01   6.912E+01  1.117E+00 
9.541E+01   6.972E+01  1.110E+00 
9.665E+01   7.032E+01  1.102E+00 
9.791E+01   7.093E+01  1.094E+00 
9.918E+01   7.154E+01  1.087E+00 
1.005E+02   7.215E+01  1.079E+00 
1.018E+02   7.277E+01  1.071E+00 
1.031E+02   7.338E+01  1.064E+00 
1.044E+02   7.401E+01  1.056E+00 
1.058E+02   7.463E+01  1.049E+00 
1.072E+02   7.526E+01  1.041E+00 
1.086E+02   7.589E+01  1.034E+00 
1.100E+02   7.652E+01  1.027E+00 
1.114E+02   7.716E+01  1.019E+00 
1.129E+02   7.780E+01  1.012E+00 
1.143E+02   7.844E+01  1.004E+00 
1.158E+02   7.908E+01  9.972E-01 
1.173E+02   7.973E+01  9.899E-01 
1.188E+02   8.038E+01  9.827E-01 
1.204E+02   8.103E+01  9.755E-01 
1.219E+02   8.168E+01  9.684E-01 
1.235E+02   8.234E+01  9.612E-01 
1.251E+02   8.300E+01  9.541E-01 
1.268E+02   8.366E+01  9.471E-01 
1.284E+02   8.432E+01  9.400E-01 
1.301E+02   8.498E+01  9.330E-01 
1.318E+02   8.565E+01  9.261E-01 
1.335E+02   8.632E+01  9.191E-01 
1.352E+02   8.698E+01  9.122E-01 
1.370E+02   8.766E+01  9.054E-01 
1.388E+02   8.833E+01  8.985E-01 
1.406E+02   8.900E+01  8.917E-01 
1.424E+02   8.968E+01  8.850E-01 
1.442E+02   9.035E+01  8.782E-01 
1.461E+02   9.103E+01  8.715E-01 
1.480E+02   9.171E+01  8.648E-01 
1.499E+02   9.239E+01  8.582E-01 
1.519E+02   9.307E+01  8.516E-01 
1.539E+02   9.375E+01  8.450E-01 
1.559E+02   9.443E+01  8.385E-01 
1.579E+02   9.511E+01  8.320E-01 
1.599E+02   9.579E+01  8.255E-01 
1.620E+02   9.647E+01  8.191E-01 
1.641E+02   9.716E+01  8.127E-01 
1.662E+02   9.784E+01  8.063E-01 
1.684E+02   9.852E+01  8.000E-01 
1.706E+02   9.920E+01  7.937E-01 
1.728E+02   9.988E+01  7.874E-01 
1.751E+02   1.006E+02  7.812E-01 
1.773E+02   1.012E+02  7.750E-01 
1.796E+02   1.019E+02  7.688E-01 
1.820E+02   1.026E+02  7.627E-01 
1.843E+02   1.033E+02  7.566E-01 
1.867E+02   1.039E+02  7.506E-01 
1.892E+02   1.046E+02  7.446E-01 
1.916E+02   1.053E+02  7.386E-01 
1.941E+02   1.060E+02  7.326E-01 
1.966E+02   1.066E+02  7.267E-01 
1.992E+02   1.073E+02  7.208E-01 
2.018E+02   1.080E+02  7.150E-01 
2.044E+02   1.086E+02  7.092E-01 
2.071E+02   1.093E+02  7.034E-01 
2.097E+02   1.099E+02  6.976E-01 
2.125E+02   1.106E+02  6.919E-01 
2.152E+02   1.112E+02  6.863E-01 
2.180E+02   1.119E+02  6.806E-01 
2.209E+02   1.125E+02  6.750E-01 
2.237E+02   1.132E+02  6.694E-01 
2.266E+02   1.138E+02  6.639E-01 
2.296E+02   1.144E+02  6.584E-01 
2.326E+02   1.151E+02  6.529E-01 
2.356E+02   1.157E+02  6.475E-01 
2.387E+02   1.163E+02  6.421E-01 
2.418E+02   1.169E+02  6.367E-01 
2.449E+02   1.175E+02  6.314E-01 
2.481E+02   1.181E+02  6.261E-01 
2.513E+02   1.187E+02  6.209E-01 
2.546E+02   1.193E+02  6.156E-01 
2.579E+02   1.199E+02  6.104E-01 
2.612E+02   1.205E+02  6.053E-01 
2.646E+02   1.211E+02  6.002E-01 
2.681E+02   1.217E+02  5.951E-01 
2.716E+02   1.222E+02  5.900E-01 
2.751E+02   1.228E+02  5.850E-01 
2.787E+02   1.233E+02  5.800E-01 
2.823E+02   1.239E+02  5.750E-01 
2.859E+02   1.244E+02  5.701E-01 
2.897E+02   1.250E+02  5.652E-01 
2.934E+02   1.255E+02  5.604E-01 
2.972E+02   1.260E+02  5.555E-01 
3.011E+02   1.265E+02  5.508E-01 
3.050E+02   1.270E+02  5.460E-01 
3.090E+02   1.275E+02  5.413E-01 
3.130E+02   1.280E+02  5.366E-01 
3.171E+02   1.285E+02  5.319E-01 
3.212E+02   1.290E+02  5.273E-01 
3.254E+02   1.294E+02  5.227E-01 
3.296E+02   1.299E+02  5.181E-01 
3.339E+02   1.303E+02  5.136E-01 
3.382E+02   1.308E+02  5.091E-01 
3.426E+02   1.312E+02  5.047E-01 
3.471E+02   1.316E+02  5.002E-01 
3.516E+02   1.320E+02  4.958E-01 
3.561E+02   1.325E+02  4.914E-01 
3.608E+02   1.329E+02  4.871E-01 
3.655E+02   1.332E+02  4.828E-01 
3.702E+02   1.336E+02  4.785E-01 
3.750E+02   1.340E+02  4.743E-01 
3.799E+02   1.343E+02  4.701E-01 
3.848E+02   1.347E+02  4.659E-01 
3.898E+02   1.350E+02  4.617E-01 
3.949E+02   1.354E+02  4.576E-01 
4.000E+02   1.357E+02  4.535E-01 
4.052E+02   1.360E+02  4.495E-01 
4.105E+02   1.363E+02  4.454E-01 
4.158E+02   1.366E+02  4.414E-01 
4.212E+02   1.369E+02  4.375E-01 
4.267E+02   1.371E+02  4.335E-01 
4.323E+02   1.374E+02  4.296E-01 
4.379E+02   1.376E+02  4.257E-01 
4.436E+02   1.379E+02  4.219E-01 
4.493E+02   1.381E+02  4.181E-01 
4.552E+02   1.383E+02  4.143E-01 
4.611E+02   1.385E+02  4.105E-01 
4.671E+02   1.387E+02  4.036E-01 
4.731E+02   1.389E+02  3.999E-01 
4.793E+02   1.391E+02  3.963E-01 
4.855E+02   1.393E+02  3.927E-01 
4.918E+02   1.394E+02  3.891E-01 
4.982E+02   1.396E+02  3.855E-01 
5.047E+02   1.397E+02  3.820E-01 
5.113E+02   1.398E+02  3.785E-01 
5.179E+02   1.399E+02  3.750E-01 
5.246E+02   1.400E+02  3.716E-01 
5.315E+02   1.401E+02  3.682E-01 
5.384E+02   1.402E+02  3.648E-01 
5.454E+02   1.403E+02  3.614E-01 
5.524E+02   1.403E+02  3.580E-01 
5.596E+02   1.404E+02  3.547E-01 
5.669E+02   1.404E+02  3.514E-01 
5.743E+02   1.404E+02  3.482E-01 
5.817E+02   1.404E+02  3.449E-01 
5.893E+02   1.405E+02  3.417E-01 
5.969E+02   1.404E+02  3.385E-01 
6.047E+02   1.404E+02  3.354E-01 
6.126E+02   1.404E+02  3.322E-01 
6.205E+02   1.404E+02  3.291E-01 
6.286E+02   1.403E+02  3.260E-01 
6.368E+02   1.403E+02  3.230E-01 
6.450E+02   1.402E+02  3.199E-01 
6.534E+02   1.401E+02  3.169E-01 
6.619E+02   1.400E+02  3.140E-01 
6.705E+02   1.399E+02  3.110E-01 
6.792E+02   1.398E+02  3.081E-01 
6.881E+02   1.397E+02  3.051E-01 
6.970E+02   1.396E+02  3.023E-01 
7.061E+02   1.395E+02  2.994E-01 
7.152E+02   1.393E+02  2.965E-01 
7.245E+02   1.392E+02  2.937E-01 
7.339E+02   1.390E+02  2.909E-01 
7.435E+02   1.388E+02  2.882E-01 
7.531E+02   1.387E+02  2.854E-01 
7.629E+02   1.385E+02  2.827E-01 
7.728E+02   1.383E+02  2.800E-01 
7.829E+02   1.381E+02  2.773E-01 
7.931E+02   1.378E+02  2.747E-01 
8.034E+02   1.376E+02  2.720E-01 
8.138E+02   1.374E+02  2.694E-01 
8.244E+02   1.372E+02  2.668E-01 
8.351E+02   1.369E+02  2.642E-01 
8.460E+02   1.366E+02  2.617E-01 
8.570E+02   1.364E+02  2.592E-01 
8.681E+02   1.361E+02  2.567E-01 
8.794E+02   1.358E+02  2.542E-01 
8.908E+02   1.355E+02  2.517E-01 
9.024E+02   1.352E+02  2.493E-01 
9.141E+02   1.349E+02  2.469E-01 
9.260E+02   1.346E+02  2.445E-01 
9.380E+02   1.343E+02  2.421E-01 
9.502E+02   1.340E+02  2.398E-01 
9.626E+02   1.337E+02  2.374E-01 
9.751E+02   1.333E+02  2.351E-01 
9.877E+02   1.330E+02  2.328E-01 
1.001E+03   1.326E+02  2.305E-01 
1.014E+03   1.323E+02  2.283E-01 
1.027E+03   1.319E+02  2.261E-01 
1.040E+03   1.315E+02  2.238E-01 
1.054E+03   1.312E+02  2.217E-01 
1.067E+03   1.308E+02  2.195E-01 
1.081E+03   1.304E+02  2.173E-01 
