Ion = Helium      . Mass = 4.0026
Tgt = Ho (Solid). Density = 8.795 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.831E+00  1.947E+00 
1.013E+00   3.856E+00  1.953E+00 
1.026E+00   3.881E+00  1.958E+00 
1.039E+00   3.906E+00  1.963E+00 
1.053E+00   3.931E+00  1.968E+00 
1.067E+00   3.957E+00  1.973E+00 
1.081E+00   3.982E+00  1.979E+00 
1.095E+00   4.008E+00  1.984E+00 
1.109E+00   4.034E+00  1.989E+00 
1.123E+00   4.060E+00  1.994E+00 
1.138E+00   4.087E+00  1.999E+00 
1.153E+00   4.113E+00  2.004E+00 
1.168E+00   4.140E+00  2.009E+00 
1.183E+00   4.167E+00  2.014E+00 
1.198E+00   4.194E+00  2.019E+00 
1.214E+00   4.221E+00  2.024E+00 
1.229E+00   4.248E+00  2.029E+00 
1.245E+00   4.276E+00  2.034E+00 
1.262E+00   4.303E+00  2.039E+00 
1.278E+00   4.331E+00  2.044E+00 
1.295E+00   4.359E+00  2.048E+00 
1.311E+00   4.387E+00  2.053E+00 
1.329E+00   4.416E+00  2.058E+00 
1.346E+00   4.444E+00  2.063E+00 
1.363E+00   4.473E+00  2.067E+00 
1.381E+00   4.502E+00  2.072E+00 
1.399E+00   4.531E+00  2.077E+00 
1.417E+00   4.561E+00  2.081E+00 
1.436E+00   4.590E+00  2.086E+00 
1.454E+00   4.620E+00  2.090E+00 
1.473E+00   4.650E+00  2.095E+00 
1.492E+00   4.680E+00  2.099E+00 
1.512E+00   4.710E+00  2.104E+00 
1.531E+00   4.741E+00  2.108E+00 
1.551E+00   4.772E+00  2.113E+00 
1.571E+00   4.802E+00  2.117E+00 
1.592E+00   4.834E+00  2.122E+00 
1.612E+00   4.865E+00  2.126E+00 
1.633E+00   4.896E+00  2.130E+00 
1.655E+00   4.928E+00  2.134E+00 
1.676E+00   4.960E+00  2.139E+00 
1.698E+00   4.992E+00  2.143E+00 
1.720E+00   5.024E+00  2.147E+00 
1.742E+00   5.057E+00  2.151E+00 
1.765E+00   5.090E+00  2.155E+00 
1.788E+00   5.123E+00  2.159E+00 
1.811E+00   5.156E+00  2.163E+00 
1.835E+00   5.189E+00  2.167E+00 
1.859E+00   5.223E+00  2.171E+00 
1.883E+00   5.257E+00  2.175E+00 
1.907E+00   5.291E+00  2.179E+00 
1.932E+00   5.325E+00  2.183E+00 
1.957E+00   5.360E+00  2.187E+00 
1.983E+00   5.394E+00  2.190E+00 
2.008E+00   5.429E+00  2.194E+00 
2.034E+00   5.464E+00  2.198E+00 
2.061E+00   5.500E+00  2.201E+00 
2.088E+00   5.535E+00  2.205E+00 
2.115E+00   5.571E+00  2.209E+00 
2.142E+00   5.607E+00  2.212E+00 
2.170E+00   5.644E+00  2.216E+00 
2.198E+00   5.680E+00  2.219E+00 
2.227E+00   5.717E+00  2.222E+00 
2.256E+00   5.754E+00  2.226E+00 
2.285E+00   5.791E+00  2.229E+00 
2.315E+00   5.829E+00  2.232E+00 
2.345E+00   5.867E+00  2.236E+00 
2.375E+00   5.905E+00  2.239E+00 
2.406E+00   5.943E+00  2.242E+00 
2.438E+00   5.981E+00  2.245E+00 
2.469E+00   6.020E+00  2.248E+00 
2.501E+00   6.059E+00  2.251E+00 
2.534E+00   6.098E+00  2.254E+00 
2.567E+00   6.138E+00  2.257E+00 
2.600E+00   6.178E+00  2.260E+00 
2.634E+00   6.218E+00  2.263E+00 
2.668E+00   6.258E+00  2.266E+00 
2.703E+00   6.298E+00  2.268E+00 
2.738E+00   6.339E+00  2.271E+00 
2.773E+00   6.380E+00  2.274E+00 
2.810E+00   6.422E+00  2.276E+00 
2.846E+00   6.463E+00  2.279E+00 
2.883E+00   6.505E+00  2.281E+00 
2.921E+00   6.547E+00  2.284E+00 
2.958E+00   6.590E+00  2.286E+00 
2.997E+00   6.632E+00  2.289E+00 
3.036E+00   6.675E+00  2.291E+00 
3.075E+00   6.718E+00  2.293E+00 
3.115E+00   6.762E+00  2.296E+00 
3.156E+00   6.806E+00  2.298E+00 
3.197E+00   6.850E+00  2.300E+00 
3.238E+00   6.894E+00  2.302E+00 
3.280E+00   6.939E+00  2.304E+00 
3.323E+00   6.984E+00  2.306E+00 
3.366E+00   7.029E+00  2.308E+00 
3.410E+00   7.075E+00  2.310E+00 
3.454E+00   7.120E+00  2.312E+00 
3.499E+00   7.167E+00  2.313E+00 
3.545E+00   7.213E+00  2.315E+00 
3.591E+00   7.260E+00  2.317E+00 
3.637E+00   7.307E+00  2.318E+00 
3.685E+00   7.354E+00  2.320E+00 
3.733E+00   7.402E+00  2.321E+00 
3.781E+00   7.450E+00  2.323E+00 
3.830E+00   7.498E+00  2.324E+00 
3.880E+00   7.546E+00  2.326E+00 
3.930E+00   7.595E+00  2.327E+00 
3.982E+00   7.644E+00  2.328E+00 
4.033E+00   7.694E+00  2.329E+00 
4.086E+00   7.744E+00  2.330E+00 
4.139E+00   7.794E+00  2.332E+00 
4.193E+00   7.844E+00  2.333E+00 
4.247E+00   7.895E+00  2.333E+00 
4.302E+00   7.946E+00  2.334E+00 
4.358E+00   7.998E+00  2.335E+00 
4.415E+00   8.050E+00  2.336E+00 
4.472E+00   8.102E+00  2.337E+00 
4.530E+00   8.154E+00  2.337E+00 
4.589E+00   8.207E+00  2.338E+00 
4.649E+00   8.260E+00  2.339E+00 
4.709E+00   8.314E+00  2.339E+00 
4.770E+00   8.368E+00  2.339E+00 
4.832E+00   8.422E+00  2.340E+00 
4.895E+00   8.476E+00  2.340E+00 
4.959E+00   8.531E+00  2.340E+00 
5.023E+00   8.587E+00  2.341E+00 
5.089E+00   8.642E+00  2.341E+00 
5.155E+00   8.698E+00  2.341E+00 
5.222E+00   8.754E+00  2.341E+00 
5.290E+00   8.811E+00  2.341E+00 
5.358E+00   8.868E+00  2.341E+00 
5.428E+00   8.926E+00  2.340E+00 
5.499E+00   8.984E+00  2.340E+00 
5.570E+00   9.042E+00  2.340E+00 
5.642E+00   9.100E+00  2.339E+00 
5.716E+00   9.159E+00  2.339E+00 
5.790E+00   9.219E+00  2.339E+00 
5.865E+00   9.278E+00  2.338E+00 
5.942E+00   9.338E+00  2.337E+00 
6.019E+00   9.399E+00  2.337E+00 
6.097E+00   9.460E+00  2.336E+00 
6.176E+00   9.521E+00  2.335E+00 
6.256E+00   9.583E+00  2.334E+00 
6.338E+00   9.645E+00  2.333E+00 
6.420E+00   9.707E+00  2.332E+00 
6.504E+00   9.770E+00  2.331E+00 
6.588E+00   9.833E+00  2.330E+00 
6.674E+00   9.897E+00  2.329E+00 
6.760E+00   9.961E+00  2.328E+00 
6.848E+00   1.003E+01  2.326E+00 
6.937E+00   1.009E+01  2.325E+00 
7.027E+00   1.016E+01  2.324E+00 
7.119E+00   1.022E+01  2.322E+00 
7.211E+00   1.029E+01  2.321E+00 
7.305E+00   1.035E+01  2.319E+00 
7.400E+00   1.042E+01  2.317E+00 
7.496E+00   1.049E+01  2.315E+00 
7.594E+00   1.056E+01  2.314E+00 
7.692E+00   1.063E+01  2.312E+00 
7.792E+00   1.069E+01  2.310E+00 
7.894E+00   1.076E+01  2.308E+00 
7.996E+00   1.083E+01  2.306E+00 
8.100E+00   1.092E+01  2.303E+00 
8.205E+00   1.101E+01  2.301E+00 
8.312E+00   1.110E+01  2.299E+00 
8.420E+00   1.118E+01  2.297E+00 
8.529E+00   1.127E+01  2.294E+00 
8.640E+00   1.137E+01  2.292E+00 
8.753E+00   1.146E+01  2.289E+00 
8.866E+00   1.155E+01  2.286E+00 
8.982E+00   1.164E+01  2.284E+00 
9.098E+00   1.174E+01  2.281E+00 
9.217E+00   1.183E+01  2.278E+00 
9.336E+00   1.193E+01  2.275E+00 
9.458E+00   1.202E+01  2.272E+00 
9.581E+00   1.212E+01  2.269E+00 
9.705E+00   1.222E+01  2.266E+00 
9.831E+00   1.232E+01  2.263E+00 
9.959E+00   1.242E+01  2.260E+00 
1.009E+01   1.252E+01  2.257E+00 
1.022E+01   1.262E+01  2.253E+00 
1.035E+01   1.272E+01  2.250E+00 
