Ion = Helium      . Mass = 4.0026
Tgt = Er (Solid). Density = 9.066 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.844E+00  1.931E+00 
1.013E+00   4.875E+00  1.936E+00 
1.026E+00   4.907E+00  1.942E+00 
1.039E+00   4.939E+00  1.947E+00 
1.053E+00   4.971E+00  1.953E+00 
1.067E+00   5.003E+00  1.958E+00 
1.081E+00   5.035E+00  1.963E+00 
1.095E+00   5.068E+00  1.969E+00 
1.109E+00   5.101E+00  1.974E+00 
1.123E+00   5.134E+00  1.979E+00 
1.138E+00   5.167E+00  1.984E+00 
1.153E+00   5.201E+00  1.990E+00 
1.168E+00   5.234E+00  1.995E+00 
1.183E+00   5.268E+00  2.000E+00 
1.198E+00   5.302E+00  2.005E+00 
1.214E+00   5.337E+00  2.010E+00 
1.229E+00   5.371E+00  2.015E+00 
1.245E+00   5.406E+00  2.020E+00 
1.262E+00   5.441E+00  2.025E+00 
1.278E+00   5.476E+00  2.031E+00 
1.295E+00   5.512E+00  2.036E+00 
1.311E+00   5.547E+00  2.041E+00 
1.329E+00   5.583E+00  2.045E+00 
1.346E+00   5.620E+00  2.050E+00 
1.363E+00   5.656E+00  2.055E+00 
1.381E+00   5.693E+00  2.060E+00 
1.399E+00   5.729E+00  2.065E+00 
1.417E+00   5.767E+00  2.070E+00 
1.436E+00   5.804E+00  2.075E+00 
1.454E+00   5.842E+00  2.079E+00 
1.473E+00   5.879E+00  2.084E+00 
1.492E+00   5.917E+00  2.089E+00 
1.512E+00   5.956E+00  2.094E+00 
1.531E+00   5.994E+00  2.098E+00 
1.551E+00   6.033E+00  2.103E+00 
1.571E+00   6.072E+00  2.107E+00 
1.592E+00   6.112E+00  2.112E+00 
1.612E+00   6.151E+00  2.117E+00 
1.633E+00   6.191E+00  2.121E+00 
1.655E+00   6.231E+00  2.125E+00 
1.676E+00   6.272E+00  2.130E+00 
1.698E+00   6.312E+00  2.134E+00 
1.720E+00   6.353E+00  2.139E+00 
1.742E+00   6.394E+00  2.143E+00 
1.765E+00   6.436E+00  2.147E+00 
1.788E+00   6.477E+00  2.152E+00 
1.811E+00   6.519E+00  2.156E+00 
1.835E+00   6.561E+00  2.160E+00 
1.859E+00   6.604E+00  2.164E+00 
1.883E+00   6.647E+00  2.168E+00 
1.907E+00   6.690E+00  2.172E+00 
1.932E+00   6.733E+00  2.176E+00 
1.957E+00   6.777E+00  2.180E+00 
1.983E+00   6.821E+00  2.184E+00 
2.008E+00   6.865E+00  2.188E+00 
2.034E+00   6.909E+00  2.192E+00 
2.061E+00   6.954E+00  2.196E+00 
2.088E+00   6.999E+00  2.200E+00 
2.115E+00   7.044E+00  2.204E+00 
2.142E+00   7.090E+00  2.208E+00 
2.170E+00   7.136E+00  2.211E+00 
2.198E+00   7.182E+00  2.215E+00 
2.227E+00   7.229E+00  2.219E+00 
2.256E+00   7.276E+00  2.222E+00 
2.285E+00   7.323E+00  2.226E+00 
2.315E+00   7.370E+00  2.229E+00 
2.345E+00   7.418E+00  2.233E+00 
2.375E+00   7.466E+00  2.236E+00 
2.406E+00   7.514E+00  2.240E+00 
2.438E+00   7.563E+00  2.243E+00 
2.469E+00   7.612E+00  2.246E+00 
2.501E+00   7.661E+00  2.249E+00 
2.534E+00   7.711E+00  2.253E+00 
2.567E+00   7.761E+00  2.256E+00 
2.600E+00   7.811E+00  2.259E+00 
2.634E+00   7.862E+00  2.262E+00 
2.668E+00   7.913E+00  2.265E+00 
2.703E+00   7.964E+00  2.268E+00 
2.738E+00   8.015E+00  2.271E+00 
2.773E+00   8.067E+00  2.274E+00 
2.810E+00   8.120E+00  2.277E+00 
2.846E+00   8.172E+00  2.280E+00 
2.883E+00   8.225E+00  2.282E+00 
2.921E+00   8.278E+00  2.285E+00 
2.958E+00   8.332E+00  2.288E+00 
2.997E+00   8.386E+00  2.290E+00 
3.036E+00   8.440E+00  2.293E+00 
3.075E+00   8.495E+00  2.295E+00 
3.115E+00   8.550E+00  2.298E+00 
3.156E+00   8.605E+00  2.300E+00 
3.197E+00   8.661E+00  2.303E+00 
3.238E+00   8.717E+00  2.305E+00 
3.280E+00   8.774E+00  2.307E+00 
3.323E+00   8.830E+00  2.309E+00 
3.366E+00   8.888E+00  2.312E+00 
3.410E+00   8.945E+00  2.314E+00 
3.454E+00   9.003E+00  2.316E+00 
3.499E+00   9.061E+00  2.318E+00 
3.545E+00   9.120E+00  2.320E+00 
3.591E+00   9.179E+00  2.322E+00 
3.637E+00   9.239E+00  2.323E+00 
3.685E+00   9.299E+00  2.325E+00 
3.733E+00   9.359E+00  2.327E+00 
3.781E+00   9.419E+00  2.329E+00 
3.830E+00   9.480E+00  2.330E+00 
3.880E+00   9.542E+00  2.332E+00 
3.930E+00   9.604E+00  2.333E+00 
