Ion = Helium      . Mass = 4.0026
Tgt =  N (Solid). Density = 1.026 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.236E+00  3.734E+00 
1.013E+00   2.251E+00  3.727E+00 
1.026E+00   2.266E+00  3.720E+00 
1.039E+00   2.280E+00  3.713E+00 
1.053E+00   2.295E+00  3.706E+00 
1.067E+00   2.310E+00  3.698E+00 
1.081E+00   2.325E+00  3.690E+00 
1.095E+00   2.340E+00  3.683E+00 
1.109E+00   2.355E+00  3.675E+00 
1.123E+00   2.370E+00  3.667E+00 
1.138E+00   2.386E+00  3.659E+00 
1.153E+00   2.401E+00  3.651E+00 
1.168E+00   2.417E+00  3.643E+00 
1.183E+00   2.432E+00  3.634E+00 
1.198E+00   2.448E+00  3.626E+00 
1.214E+00   2.464E+00  3.617E+00 
1.229E+00   2.480E+00  3.608E+00 
1.245E+00   2.496E+00  3.600E+00 
1.262E+00   2.512E+00  3.591E+00 
1.278E+00   2.528E+00  3.582E+00 
1.295E+00   2.545E+00  3.573E+00 
1.311E+00   2.561E+00  3.563E+00 
1.329E+00   2.578E+00  3.554E+00 
1.346E+00   2.595E+00  3.545E+00 
1.363E+00   2.611E+00  3.535E+00 
1.381E+00   2.628E+00  3.525E+00 
1.399E+00   2.645E+00  3.516E+00 
1.417E+00   2.662E+00  3.506E+00 
1.436E+00   2.680E+00  3.496E+00 
1.454E+00   2.697E+00  3.486E+00 
1.473E+00   2.714E+00  3.476E+00 
1.492E+00   2.732E+00  3.465E+00 
1.512E+00   2.750E+00  3.455E+00 
1.531E+00   2.768E+00  3.445E+00 
1.551E+00   2.786E+00  3.434E+00 
1.571E+00   2.804E+00  3.424E+00 
1.592E+00   2.822E+00  3.413E+00 
1.612E+00   2.840E+00  3.402E+00 
1.633E+00   2.858E+00  3.391E+00 
1.655E+00   2.877E+00  3.380E+00 
1.676E+00   2.896E+00  3.369E+00 
1.698E+00   2.914E+00  3.358E+00 
1.720E+00   2.933E+00  3.347E+00 
1.742E+00   2.952E+00  3.336E+00 
1.765E+00   2.971E+00  3.324E+00 
1.788E+00   2.991E+00  3.313E+00 
1.811E+00   3.010E+00  3.301E+00 
1.835E+00   3.029E+00  3.290E+00 
1.859E+00   3.049E+00  3.278E+00 
1.883E+00   3.069E+00  3.266E+00 
1.907E+00   3.089E+00  3.255E+00 
1.932E+00   3.109E+00  3.243E+00 
1.957E+00   3.129E+00  3.231E+00 
1.983E+00   3.149E+00  3.219E+00 
2.008E+00   3.169E+00  3.207E+00 
2.034E+00   3.190E+00  3.195E+00 
2.061E+00   3.211E+00  3.182E+00 
2.088E+00   3.231E+00  3.170E+00 
2.115E+00   3.252E+00  3.158E+00 
2.142E+00   3.273E+00  3.145E+00 
2.170E+00   3.295E+00  3.133E+00 
2.198E+00   3.316E+00  3.120E+00 
2.227E+00   3.338E+00  3.108E+00 
2.256E+00   3.359E+00  3.095E+00 
2.285E+00   3.381E+00  3.082E+00 
2.315E+00   3.403E+00  3.070E+00 
2.345E+00   3.425E+00  3.057E+00 
2.375E+00   3.447E+00  3.044E+00 
2.406E+00   3.469E+00  3.031E+00 
2.438E+00   3.492E+00  3.018E+00 
2.469E+00   3.514E+00  3.005E+00 
2.501E+00   3.537E+00  2.992E+00 
2.534E+00   3.560E+00  2.979E+00 
2.567E+00   3.583E+00  2.966E+00 
2.600E+00   3.606E+00  2.953E+00 
2.634E+00   3.630E+00  2.940E+00 
2.668E+00   3.653E+00  2.927E+00 
2.703E+00   3.677E+00  2.913E+00 
2.738E+00   3.701E+00  2.900E+00 
2.773E+00   3.725E+00  2.887E+00 
2.810E+00   3.749E+00  2.873E+00 
2.846E+00   3.773E+00  2.860E+00 
2.883E+00   3.798E+00  2.846E+00 
2.921E+00   3.822E+00  2.833E+00 
2.958E+00   3.847E+00  2.819E+00 
2.997E+00   3.872E+00  2.806E+00 
3.036E+00   3.897E+00  2.792E+00 
3.075E+00   3.922E+00  2.779E+00 
3.115E+00   3.948E+00  2.765E+00 
3.156E+00   3.973E+00  2.752E+00 
3.197E+00   3.999E+00  2.738E+00 
3.238E+00   4.025E+00  2.724E+00 
3.280E+00   4.051E+00  2.711E+00 
3.323E+00   4.077E+00  2.697E+00 
3.366E+00   4.104E+00  2.683E+00 
3.410E+00   4.130E+00  2.669E+00 
3.454E+00   4.157E+00  2.656E+00 
3.499E+00   4.184E+00  2.642E+00 
3.545E+00   4.211E+00  2.628E+00 
3.591E+00   4.238E+00  2.614E+00 
3.637E+00   4.266E+00  2.601E+00 
3.685E+00   4.293E+00  2.587E+00 
3.733E+00   4.321E+00  2.573E+00 
3.781E+00   4.349E+00  2.559E+00 
