Ion = Helium      . Mass = 4.0026
Tgt = Yb (Solid). Density = 6.96 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.423E+00  1.833E+00 
1.013E+00   5.458E+00  1.838E+00 
1.026E+00   5.494E+00  1.843E+00 
1.039E+00   5.529E+00  1.848E+00 
1.053E+00   5.565E+00  1.853E+00 
1.067E+00   5.601E+00  1.858E+00 
1.081E+00   5.638E+00  1.863E+00 
1.095E+00   5.674E+00  1.868E+00 
1.109E+00   5.711E+00  1.873E+00 
1.123E+00   5.748E+00  1.878E+00 
1.138E+00   5.785E+00  1.883E+00 
1.153E+00   5.823E+00  1.888E+00 
1.168E+00   5.860E+00  1.893E+00 
1.183E+00   5.898E+00  1.897E+00 
1.198E+00   5.936E+00  1.902E+00 
1.214E+00   5.975E+00  1.907E+00 
1.229E+00   6.014E+00  1.912E+00 
1.245E+00   6.053E+00  1.917E+00 
1.262E+00   6.092E+00  1.921E+00 
1.278E+00   6.131E+00  1.926E+00 
1.295E+00   6.171E+00  1.931E+00 
1.311E+00   6.211E+00  1.936E+00 
1.329E+00   6.251E+00  1.940E+00 
1.346E+00   6.292E+00  1.945E+00 
1.363E+00   6.332E+00  1.950E+00 
1.381E+00   6.373E+00  1.954E+00 
1.399E+00   6.415E+00  1.959E+00 
1.417E+00   6.456E+00  1.963E+00 
1.436E+00   6.498E+00  1.968E+00 
1.454E+00   6.540E+00  1.972E+00 
1.473E+00   6.582E+00  1.977E+00 
1.492E+00   6.625E+00  1.981E+00 
1.512E+00   6.668E+00  1.986E+00 
1.531E+00   6.711E+00  1.990E+00 
1.551E+00   6.755E+00  1.994E+00 
1.571E+00   6.798E+00  1.999E+00 
1.592E+00   6.842E+00  2.003E+00 
1.612E+00   6.887E+00  2.007E+00 
1.633E+00   6.931E+00  2.011E+00 
1.655E+00   6.976E+00  2.016E+00 
1.676E+00   7.021E+00  2.020E+00 
1.698E+00   7.067E+00  2.024E+00 
1.720E+00   7.113E+00  2.028E+00 
1.742E+00   7.159E+00  2.032E+00 
1.765E+00   7.205E+00  2.036E+00 
1.788E+00   7.252E+00  2.040E+00 
1.811E+00   7.299E+00  2.044E+00 
1.835E+00   7.346E+00  2.048E+00 
1.859E+00   7.394E+00  2.052E+00 
1.883E+00   7.442E+00  2.056E+00 
1.907E+00   7.490E+00  2.060E+00 
1.932E+00   7.538E+00  2.064E+00 
1.957E+00   7.587E+00  2.068E+00 
1.983E+00   7.636E+00  2.072E+00 
2.008E+00   7.686E+00  2.075E+00 
2.034E+00   7.735E+00  2.079E+00 
2.061E+00   7.786E+00  2.083E+00 
2.088E+00   7.836E+00  2.086E+00 
2.115E+00   7.887E+00  2.090E+00 
2.142E+00   7.938E+00  2.093E+00 
2.170E+00   7.989E+00  2.097E+00 
2.198E+00   8.041E+00  2.101E+00 
2.227E+00   8.093E+00  2.104E+00 
2.256E+00   8.146E+00  2.107E+00 
2.285E+00   8.198E+00  2.111E+00 
2.315E+00   8.251E+00  2.114E+00 
2.345E+00   8.305E+00  2.118E+00 
2.375E+00   8.359E+00  2.121E+00 
2.406E+00   8.413E+00  2.124E+00 
2.438E+00   8.467E+00  2.127E+00 
2.469E+00   8.522E+00  2.130E+00 
2.501E+00   8.577E+00  2.134E+00 
2.534E+00   8.633E+00  2.137E+00 
2.567E+00   8.689E+00  2.140E+00 
2.600E+00   8.745E+00  2.143E+00 
2.634E+00   8.802E+00  2.146E+00 
2.668E+00   8.859E+00  2.149E+00 
2.703E+00   8.916E+00  2.151E+00 
2.738E+00   8.974E+00  2.154E+00 
2.773E+00   9.032E+00  2.157E+00 
2.810E+00   9.090E+00  2.160E+00 
2.846E+00   9.149E+00  2.163E+00 
2.883E+00   9.209E+00  2.165E+00 
2.921E+00   9.268E+00  2.168E+00 
2.958E+00   9.328E+00  2.170E+00 
2.997E+00   9.389E+00  2.173E+00 
3.036E+00   9.450E+00  2.175E+00 
3.075E+00   9.511E+00  2.178E+00 
3.115E+00   9.572E+00  2.180E+00 
3.156E+00   9.634E+00  2.183E+00 
3.197E+00   9.697E+00  2.185E+00 
3.238E+00   9.760E+00  2.187E+00 
3.280E+00   9.823E+00  2.190E+00 
3.323E+00   9.886E+00  2.192E+00 
3.366E+00   9.950E+00  2.194E+00 
3.410E+00   1.001E+01  2.196E+00 
3.454E+00   1.008E+01  2.198E+00 
3.499E+00   1.015E+01  2.200E+00 
3.545E+00   1.021E+01  2.202E+00 
3.591E+00   1.028E+01  2.204E+00 
3.637E+00   1.034E+01  2.206E+00 
3.685E+00   1.041E+01  2.207E+00 
3.733E+00   1.048E+01  2.209E+00 
3.781E+00   1.055E+01  2.211E+00 
3.830E+00   1.061E+01  2.213E+00 
3.880E+00   1.068E+01  2.214E+00 
3.930E+00   1.075E+01  2.216E+00 
3.982E+00   1.082E+01  2.217E+00 
4.033E+00   1.089E+01  2.219E+00 
4.086E+00   1.096E+01  2.220E+00 
4.139E+00   1.103E+01  2.221E+00 
4.193E+00   1.110E+01  2.223E+00 
4.247E+00   1.118E+01  2.224E+00 
4.302E+00   1.125E+01  2.225E+00 
4.358E+00   1.132E+01  2.226E+00 
4.415E+00   1.140E+01  2.227E+00 
4.472E+00   1.147E+01  2.228E+00 
4.530E+00   1.154E+01  2.229E+00 
4.589E+00   1.162E+01  2.230E+00 
4.649E+00   1.169E+01  2.231E+00 
4.709E+00   1.177E+01  2.232E+00 
