Ion = Helium      . Mass = 4.0026
Tgt = Lu (Solid). Density = 9.841 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.362E+00  1.822E+00 
1.013E+00   4.390E+00  1.827E+00 
1.026E+00   4.418E+00  1.832E+00 
1.039E+00   4.447E+00  1.837E+00 
1.053E+00   4.476E+00  1.842E+00 
1.067E+00   4.505E+00  1.847E+00 
1.081E+00   4.534E+00  1.852E+00 
1.095E+00   4.563E+00  1.857E+00 
1.109E+00   4.593E+00  1.862E+00 
1.123E+00   4.623E+00  1.867E+00 
1.138E+00   4.653E+00  1.872E+00 
1.153E+00   4.683E+00  1.877E+00 
1.168E+00   4.713E+00  1.882E+00 
1.183E+00   4.744E+00  1.887E+00 
1.198E+00   4.774E+00  1.891E+00 
1.214E+00   4.805E+00  1.896E+00 
1.229E+00   4.836E+00  1.901E+00 
1.245E+00   4.868E+00  1.906E+00 
1.262E+00   4.899E+00  1.910E+00 
1.278E+00   4.931E+00  1.915E+00 
1.295E+00   4.963E+00  1.920E+00 
1.311E+00   4.995E+00  1.925E+00 
1.329E+00   5.027E+00  1.929E+00 
1.346E+00   5.060E+00  1.934E+00 
1.363E+00   5.093E+00  1.938E+00 
1.381E+00   5.126E+00  1.943E+00 
1.399E+00   5.159E+00  1.947E+00 
1.417E+00   5.192E+00  1.952E+00 
1.436E+00   5.226E+00  1.956E+00 
1.454E+00   5.260E+00  1.961E+00 
1.473E+00   5.294E+00  1.965E+00 
1.492E+00   5.328E+00  1.970E+00 
1.512E+00   5.363E+00  1.974E+00 
1.531E+00   5.397E+00  1.979E+00 
1.551E+00   5.432E+00  1.983E+00 
1.571E+00   5.468E+00  1.987E+00 
1.592E+00   5.503E+00  1.992E+00 
1.612E+00   5.539E+00  1.996E+00 
1.633E+00   5.575E+00  2.000E+00 
1.655E+00   5.611E+00  2.004E+00 
1.676E+00   5.647E+00  2.008E+00 
1.698E+00   5.684E+00  2.013E+00 
1.720E+00   5.720E+00  2.017E+00 
1.742E+00   5.757E+00  2.021E+00 
1.765E+00   5.795E+00  2.025E+00 
1.788E+00   5.832E+00  2.029E+00 
1.811E+00   5.870E+00  2.033E+00 
1.835E+00   5.908E+00  2.037E+00 
1.859E+00   5.946E+00  2.041E+00 
1.883E+00   5.985E+00  2.045E+00 
1.907E+00   6.024E+00  2.048E+00 
1.932E+00   6.063E+00  2.052E+00 
1.957E+00   6.102E+00  2.056E+00 
1.983E+00   6.141E+00  2.060E+00 
2.008E+00   6.181E+00  2.064E+00 
2.034E+00   6.221E+00  2.067E+00 
2.061E+00   6.262E+00  2.071E+00 
2.088E+00   6.302E+00  2.075E+00 
2.115E+00   6.343E+00  2.078E+00 
2.142E+00   6.384E+00  2.082E+00 
2.170E+00   6.425E+00  2.085E+00 
2.198E+00   6.467E+00  2.089E+00 
2.227E+00   6.509E+00  2.092E+00 
2.256E+00   6.551E+00  2.096E+00 
2.285E+00   6.593E+00  2.099E+00 
2.315E+00   6.636E+00  2.103E+00 
2.345E+00   6.679E+00  2.106E+00 
2.375E+00   6.722E+00  2.109E+00 
2.406E+00   6.766E+00  2.112E+00 
2.438E+00   6.810E+00  2.116E+00 
2.469E+00   6.854E+00  2.119E+00 
2.501E+00   6.898E+00  2.122E+00 
2.534E+00   6.943E+00  2.125E+00 
2.567E+00   6.988E+00  2.128E+00 
2.600E+00   7.033E+00  2.131E+00 
2.634E+00   7.079E+00  2.134E+00 
2.668E+00   7.125E+00  2.137E+00 
2.703E+00   7.171E+00  2.140E+00 
2.738E+00   7.217E+00  2.143E+00 
2.773E+00   7.264E+00  2.146E+00 
2.810E+00   7.311E+00  2.148E+00 
2.846E+00   7.358E+00  2.151E+00 
