Ion = Helium      . Mass = 4.0026
Tgt = Hf (Solid). Density = 13.31 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.211E+00  1.847E+00 
1.013E+00   4.238E+00  1.852E+00 
1.026E+00   4.266E+00  1.858E+00 
1.039E+00   4.293E+00  1.863E+00 
1.053E+00   4.321E+00  1.868E+00 
1.067E+00   4.349E+00  1.873E+00 
1.081E+00   4.377E+00  1.879E+00 
1.095E+00   4.406E+00  1.884E+00 
1.109E+00   4.434E+00  1.889E+00 
1.123E+00   4.463E+00  1.894E+00 
1.138E+00   4.492E+00  1.899E+00 
1.153E+00   4.521E+00  1.905E+00 
1.168E+00   4.550E+00  1.910E+00 
1.183E+00   4.580E+00  1.915E+00 
1.198E+00   4.609E+00  1.920E+00 
1.214E+00   4.639E+00  1.925E+00 
1.229E+00   4.669E+00  1.930E+00 
1.245E+00   4.699E+00  1.935E+00 
1.262E+00   4.730E+00  1.940E+00 
1.278E+00   4.761E+00  1.945E+00 
1.295E+00   4.791E+00  1.950E+00 
1.311E+00   4.822E+00  1.955E+00 
1.329E+00   4.854E+00  1.960E+00 
1.346E+00   4.885E+00  1.964E+00 
1.363E+00   4.917E+00  1.969E+00 
1.381E+00   4.949E+00  1.974E+00 
1.399E+00   4.981E+00  1.979E+00 
1.417E+00   5.013E+00  1.984E+00 
1.436E+00   5.045E+00  1.988E+00 
1.454E+00   5.078E+00  1.993E+00 
1.473E+00   5.111E+00  1.998E+00 
1.492E+00   5.144E+00  2.002E+00 
1.512E+00   5.177E+00  2.007E+00 
1.531E+00   5.211E+00  2.012E+00 
1.551E+00   5.245E+00  2.016E+00 
1.571E+00   5.279E+00  2.021E+00 
1.592E+00   5.313E+00  2.025E+00 
1.612E+00   5.347E+00  2.030E+00 
1.633E+00   5.382E+00  2.034E+00 
1.655E+00   5.417E+00  2.039E+00 
1.676E+00   5.452E+00  2.043E+00 
1.698E+00   5.487E+00  2.048E+00 
1.720E+00   5.523E+00  2.052E+00 
1.742E+00   5.558E+00  2.056E+00 
1.765E+00   5.594E+00  2.061E+00 
1.788E+00   5.631E+00  2.065E+00 
1.811E+00   5.667E+00  2.069E+00 
1.835E+00   5.704E+00  2.073E+00 
1.859E+00   5.741E+00  2.077E+00 
1.883E+00   5.778E+00  2.082E+00 
1.907E+00   5.815E+00  2.086E+00 
1.932E+00   5.853E+00  2.090E+00 
1.957E+00   5.891E+00  2.094E+00 
1.983E+00   5.929E+00  2.098E+00 
2.008E+00   5.967E+00  2.102E+00 
2.034E+00   6.006E+00  2.106E+00 
2.061E+00   6.045E+00  2.110E+00 
2.088E+00   6.084E+00  2.114E+00 
2.115E+00   6.124E+00  2.117E+00 
2.142E+00   6.163E+00  2.121E+00 
2.170E+00   6.203E+00  2.125E+00 
