Ion = Helium      . Mass = 4.0026
Tgt = Ta (Solid). Density = 16.601 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.242E+00  1.831E+00 
1.013E+00   6.282E+00  1.836E+00 
1.026E+00   6.323E+00  1.841E+00 
1.039E+00   6.364E+00  1.847E+00 
1.053E+00   6.405E+00  1.852E+00 
1.067E+00   6.447E+00  1.857E+00 
1.081E+00   6.488E+00  1.862E+00 
1.095E+00   6.530E+00  1.867E+00 
1.109E+00   6.573E+00  1.871E+00 
1.123E+00   6.615E+00  1.876E+00 
1.138E+00   6.658E+00  1.881E+00 
1.153E+00   6.701E+00  1.886E+00 
1.168E+00   6.745E+00  1.891E+00 
1.183E+00   6.788E+00  1.896E+00 
1.198E+00   6.832E+00  1.901E+00 
1.214E+00   6.877E+00  1.906E+00 
1.229E+00   6.921E+00  1.910E+00 
1.245E+00   6.966E+00  1.915E+00 
1.262E+00   7.011E+00  1.920E+00 
1.278E+00   7.056E+00  1.925E+00 
1.295E+00   7.102E+00  1.929E+00 
1.311E+00   7.148E+00  1.934E+00 
1.329E+00   7.194E+00  1.939E+00 
1.346E+00   7.241E+00  1.943E+00 
1.363E+00   7.288E+00  1.948E+00 
1.381E+00   7.335E+00  1.953E+00 
1.399E+00   7.383E+00  1.957E+00 
1.417E+00   7.430E+00  1.962E+00 
1.436E+00   7.479E+00  1.966E+00 
1.454E+00   7.527E+00  1.971E+00 
1.473E+00   7.576E+00  1.975E+00 
1.492E+00   7.625E+00  1.980E+00 
1.512E+00   7.674E+00  1.984E+00 
1.531E+00   7.724E+00  1.989E+00 
1.551E+00   7.774E+00  1.993E+00 
1.571E+00   7.824E+00  1.997E+00 
1.592E+00   7.875E+00  2.002E+00 
1.612E+00   7.926E+00  2.006E+00 
1.633E+00   7.977E+00  2.010E+00 
1.655E+00   8.029E+00  2.014E+00 
1.676E+00   8.081E+00  2.019E+00 
1.698E+00   8.133E+00  2.023E+00 
1.720E+00   8.186E+00  2.027E+00 
1.742E+00   8.239E+00  2.031E+00 
1.765E+00   8.292E+00  2.035E+00 
1.788E+00   8.346E+00  2.039E+00 
1.811E+00   8.400E+00  2.043E+00 
1.835E+00   8.455E+00  2.047E+00 
1.859E+00   8.509E+00  2.051E+00 
1.883E+00   8.565E+00  2.055E+00 
1.907E+00   8.620E+00  2.059E+00 
1.932E+00   8.676E+00  2.063E+00 
1.957E+00   8.732E+00  2.067E+00 
1.983E+00   8.789E+00  2.070E+00 
2.008E+00   8.846E+00  2.074E+00 
2.034E+00   8.903E+00  2.078E+00 
2.061E+00   8.961E+00  2.082E+00 
2.088E+00   9.019E+00  2.085E+00 
2.115E+00   9.077E+00  2.089E+00 
2.142E+00   9.136E+00  2.093E+00 
2.170E+00   9.195E+00  2.096E+00 
2.198E+00   9.255E+00  2.100E+00 
2.227E+00   9.314E+00  2.103E+00 
2.256E+00   9.375E+00  2.107E+00 
2.285E+00   9.436E+00  2.110E+00 
2.315E+00   9.497E+00  2.113E+00 
2.345E+00   9.558E+00  2.117E+00 
2.375E+00   9.620E+00  2.120E+00 
2.406E+00   9.682E+00  2.123E+00 
2.438E+00   9.745E+00  2.127E+00 
2.469E+00   9.808E+00  2.130E+00 
2.501E+00   9.872E+00  2.133E+00 
2.534E+00   9.936E+00  2.136E+00 
2.567E+00   1.000E+01  2.139E+00 
2.600E+00   1.006E+01  2.142E+00 
2.634E+00   1.013E+01  2.145E+00 
2.668E+00   1.020E+01  2.148E+00 
2.703E+00   1.026E+01  2.151E+00 
2.738E+00   1.033E+01  2.154E+00 
2.773E+00   1.040E+01  2.157E+00 
2.810E+00   1.046E+01  2.160E+00 
2.846E+00   1.053E+01  2.162E+00 
2.883E+00   1.060E+01  2.165E+00 
2.921E+00   1.067E+01  2.168E+00 
2.958E+00   1.074E+01  2.170E+00 
2.997E+00   1.081E+01  2.173E+00 
3.036E+00   1.088E+01  2.176E+00 
3.075E+00   1.095E+01  2.178E+00 
3.115E+00   1.102E+01  2.181E+00 
3.156E+00   1.109E+01  2.183E+00 
3.197E+00   1.116E+01  2.185E+00 
3.238E+00   1.123E+01  2.188E+00 
3.280E+00   1.131E+01  2.190E+00 
3.323E+00   1.138E+01  2.192E+00 
3.366E+00   1.145E+01  2.194E+00 
3.410E+00   1.153E+01  2.197E+00 
3.454E+00   1.160E+01  2.199E+00 
3.499E+00   1.168E+01  2.201E+00 
3.545E+00   1.175E+01  2.203E+00 
3.591E+00   1.183E+01  2.205E+00 
3.637E+00   1.190E+01  2.207E+00 
3.685E+00   1.198E+01  2.208E+00 
3.733E+00   1.206E+01  2.210E+00 
3.781E+00   1.214E+01  2.212E+00 
3.830E+00   1.222E+01  2.214E+00 
3.880E+00   1.229E+01  2.215E+00 
3.930E+00   1.237E+01  2.217E+00 
3.982E+00   1.245E+01  2.219E+00 
4.033E+00   1.254E+01  2.220E+00 
4.086E+00   1.262E+01  2.222E+00 
4.139E+00   1.270E+01  2.223E+00 
4.193E+00   1.278E+01  2.224E+00 
