Ion = Helium      . Mass = 4.0026
Tgt =  W (Solid). Density = 19.35 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.430E+00  1.846E+00 
1.013E+00   5.466E+00  1.851E+00 
1.026E+00   5.501E+00  1.856E+00 
1.039E+00   5.537E+00  1.861E+00 
1.053E+00   5.573E+00  1.866E+00 
1.067E+00   5.609E+00  1.871E+00 
1.081E+00   5.645E+00  1.876E+00 
1.095E+00   5.682E+00  1.881E+00 
1.109E+00   5.718E+00  1.886E+00 
1.123E+00   5.755E+00  1.890E+00 
1.138E+00   5.793E+00  1.895E+00 
1.153E+00   5.830E+00  1.900E+00 
1.168E+00   5.868E+00  1.905E+00 
1.183E+00   5.906E+00  1.910E+00 
1.198E+00   5.944E+00  1.915E+00 
1.214E+00   5.983E+00  1.919E+00 
1.229E+00   6.021E+00  1.924E+00 
1.245E+00   6.060E+00  1.929E+00 
1.262E+00   6.100E+00  1.933E+00 
1.278E+00   6.139E+00  1.938E+00 
1.295E+00   6.179E+00  1.943E+00 
1.311E+00   6.219E+00  1.947E+00 
1.329E+00   6.259E+00  1.952E+00 
1.346E+00   6.300E+00  1.956E+00 
1.363E+00   6.341E+00  1.961E+00 
1.381E+00   6.382E+00  1.966E+00 
1.399E+00   6.423E+00  1.970E+00 
1.417E+00   6.465E+00  1.974E+00 
1.436E+00   6.507E+00  1.979E+00 
1.454E+00   6.549E+00  1.983E+00 
1.473E+00   6.591E+00  1.988E+00 
1.492E+00   6.634E+00  1.992E+00 
1.512E+00   6.677E+00  1.996E+00 
1.531E+00   6.720E+00  2.001E+00 
1.551E+00   6.764E+00  2.005E+00 
1.571E+00   6.807E+00  2.009E+00 
1.592E+00   6.851E+00  2.014E+00 
1.612E+00   6.896E+00  2.018E+00 
1.633E+00   6.940E+00  2.022E+00 
1.655E+00   6.985E+00  2.026E+00 
1.676E+00   7.031E+00  2.030E+00 
1.698E+00   7.076E+00  2.034E+00 
1.720E+00   7.122E+00  2.038E+00 
1.742E+00   7.168E+00  2.042E+00 
1.765E+00   7.215E+00  2.046E+00 
1.788E+00   7.261E+00  2.050E+00 
1.811E+00   7.308E+00  2.054E+00 
1.835E+00   7.356E+00  2.058E+00 
1.859E+00   7.403E+00  2.062E+00 
1.883E+00   7.451E+00  2.066E+00 
1.907E+00   7.500E+00  2.070E+00 
1.932E+00   7.548E+00  2.074E+00 
1.957E+00   7.597E+00  2.077E+00 
1.983E+00   7.646E+00  2.081E+00 
2.008E+00   7.696E+00  2.085E+00 
2.034E+00   7.746E+00  2.088E+00 
2.061E+00   7.796E+00  2.092E+00 
2.088E+00   7.846E+00  2.096E+00 
2.115E+00   7.897E+00  2.099E+00 
2.142E+00   7.948E+00  2.103E+00 
2.170E+00   8.000E+00  2.106E+00 
2.198E+00   8.052E+00  2.110E+00 
2.227E+00   8.104E+00  2.113E+00 
2.256E+00   8.156E+00  2.116E+00 
2.285E+00   8.209E+00  2.120E+00 
2.315E+00   8.262E+00  2.123E+00 
2.345E+00   8.316E+00  2.126E+00 
2.375E+00   8.370E+00  2.130E+00 
2.406E+00   8.424E+00  2.133E+00 
2.438E+00   8.478E+00  2.136E+00 
2.469E+00   8.533E+00  2.139E+00 
2.501E+00   8.589E+00  2.142E+00 
2.534E+00   8.644E+00  2.145E+00 
2.567E+00   8.700E+00  2.148E+00 
2.600E+00   8.757E+00  2.151E+00 
2.634E+00   8.813E+00  2.154E+00 
2.668E+00   8.870E+00  2.157E+00 
2.703E+00   8.928E+00  2.160E+00 
2.738E+00   8.986E+00  2.163E+00 
2.773E+00   9.044E+00  2.165E+00 
2.810E+00   9.102E+00  2.168E+00 
2.846E+00   9.161E+00  2.171E+00 
2.883E+00   9.221E+00  2.173E+00 
2.921E+00   9.280E+00  2.176E+00 
2.958E+00   9.341E+00  2.178E+00 
2.997E+00   9.401E+00  2.181E+00 
3.036E+00   9.462E+00  2.183E+00 
3.075E+00   9.523E+00  2.186E+00 
3.115E+00   9.585E+00  2.188E+00 
3.156E+00   9.647E+00  2.191E+00 
3.197E+00   9.709E+00  2.193E+00 
3.238E+00   9.772E+00  2.195E+00 
3.280E+00   9.836E+00  2.197E+00 
3.323E+00   9.899E+00  2.200E+00 
3.366E+00   9.963E+00  2.202E+00 
3.410E+00   1.003E+01  2.204E+00 
3.454E+00   1.009E+01  2.206E+00 
3.499E+00   1.016E+01  2.208E+00 
3.545E+00   1.022E+01  2.210E+00 
3.591E+00   1.029E+01  2.212E+00 
3.637E+00   1.036E+01  2.213E+00 
3.685E+00   1.042E+01  2.215E+00 
3.733E+00   1.049E+01  2.217E+00 
3.781E+00   1.056E+01  2.219E+00 
3.830E+00   1.063E+01  2.220E+00 
3.880E+00   1.070E+01  2.222E+00 
3.930E+00   1.077E+01  2.223E+00 
3.982E+00   1.084E+01  2.225E+00 
4.033E+00   1.091E+01  2.226E+00 
4.086E+00   1.098E+01  2.228E+00 
4.139E+00   1.105E+01  2.229E+00 
4.193E+00   1.112E+01  2.230E+00 
4.247E+00   1.119E+01  2.232E+00 
4.302E+00   1.126E+01  2.233E+00 
4.358E+00   1.134E+01  2.234E+00 
4.415E+00   1.141E+01  2.235E+00 
4.472E+00   1.148E+01  2.236E+00 
4.530E+00   1.156E+01  2.237E+00 
4.589E+00   1.163E+01  2.238E+00 
4.649E+00   1.171E+01  2.239E+00 
4.709E+00   1.178E+01  2.240E+00 
4.770E+00   1.186E+01  2.241E+00 
4.832E+00   1.194E+01  2.241E+00 
4.895E+00   1.202E+01  2.242E+00 
4.959E+00   1.209E+01  2.243E+00 
5.023E+00   1.217E+01  2.243E+00 
5.089E+00   1.225E+01  2.244E+00 
5.155E+00   1.233E+01  2.244E+00 
5.222E+00   1.241E+01  2.245E+00 
5.290E+00   1.249E+01  2.245E+00 
5.358E+00   1.257E+01  2.245E+00 
5.428E+00   1.265E+01  2.245E+00 
5.499E+00   1.273E+01  2.246E+00 
5.570E+00   1.282E+01  2.246E+00 
5.642E+00   1.290E+01  2.246E+00 
5.716E+00   1.298E+01  2.246E+00 
5.790E+00   1.307E+01  2.246E+00 
5.865E+00   1.315E+01  2.246E+00 
5.942E+00   1.324E+01  2.246E+00 
6.019E+00   1.332E+01  2.245E+00 
6.097E+00   1.341E+01  2.245E+00 
6.176E+00   1.350E+01  2.245E+00 
6.256E+00   1.358E+01  2.244E+00 
6.338E+00   1.367E+01  2.244E+00 
6.420E+00   1.376E+01  2.244E+00 
6.504E+00   1.385E+01  2.243E+00 
6.588E+00   1.394E+01  2.242E+00 
6.674E+00   1.403E+01  2.242E+00 
6.760E+00   1.412E+01  2.241E+00 
6.848E+00   1.421E+01  2.240E+00 
6.937E+00   1.430E+01  2.239E+00 
7.027E+00   1.440E+01  2.238E+00 
7.119E+00   1.449E+01  2.237E+00 
7.211E+00   1.458E+01  2.236E+00 
7.305E+00   1.468E+01  2.235E+00 
7.400E+00   1.477E+01  2.234E+00 
7.496E+00   1.487E+01  2.233E+00 
7.594E+00   1.496E+01  2.232E+00 
7.692E+00   1.506E+01  2.230E+00 
7.792E+00   1.516E+01  2.229E+00 
7.894E+00   1.526E+01  2.228E+00 
7.996E+00   1.536E+01  2.226E+00 
8.100E+00   1.545E+01  2.225E+00 
8.205E+00   1.555E+01  2.223E+00 
8.312E+00   1.565E+01  2.221E+00 
8.420E+00   1.576E+01  2.219E+00 
8.529E+00   1.586E+01  2.218E+00 
8.640E+00   1.596E+01  2.216E+00 
8.753E+00   1.606E+01  2.214E+00 
8.866E+00   1.617E+01  2.212E+00 
8.982E+00   1.627E+01  2.210E+00 
9.098E+00   1.638E+01  2.208E+00 
9.217E+00   1.649E+01  2.206E+00 
9.336E+00   1.659E+01  2.203E+00 
9.458E+00   1.670E+01  2.201E+00 
9.581E+00   1.681E+01  2.199E+00 
9.705E+00   1.692E+01  2.196E+00 
9.831E+00   1.703E+01  2.194E+00 
9.959E+00   1.715E+01  2.191E+00 
1.009E+01   1.726E+01  2.189E+00 
1.022E+01   1.737E+01  2.186E+00 
1.035E+01   1.749E+01  2.183E+00 
1.049E+01   1.760E+01  2.180E+00 
1.062E+01   1.772E+01  2.178E+00 
1.076E+01   1.784E+01  2.175E+00 
1.090E+01   1.796E+01  2.172E+00 
1.104E+01   1.808E+01  2.169E+00 
1.119E+01   1.820E+01  2.166E+00 
1.133E+01   1.832E+01  2.163E+00 
1.148E+01   1.844E+01  2.159E+00 
1.163E+01   1.857E+01  2.156E+00 
1.178E+01   1.869E+01  2.153E+00 
1.193E+01   1.882E+01  2.149E+00 
1.209E+01   1.894E+01  2.146E+00 
1.224E+01   1.907E+01  2.142E+00 
1.240E+01   1.920E+01  2.139E+00 
1.256E+01   1.933E+01  2.135E+00 
1.273E+01   1.946E+01  2.132E+00 
1.289E+01   1.959E+01  2.128E+00 
1.306E+01   1.972E+01  2.124E+00 
1.323E+01   1.986E+01  2.120E+00 
1.340E+01   1.999E+01  2.116E+00 
1.358E+01   2.013E+01  2.112E+00 
1.375E+01   2.026E+01  2.108E+00 
1.393E+01   2.040E+01  2.104E+00 
1.411E+01   2.054E+01  2.100E+00 
1.430E+01   2.068E+01  2.096E+00 
1.448E+01   2.082E+01  2.091E+00 
1.467E+01   2.096E+01  2.087E+00 
1.486E+01   2.111E+01  2.083E+00 
1.505E+01   2.125E+01  2.078E+00 
1.525E+01   2.140E+01  2.074E+00 
1.545E+01   2.154E+01  2.069E+00 
1.565E+01   2.169E+01  2.065E+00 
1.585E+01   2.184E+01  2.060E+00 
1.606E+01   2.199E+01  2.055E+00 
1.627E+01   2.214E+01  2.051E+00 
1.648E+01   2.230E+01  2.046E+00 
1.669E+01   2.245E+01  2.041E+00 
1.691E+01   2.261E+01  2.036E+00 
1.713E+01   2.276E+01  2.031E+00 
1.735E+01   2.292E+01  2.026E+00 
1.758E+01   2.308E+01  2.021E+00 
1.781E+01   2.324E+01  2.016E+00 
1.804E+01   2.340E+01  2.011E+00 
1.827E+01   2.356E+01  2.005E+00 
1.851E+01   2.373E+01  2.000E+00 
1.875E+01   2.389E+01  1.995E+00 
1.899E+01   2.406E+01  1.989E+00 
1.924E+01   2.423E+01  1.984E+00 
1.949E+01   2.440E+01  1.978E+00 
1.974E+01   2.457E+01  1.973E+00 
2.000E+01   2.474E+01  1.967E+00 
2.026E+01   2.491E+01  1.962E+00 
2.052E+01   2.509E+01  1.956E+00 
2.079E+01   2.526E+01  1.950E+00 
2.106E+01   2.544E+01  1.945E+00 
2.133E+01   2.562E+01  1.939E+00 
2.161E+01   2.580E+01  1.933E+00 
2.189E+01   2.598E+01  1.927E+00 
2.218E+01   2.616E+01  1.921E+00 
2.247E+01   2.635E+01  1.915E+00 
2.276E+01   2.653E+01  1.909E+00 
2.305E+01   2.672E+01  1.903E+00 
2.335E+01   2.691E+01  1.897E+00 
2.366E+01   2.710E+01  1.891E+00 
2.396E+01   2.729E+01  1.884E+00 
2.428E+01   2.748E+01  1.878E+00 
2.459E+01   2.768E+01  1.872E+00 
2.491E+01   2.787E+01  1.865E+00 
2.523E+01   2.807E+01  1.859E+00 
2.556E+01   2.827E+01  1.853E+00 
2.589E+01   2.847E+01  1.846E+00 
2.623E+01   2.867E+01  1.840E+00 
2.657E+01   2.887E+01  1.833E+00 
2.692E+01   2.908E+01  1.827E+00 
2.727E+01   2.928E+01  1.820E+00 
2.762E+01   2.949E+01  1.813E+00 
2.798E+01   2.970E+01  1.807E+00 
2.834E+01   2.991E+01  1.800E+00 
2.871E+01   3.013E+01  1.793E+00 
2.909E+01   3.034E+01  1.787E+00 
2.946E+01   3.056E+01  1.780E+00 
2.985E+01   3.077E+01  1.773E+00 
3.023E+01   3.099E+01  1.766E+00 
3.063E+01   3.121E+01  1.759E+00 
3.103E+01   3.144E+01  1.752E+00 
3.143E+01   3.166E+01  1.745E+00 
3.184E+01   3.189E+01  1.738E+00 
3.225E+01   3.212E+01  1.731E+00 
3.267E+01   3.235E+01  1.724E+00 
3.309E+01   3.258E+01  1.717E+00 
3.352E+01   3.281E+01  1.710E+00 
3.396E+01   3.304E+01  1.703E+00 
3.440E+01   3.328E+01  1.696E+00 
3.485E+01   3.352E+01  1.689E+00 
3.530E+01   3.376E+01  1.682E+00 
3.576E+01   3.400E+01  1.674E+00 
3.623E+01   3.424E+01  1.667E+00 
3.670E+01   3.449E+01  1.660E+00 
3.717E+01   3.474E+01  1.653E+00 
3.766E+01   3.498E+01  1.645E+00 
3.815E+01   3.523E+01  1.638E+00 
3.864E+01   3.549E+01  1.631E+00 
3.914E+01   3.574E+01  1.623E+00 
3.965E+01   3.600E+01  1.616E+00 
4.017E+01   3.626E+01  1.609E+00 
4.069E+01   3.652E+01  1.601E+00 
4.122E+01   3.678E+01  1.594E+00 
4.175E+01   3.704E+01  1.586E+00 
4.230E+01   3.731E+01  1.579E+00 
4.285E+01   3.757E+01  1.571E+00 
4.340E+01   3.784E+01  1.564E+00 
4.397E+01   3.811E+01  1.556E+00 
4.454E+01   3.839E+01  1.549E+00 
4.512E+01   3.866E+01  1.541E+00 
4.570E+01   3.894E+01  1.534E+00 
4.630E+01   3.922E+01  1.526E+00 
4.690E+01   3.950E+01  1.519E+00 
4.751E+01   3.978E+01  1.511E+00 
4.813E+01   4.007E+01  1.504E+00 
4.875E+01   4.035E+01  1.496E+00 
4.939E+01   4.064E+01  1.489E+00 
5.003E+01   4.094E+01  1.481E+00 
5.068E+01   4.123E+01  1.473E+00 
5.134E+01   4.152E+01  1.466E+00 
5.200E+01   4.182E+01  1.458E+00 
5.268E+01   4.212E+01  1.451E+00 
5.336E+01   4.242E+01  1.443E+00 
5.406E+01   4.272E+01  1.435E+00 
5.476E+01   4.303E+01  1.428E+00 
5.547E+01   4.334E+01  1.420E+00 
5.619E+01   4.365E+01  1.412E+00 
5.692E+01   4.396E+01  1.405E+00 
5.766E+01   4.427E+01  1.397E+00 
5.841E+01   4.459E+01  1.390E+00 
5.917E+01   4.490E+01  1.382E+00 
5.994E+01   4.522E+01  1.374E+00 
6.072E+01   4.555E+01  1.367E+00 
6.151E+01   4.587E+01  1.359E+00 
6.231E+01   4.620E+01  1.352E+00 
6.312E+01   4.653E+01  1.344E+00 
6.394E+01   4.686E+01  1.336E+00 
6.477E+01   4.719E+01  1.329E+00 
6.561E+01   4.752E+01  1.321E+00 
6.646E+01   4.786E+01  1.314E+00 
6.733E+01   4.820E+01  1.306E+00 
6.820E+01   4.854E+01  1.298E+00 
6.909E+01   4.888E+01  1.291E+00 
6.999E+01   4.923E+01  1.283E+00 
7.090E+01   4.958E+01  1.276E+00 
7.182E+01   4.993E+01  1.268E+00 
7.275E+01   5.028E+01  1.261E+00 
7.370E+01   5.063E+01  1.253E+00 
7.465E+01   5.099E+01  1.246E+00 
7.562E+01   5.135E+01  1.238E+00 
7.661E+01   5.171E+01  1.231E+00 
7.760E+01   5.207E+01  1.223E+00 
7.861E+01   5.244E+01  1.216E+00 
7.963E+01   5.280E+01  1.208E+00 
8.067E+01   5.317E+01  1.201E+00 
8.172E+01   5.354E+01  1.193E+00 
8.278E+01   5.392E+01  1.186E+00 
8.385E+01   5.429E+01  1.179E+00 
8.494E+01   5.467E+01  1.171E+00 
8.605E+01   5.505E+01  1.164E+00 
8.717E+01   5.543E+01  1.156E+00 
8.830E+01   5.582E+01  1.149E+00 
8.945E+01   5.620E+01  1.142E+00 
9.061E+01   5.659E+01  1.135E+00 
9.179E+01   5.698E+01  1.127E+00 
9.298E+01   5.737E+01  1.120E+00 
9.419E+01   5.777E+01  1.113E+00 
9.541E+01   5.816E+01  1.105E+00 
9.665E+01   5.856E+01  1.098E+00 
9.791E+01   5.896E+01  1.091E+00 
9.918E+01   5.937E+01  1.084E+00 
1.005E+02   5.977E+01  1.077E+00 
1.018E+02   6.018E+01  1.070E+00 
1.031E+02   6.059E+01  1.063E+00 
1.044E+02   6.100E+01  1.055E+00 
1.058E+02   6.141E+01  1.048E+00 
1.072E+02   6.183E+01  1.041E+00 
1.086E+02   6.224E+01  1.034E+00 
1.100E+02   6.266E+01  1.027E+00 
1.114E+02   6.308E+01  1.020E+00 
1.129E+02   6.351E+01  1.013E+00 
1.143E+02   6.393E+01  1.006E+00 
1.158E+02   6.436E+01  9.995E-01 
1.173E+02   6.479E+01  9.926E-01 
1.188E+02   6.522E+01  9.857E-01 
1.204E+02   6.565E+01  9.789E-01 
1.219E+02   6.608E+01  9.721E-01 
1.235E+02   6.652E+01  9.653E-01 
1.251E+02   6.696E+01  9.585E-01 
1.268E+02   6.740E+01  9.518E-01 
1.284E+02   6.784E+01  9.451E-01 
1.301E+02   6.828E+01  9.384E-01 
1.318E+02   6.873E+01  9.317E-01 
1.335E+02   6.917E+01  9.251E-01 
1.352E+02   6.962E+01  9.184E-01 
1.370E+02   7.007E+01  9.119E-01 
1.388E+02   7.052E+01  9.053E-01 
1.406E+02   7.097E+01  8.988E-01 
1.424E+02   7.143E+01  8.923E-01 
1.442E+02   7.188E+01  8.858E-01 
1.461E+02   7.234E+01  8.793E-01 
1.480E+02   7.280E+01  8.729E-01 
1.499E+02   7.326E+01  8.665E-01 
1.519E+02   7.372E+01  8.602E-01 
1.539E+02   7.418E+01  8.538E-01 
1.559E+02   7.465E+01  8.475E-01 
1.579E+02   7.511E+01  8.412E-01 
1.599E+02   7.558E+01  8.350E-01 
1.620E+02   7.604E+01  8.287E-01 
1.641E+02   7.651E+01  8.225E-01 
1.662E+02   7.698E+01  8.164E-01 
1.684E+02   7.745E+01  8.102E-01 
1.706E+02   7.792E+01  8.041E-01 
1.728E+02   7.840E+01  7.981E-01 
1.751E+02   7.887E+01  7.920E-01 
1.773E+02   7.934E+01  7.860E-01 
1.796E+02   7.982E+01  7.800E-01 
1.820E+02   8.029E+01  7.740E-01 
