Ion = Helium      . Mass = 4.0026
Tgt = Re (Solid). Density = 20.53 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.540E+00  1.813E+00 
1.013E+00   4.569E+00  1.818E+00 
1.026E+00   4.599E+00  1.823E+00 
1.039E+00   4.629E+00  1.828E+00 
1.053E+00   4.659E+00  1.833E+00 
1.067E+00   4.689E+00  1.837E+00 
1.081E+00   4.719E+00  1.842E+00 
1.095E+00   4.750E+00  1.847E+00 
1.109E+00   4.780E+00  1.852E+00 
1.123E+00   4.811E+00  1.857E+00 
1.138E+00   4.843E+00  1.862E+00 
1.153E+00   4.874E+00  1.866E+00 
1.168E+00   4.905E+00  1.871E+00 
1.183E+00   4.937E+00  1.876E+00 
1.198E+00   4.969E+00  1.881E+00 
1.214E+00   5.001E+00  1.885E+00 
1.229E+00   5.034E+00  1.890E+00 
1.245E+00   5.066E+00  1.895E+00 
1.262E+00   5.099E+00  1.899E+00 
1.278E+00   5.132E+00  1.904E+00 
1.295E+00   5.166E+00  1.908E+00 
1.311E+00   5.199E+00  1.913E+00 
1.329E+00   5.233E+00  1.917E+00 
1.346E+00   5.267E+00  1.922E+00 
1.363E+00   5.301E+00  1.926E+00 
1.381E+00   5.335E+00  1.931E+00 
1.399E+00   5.370E+00  1.935E+00 
1.417E+00   5.404E+00  1.940E+00 
1.436E+00   5.439E+00  1.944E+00 
1.454E+00   5.475E+00  1.948E+00 
1.473E+00   5.510E+00  1.953E+00 
1.492E+00   5.546E+00  1.957E+00 
1.512E+00   5.582E+00  1.961E+00 
1.531E+00   5.618E+00  1.966E+00 
1.551E+00   5.654E+00  1.970E+00 
1.571E+00   5.691E+00  1.974E+00 
1.592E+00   5.728E+00  1.978E+00 
1.612E+00   5.765E+00  1.982E+00 
1.633E+00   5.802E+00  1.987E+00 
1.655E+00   5.840E+00  1.991E+00 
1.676E+00   5.877E+00  1.995E+00 
1.698E+00   5.916E+00  1.999E+00 
1.720E+00   5.954E+00  2.003E+00 
1.742E+00   5.992E+00  2.007E+00 
1.765E+00   6.031E+00  2.011E+00 
1.788E+00   6.070E+00  2.015E+00 
1.811E+00   6.110E+00  2.019E+00 
1.835E+00   6.149E+00  2.023E+00 
1.859E+00   6.189E+00  2.026E+00 
1.883E+00   6.229E+00  2.030E+00 
1.907E+00   6.269E+00  2.034E+00 
1.932E+00   6.310E+00  2.038E+00 
1.957E+00   6.351E+00  2.041E+00 
1.983E+00   6.392E+00  2.045E+00 
2.008E+00   6.434E+00  2.049E+00 
2.034E+00   6.475E+00  2.052E+00 
2.061E+00   6.517E+00  2.056E+00 
2.088E+00   6.559E+00  2.060E+00 
2.115E+00   6.602E+00  2.063E+00 
2.142E+00   6.645E+00  2.067E+00 
2.170E+00   6.688E+00  2.070E+00 
2.198E+00   6.731E+00  2.074E+00 
2.227E+00   6.775E+00  2.077E+00 
2.256E+00   6.818E+00  2.080E+00 
2.285E+00   6.863E+00  2.084E+00 
2.315E+00   6.907E+00  2.087E+00 
2.345E+00   6.952E+00  2.090E+00 
2.375E+00   6.997E+00  2.093E+00 
2.406E+00   7.042E+00  2.097E+00 
2.438E+00   7.088E+00  2.100E+00 
2.469E+00   7.134E+00  2.103E+00 
2.501E+00   7.180E+00  2.106E+00 
2.534E+00   7.226E+00  2.109E+00 
2.567E+00   7.273E+00  2.112E+00 
2.600E+00   7.320E+00  2.115E+00 
2.634E+00   7.368E+00  2.118E+00 
2.668E+00   7.415E+00  2.121E+00 
2.703E+00   7.463E+00  2.124E+00 
2.738E+00   7.512E+00  2.126E+00 
2.773E+00   7.560E+00  2.129E+00 
2.810E+00   7.609E+00  2.132E+00 
2.846E+00   7.659E+00  2.135E+00 
2.883E+00   7.708E+00  2.137E+00 
2.921E+00   7.758E+00  2.140E+00 
2.958E+00   7.808E+00  2.142E+00 
2.997E+00   7.859E+00  2.145E+00 
3.036E+00   7.910E+00  2.147E+00 
3.075E+00   7.961E+00  2.150E+00 
3.115E+00   8.013E+00  2.152E+00 
3.156E+00   8.065E+00  2.155E+00 
3.197E+00   8.117E+00  2.157E+00 
3.238E+00   8.169E+00  2.159E+00 
3.280E+00   8.222E+00  2.161E+00 
3.323E+00   8.276E+00  2.164E+00 
3.366E+00   8.329E+00  2.166E+00 
3.410E+00   8.383E+00  2.168E+00 
3.454E+00   8.438E+00  2.170E+00 
3.499E+00   8.492E+00  2.172E+00 
3.545E+00   8.547E+00  2.174E+00 
3.591E+00   8.603E+00  2.176E+00 
3.637E+00   8.658E+00  2.178E+00 
3.685E+00   8.714E+00  2.180E+00 
3.733E+00   8.771E+00  2.181E+00 
3.781E+00   8.828E+00  2.183E+00 
3.830E+00   8.885E+00  2.185E+00 
3.880E+00   8.942E+00  2.186E+00 
3.930E+00   9.000E+00  2.188E+00 
3.982E+00   9.059E+00  2.190E+00 
4.033E+00   9.117E+00  2.191E+00 
4.086E+00   9.176E+00  2.193E+00 
4.139E+00   9.236E+00  2.194E+00 
4.193E+00   9.296E+00  2.195E+00 
4.247E+00   9.356E+00  2.197E+00 
4.302E+00   9.416E+00  2.198E+00 
4.358E+00   9.477E+00  2.199E+00 
4.415E+00   9.539E+00  2.200E+00 
