Ion = Helium      . Mass = 4.0026
Tgt = Os (Solid). Density = 22.48 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.307E+00  1.783E+00 
1.013E+00   3.328E+00  1.788E+00 
1.026E+00   3.350E+00  1.793E+00 
1.039E+00   3.371E+00  1.798E+00 
1.053E+00   3.393E+00  1.803E+00 
1.067E+00   3.415E+00  1.808E+00 
1.081E+00   3.437E+00  1.813E+00 
1.095E+00   3.460E+00  1.818E+00 
1.109E+00   3.482E+00  1.823E+00 
1.123E+00   3.505E+00  1.828E+00 
1.138E+00   3.527E+00  1.833E+00 
1.153E+00   3.550E+00  1.838E+00 
1.168E+00   3.573E+00  1.842E+00 
1.183E+00   3.596E+00  1.847E+00 
1.198E+00   3.620E+00  1.852E+00 
1.214E+00   3.643E+00  1.857E+00 
1.229E+00   3.667E+00  1.862E+00 
1.245E+00   3.690E+00  1.866E+00 
1.262E+00   3.714E+00  1.871E+00 
1.278E+00   3.738E+00  1.876E+00 
1.295E+00   3.763E+00  1.881E+00 
1.311E+00   3.787E+00  1.885E+00 
1.329E+00   3.811E+00  1.890E+00 
1.346E+00   3.836E+00  1.895E+00 
1.363E+00   3.861E+00  1.899E+00 
1.381E+00   3.886E+00  1.904E+00 
1.399E+00   3.911E+00  1.908E+00 
1.417E+00   3.936E+00  1.913E+00 
1.436E+00   3.962E+00  1.917E+00 
1.454E+00   3.988E+00  1.922E+00 
1.473E+00   4.013E+00  1.926E+00 
1.492E+00   4.039E+00  1.931E+00 
1.512E+00   4.066E+00  1.935E+00 
1.531E+00   4.092E+00  1.940E+00 
1.551E+00   4.118E+00  1.944E+00 
1.571E+00   4.145E+00  1.949E+00 
1.592E+00   4.172E+00  1.953E+00 
1.612E+00   4.199E+00  1.957E+00 
1.633E+00   4.226E+00  1.961E+00 
1.655E+00   4.254E+00  1.966E+00 
1.676E+00   4.281E+00  1.970E+00 
1.698E+00   4.309E+00  1.974E+00 
1.720E+00   4.337E+00  1.978E+00 
1.742E+00   4.365E+00  1.982E+00 
1.765E+00   4.393E+00  1.987E+00 
1.788E+00   4.422E+00  1.991E+00 
1.811E+00   4.450E+00  1.995E+00 
1.835E+00   4.479E+00  1.999E+00 
1.859E+00   4.508E+00  2.003E+00 
1.883E+00   4.537E+00  2.007E+00 
1.907E+00   4.567E+00  2.011E+00 
1.932E+00   4.596E+00  2.015E+00 
1.957E+00   4.626E+00  2.018E+00 
1.983E+00   4.656E+00  2.022E+00 
2.008E+00   4.686E+00  2.026E+00 
2.034E+00   4.716E+00  2.030E+00 
2.061E+00   4.747E+00  2.034E+00 
2.088E+00   4.778E+00  2.037E+00 
2.115E+00   4.809E+00  2.041E+00 
2.142E+00   4.840E+00  2.045E+00 
2.170E+00   4.871E+00  2.048E+00 
2.198E+00   4.903E+00  2.052E+00 
2.227E+00   4.935E+00  2.056E+00 
2.256E+00   4.966E+00  2.059E+00 
2.285E+00   4.999E+00  2.063E+00 
2.315E+00   5.031E+00  2.066E+00 
2.345E+00   5.064E+00  2.069E+00 
2.375E+00   5.096E+00  2.073E+00 
2.406E+00   5.129E+00  2.076E+00 
2.438E+00   5.163E+00  2.079E+00 
2.469E+00   5.196E+00  2.083E+00 
2.501E+00   5.230E+00  2.086E+00 
2.534E+00   5.264E+00  2.089E+00 
2.567E+00   5.298E+00  2.092E+00 
2.600E+00   5.332E+00  2.095E+00 
2.634E+00   5.367E+00  2.099E+00 
2.668E+00   5.401E+00  2.102E+00 
2.703E+00   5.436E+00  2.105E+00 
2.738E+00   5.472E+00  2.108E+00 
2.773E+00   5.507E+00  2.111E+00 
2.810E+00   5.543E+00  2.113E+00 
2.846E+00   5.579E+00  2.116E+00 
2.883E+00   5.615E+00  2.119E+00 
2.921E+00   5.651E+00  2.122E+00 
2.958E+00   5.688E+00  2.125E+00 
2.997E+00   5.724E+00  2.127E+00 
3.036E+00   5.762E+00  2.130E+00 
3.075E+00   5.799E+00  2.133E+00 
3.115E+00   5.836E+00  2.135E+00 
3.156E+00   5.874E+00  2.138E+00 
3.197E+00   5.912E+00  2.140E+00 
3.238E+00   5.951E+00  2.143E+00 
3.280E+00   5.989E+00  2.145E+00 
3.323E+00   6.028E+00  2.147E+00 
3.366E+00   6.067E+00  2.150E+00 
3.410E+00   6.106E+00  2.152E+00 
3.454E+00   6.146E+00  2.154E+00 
3.499E+00   6.186E+00  2.156E+00 
3.545E+00   6.226E+00  2.159E+00 
3.591E+00   6.266E+00  2.161E+00 
3.637E+00   6.307E+00  2.163E+00 
3.685E+00   6.347E+00  2.165E+00 
3.733E+00   6.389E+00  2.167E+00 
3.781E+00   6.430E+00  2.169E+00 
3.830E+00   6.472E+00  2.171E+00 
3.880E+00   6.514E+00  2.172E+00 
3.930E+00   6.556E+00  2.174E+00 
3.982E+00   6.598E+00  2.176E+00 
4.033E+00   6.641E+00  2.177E+00 
4.086E+00   6.684E+00  2.179E+00 
4.139E+00   6.727E+00  2.181E+00 
4.193E+00   6.771E+00  2.182E+00 
4.247E+00   6.815E+00  2.184E+00 
