Ion = Helium      . Mass = 4.0026
Tgt = Ir (Solid). Density = 22.421 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.317E+00  1.785E+00 
1.013E+00   4.345E+00  1.789E+00 
1.026E+00   4.373E+00  1.794E+00 
1.039E+00   4.402E+00  1.799E+00 
1.053E+00   4.430E+00  1.804E+00 
1.067E+00   4.459E+00  1.808E+00 
1.081E+00   4.488E+00  1.813E+00 
1.095E+00   4.517E+00  1.818E+00 
1.109E+00   4.546E+00  1.822E+00 
1.123E+00   4.575E+00  1.827E+00 
1.138E+00   4.605E+00  1.832E+00 
1.153E+00   4.635E+00  1.836E+00 
1.168E+00   4.665E+00  1.841E+00 
1.183E+00   4.695E+00  1.845E+00 
1.198E+00   4.726E+00  1.850E+00 
1.214E+00   4.756E+00  1.854E+00 
1.229E+00   4.787E+00  1.859E+00 
1.245E+00   4.818E+00  1.863E+00 
1.262E+00   4.849E+00  1.868E+00 
1.278E+00   4.881E+00  1.872E+00 
1.295E+00   4.912E+00  1.876E+00 
1.311E+00   4.944E+00  1.881E+00 
1.329E+00   4.976E+00  1.885E+00 
1.346E+00   5.008E+00  1.889E+00 
1.363E+00   5.041E+00  1.894E+00 
1.381E+00   5.073E+00  1.898E+00 
1.399E+00   5.106E+00  1.902E+00 
1.417E+00   5.139E+00  1.906E+00 
1.436E+00   5.173E+00  1.911E+00 
1.454E+00   5.206E+00  1.915E+00 
1.473E+00   5.240E+00  1.919E+00 
1.492E+00   5.274E+00  1.923E+00 
1.512E+00   5.308E+00  1.927E+00 
1.531E+00   5.342E+00  1.931E+00 
1.551E+00   5.377E+00  1.935E+00 
1.571E+00   5.412E+00  1.939E+00 
1.592E+00   5.447E+00  1.943E+00 
1.612E+00   5.482E+00  1.947E+00 
1.633E+00   5.518E+00  1.951E+00 
1.655E+00   5.553E+00  1.955E+00 
1.676E+00   5.589E+00  1.959E+00 
1.698E+00   5.625E+00  1.963E+00 
1.720E+00   5.662E+00  1.967E+00 
1.742E+00   5.699E+00  1.970E+00 
1.765E+00   5.735E+00  1.974E+00 
1.788E+00   5.773E+00  1.978E+00 
1.811E+00   5.810E+00  1.982E+00 
1.835E+00   5.848E+00  1.985E+00 
1.859E+00   5.886E+00  1.989E+00 
1.883E+00   5.924E+00  1.993E+00 
1.907E+00   5.962E+00  1.996E+00 
1.932E+00   6.001E+00  2.000E+00 
1.957E+00   6.040E+00  2.003E+00 
1.983E+00   6.079E+00  2.007E+00 
2.008E+00   6.118E+00  2.010E+00 
2.034E+00   6.158E+00  2.014E+00 
2.061E+00   6.198E+00  2.017E+00 
2.088E+00   6.238E+00  2.021E+00 
2.115E+00   6.278E+00  2.024E+00 
2.142E+00   6.319E+00  2.027E+00 
2.170E+00   6.360E+00  2.031E+00 
2.198E+00   6.401E+00  2.034E+00 
2.227E+00   6.442E+00  2.037E+00 
2.256E+00   6.484E+00  2.040E+00 
2.285E+00   6.526E+00  2.043E+00 
