Ion = Helium      . Mass = 4.0026
Tgt = Pt (Solid). Density = 21.45 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.842E+00  1.818E+00 
1.013E+00   4.873E+00  1.823E+00 
1.026E+00   4.905E+00  1.828E+00 
1.039E+00   4.937E+00  1.832E+00 
1.053E+00   4.969E+00  1.837E+00 
1.067E+00   5.001E+00  1.842E+00 
1.081E+00   5.033E+00  1.847E+00 
1.095E+00   5.066E+00  1.851E+00 
1.109E+00   5.099E+00  1.856E+00 
1.123E+00   5.132E+00  1.861E+00 
1.138E+00   5.165E+00  1.865E+00 
1.153E+00   5.198E+00  1.870E+00 
1.168E+00   5.232E+00  1.874E+00 
1.183E+00   5.266E+00  1.879E+00 
1.198E+00   5.300E+00  1.883E+00 
1.214E+00   5.334E+00  1.888E+00 
1.229E+00   5.369E+00  1.893E+00 
1.245E+00   5.404E+00  1.897E+00 
1.262E+00   5.439E+00  1.901E+00 
1.278E+00   5.474E+00  1.906E+00 
1.295E+00   5.509E+00  1.910E+00 
1.311E+00   5.545E+00  1.915E+00 
1.329E+00   5.581E+00  1.919E+00 
1.346E+00   5.617E+00  1.923E+00 
1.363E+00   5.654E+00  1.928E+00 
1.381E+00   5.690E+00  1.932E+00 
1.399E+00   5.727E+00  1.936E+00 
1.417E+00   5.764E+00  1.940E+00 
1.436E+00   5.802E+00  1.945E+00 
1.454E+00   5.839E+00  1.949E+00 
1.473E+00   5.877E+00  1.953E+00 
1.492E+00   5.915E+00  1.957E+00 
1.512E+00   5.953E+00  1.961E+00 
1.531E+00   5.992E+00  1.965E+00 
1.551E+00   6.031E+00  1.969E+00 
1.571E+00   6.070E+00  1.973E+00 
1.592E+00   6.109E+00  1.977E+00 
1.612E+00   6.149E+00  1.981E+00 
1.633E+00   6.188E+00  1.985E+00 
1.655E+00   6.229E+00  1.989E+00 
1.676E+00   6.269E+00  1.993E+00 
1.698E+00   6.309E+00  1.997E+00 
1.720E+00   6.350E+00  2.001E+00 
1.742E+00   6.391E+00  2.005E+00 
1.765E+00   6.433E+00  2.008E+00 
1.788E+00   6.475E+00  2.012E+00 
1.811E+00   6.516E+00  2.016E+00 
1.835E+00   6.559E+00  2.020E+00 
1.859E+00   6.601E+00  2.023E+00 
1.883E+00   6.644E+00  2.027E+00 
1.907E+00   6.687E+00  2.030E+00 
1.932E+00   6.730E+00  2.034E+00 
1.957E+00   6.774E+00  2.037E+00 
1.983E+00   6.818E+00  2.041E+00 
2.008E+00   6.862E+00  2.044E+00 
2.034E+00   6.906E+00  2.048E+00 
2.061E+00   6.951E+00  2.051E+00 
2.088E+00   6.996E+00  2.055E+00 
2.115E+00   7.041E+00  2.058E+00 
2.142E+00   7.087E+00  2.061E+00 
2.170E+00   7.133E+00  2.065E+00 
2.198E+00   7.179E+00  2.068E+00 
2.227E+00   7.226E+00  2.071E+00 
2.256E+00   7.272E+00  2.074E+00 
2.285E+00   7.320E+00  2.077E+00 
2.315E+00   7.367E+00  2.080E+00 
2.345E+00   7.415E+00  2.083E+00 
2.375E+00   7.463E+00  2.086E+00 
