Ion = Helium      . Mass = 4.0026
Tgt = Au (Solid). Density = 19.311 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.979E+00  1.764E+00 
1.013E+00   5.011E+00  1.769E+00 
1.026E+00   5.044E+00  1.774E+00 
1.039E+00   5.076E+00  1.779E+00 
1.053E+00   5.109E+00  1.784E+00 
1.067E+00   5.142E+00  1.789E+00 
1.081E+00   5.176E+00  1.794E+00 
1.095E+00   5.209E+00  1.798E+00 
1.109E+00   5.243E+00  1.803E+00 
1.123E+00   5.277E+00  1.808E+00 
1.138E+00   5.311E+00  1.813E+00 
1.153E+00   5.346E+00  1.817E+00 
1.168E+00   5.380E+00  1.822E+00 
1.183E+00   5.415E+00  1.827E+00 
1.198E+00   5.450E+00  1.831E+00 
1.214E+00   5.485E+00  1.836E+00 
1.229E+00   5.521E+00  1.841E+00 
1.245E+00   5.557E+00  1.845E+00 
1.262E+00   5.593E+00  1.850E+00 
1.278E+00   5.629E+00  1.854E+00 
1.295E+00   5.665E+00  1.859E+00 
1.311E+00   5.702E+00  1.863E+00 
1.329E+00   5.739E+00  1.868E+00 
1.346E+00   5.776E+00  1.872E+00 
1.363E+00   5.814E+00  1.877E+00 
1.381E+00   5.851E+00  1.881E+00 
1.399E+00   5.889E+00  1.886E+00 
1.417E+00   5.927E+00  1.890E+00 
1.436E+00   5.966E+00  1.894E+00 
1.454E+00   6.004E+00  1.899E+00 
1.473E+00   6.043E+00  1.903E+00 
1.492E+00   6.082E+00  1.907E+00 
1.512E+00   6.122E+00  1.912E+00 
1.531E+00   6.161E+00  1.916E+00 
1.551E+00   6.201E+00  1.920E+00 
1.571E+00   6.241E+00  1.924E+00 
1.592E+00   6.282E+00  1.928E+00 
1.612E+00   6.323E+00  1.933E+00 
1.633E+00   6.364E+00  1.937E+00 
1.655E+00   6.405E+00  1.941E+00 
1.676E+00   6.446E+00  1.945E+00 
1.698E+00   6.488E+00  1.949E+00 
1.720E+00   6.530E+00  1.953E+00 
1.742E+00   6.572E+00  1.957E+00 
1.765E+00   6.615E+00  1.961E+00 
1.788E+00   6.658E+00  1.965E+00 
1.811E+00   6.701E+00  1.969E+00 
1.835E+00   6.744E+00  1.973E+00 
1.859E+00   6.788E+00  1.976E+00 
1.883E+00   6.832E+00  1.980E+00 
1.907E+00   6.876E+00  1.984E+00 
1.932E+00   6.921E+00  1.988E+00 
1.957E+00   6.966E+00  1.992E+00 
1.983E+00   7.011E+00  1.995E+00 
2.008E+00   7.056E+00  1.999E+00 
2.034E+00   7.102E+00  2.003E+00 
2.061E+00   7.148E+00  2.006E+00 
2.088E+00   7.194E+00  2.010E+00 
2.115E+00   7.241E+00  2.013E+00 
2.142E+00   7.288E+00  2.017E+00 
2.170E+00   7.335E+00  2.020E+00 
2.198E+00   7.382E+00  2.024E+00 
2.227E+00   7.430E+00  2.027E+00 
2.256E+00   7.478E+00  2.031E+00 
2.285E+00   7.527E+00  2.034E+00 
2.315E+00   7.575E+00  2.037E+00 
2.345E+00   7.624E+00  2.041E+00 
2.375E+00   7.674E+00  2.044E+00 
2.406E+00   7.724E+00  2.047E+00 
2.438E+00   7.774E+00  2.050E+00 
2.469E+00   7.824E+00  2.053E+00 
2.501E+00   7.875E+00  2.057E+00 
2.534E+00   7.926E+00  2.060E+00 
2.567E+00   7.977E+00  2.063E+00 
2.600E+00   8.029E+00  2.066E+00 
2.634E+00   8.081E+00  2.069E+00 
2.668E+00   8.133E+00  2.072E+00 
2.703E+00   8.186E+00  2.075E+00 
2.738E+00   8.239E+00  2.077E+00 
2.773E+00   8.292E+00  2.080E+00 
2.810E+00   8.346E+00  2.083E+00 
2.846E+00   8.400E+00  2.086E+00 
2.883E+00   8.454E+00  2.088E+00 
2.921E+00   8.509E+00  2.091E+00 
2.958E+00   8.564E+00  2.094E+00 
2.997E+00   8.620E+00  2.096E+00 
3.036E+00   8.675E+00  2.099E+00 
3.075E+00   8.732E+00  2.101E+00 
3.115E+00   8.788E+00  2.104E+00 
3.156E+00   8.845E+00  2.106E+00 
3.197E+00   8.902E+00  2.109E+00 
3.238E+00   8.960E+00  2.111E+00 
3.280E+00   9.018E+00  2.114E+00 
3.323E+00   9.076E+00  2.116E+00 
3.366E+00   9.135E+00  2.118E+00 
3.410E+00   9.194E+00  2.120E+00 
3.454E+00   9.254E+00  2.122E+00 
3.499E+00   9.314E+00  2.124E+00 
3.545E+00   9.374E+00  2.127E+00 
3.591E+00   9.435E+00  2.129E+00 
3.637E+00   9.496E+00  2.131E+00 
3.685E+00   9.558E+00  2.133E+00 
3.733E+00   9.620E+00  2.134E+00 
3.781E+00   9.682E+00  2.136E+00 
3.830E+00   9.745E+00  2.138E+00 
3.880E+00   9.808E+00  2.140E+00 
3.930E+00   9.871E+00  2.142E+00 
3.982E+00   9.935E+00  2.143E+00 
4.033E+00   9.999E+00  2.145E+00 
4.086E+00   1.006E+01  2.146E+00 
4.139E+00   1.013E+01  2.148E+00 
4.193E+00   1.020E+01  2.150E+00 
4.247E+00   1.026E+01  2.151E+00 
4.302E+00   1.033E+01  2.152E+00 
4.358E+00   1.039E+01  2.154E+00 
4.415E+00   1.046E+01  2.155E+00 
4.472E+00   1.053E+01  2.156E+00 
4.530E+00   1.060E+01  2.157E+00 
4.589E+00   1.067E+01  2.159E+00 
4.649E+00   1.074E+01  2.160E+00 
4.709E+00   1.080E+01  2.161E+00 
4.770E+00   1.087E+01  2.162E+00 
4.832E+00   1.095E+01  2.163E+00 
4.895E+00   1.102E+01  2.164E+00 
4.959E+00   1.109E+01  2.165E+00 
5.023E+00   1.116E+01  2.165E+00 
5.089E+00   1.123E+01  2.166E+00 
5.155E+00   1.130E+01  2.167E+00 
5.222E+00   1.138E+01  2.168E+00 
5.290E+00   1.145E+01  2.168E+00 
5.358E+00   1.153E+01  2.169E+00 
5.428E+00   1.160E+01  2.169E+00 
5.499E+00   1.168E+01  2.170E+00 
5.570E+00   1.175E+01  2.170E+00 
5.642E+00   1.183E+01  2.171E+00 
5.716E+00   1.190E+01  2.171E+00 
5.790E+00   1.198E+01  2.171E+00 
5.865E+00   1.206E+01  2.171E+00 
5.942E+00   1.214E+01  2.172E+00 
6.019E+00   1.222E+01  2.172E+00 
6.097E+00   1.229E+01  2.172E+00 
6.176E+00   1.237E+01  2.172E+00 
6.256E+00   1.245E+01  2.172E+00 
6.338E+00   1.253E+01  2.171E+00 
6.420E+00   1.262E+01  2.171E+00 
6.504E+00   1.270E+01  2.171E+00 
6.588E+00   1.278E+01  2.171E+00 
6.674E+00   1.286E+01  2.170E+00 
6.760E+00   1.295E+01  2.170E+00 
6.848E+00   1.303E+01  2.170E+00 
6.937E+00   1.311E+01  2.169E+00 
7.027E+00   1.320E+01  2.169E+00 
7.119E+00   1.328E+01  2.168E+00 
7.211E+00   1.337E+01  2.167E+00 
7.305E+00   1.346E+01  2.167E+00 
7.400E+00   1.354E+01  2.166E+00 
7.496E+00   1.363E+01  2.165E+00 
7.594E+00   1.372E+01  2.164E+00 
7.692E+00   1.381E+01  2.163E+00 
7.792E+00   1.390E+01  2.162E+00 
7.894E+00   1.399E+01  2.161E+00 
7.996E+00   1.408E+01  2.160E+00 
8.100E+00   1.417E+01  2.159E+00 
8.205E+00   1.426E+01  2.158E+00 
8.312E+00   1.436E+01  2.156E+00 
8.420E+00   1.445E+01  2.155E+00 
8.529E+00   1.454E+01  2.154E+00 
8.640E+00   1.464E+01  2.152E+00 
8.753E+00   1.474E+01  2.151E+00 
8.866E+00   1.483E+01  2.149E+00 
8.982E+00   1.493E+01  2.148E+00 
9.098E+00   1.503E+01  2.146E+00 
9.217E+00   1.512E+01  2.144E+00 
9.336E+00   1.522E+01  2.142E+00 
9.458E+00   1.532E+01  2.140E+00 
9.581E+00   1.542E+01  2.139E+00 
9.705E+00   1.552E+01  2.137E+00 
9.831E+00   1.563E+01  2.135E+00 
9.959E+00   1.573E+01  2.133E+00 
1.009E+01   1.583E+01  2.130E+00 
1.022E+01   1.593E+01  2.128E+00 
1.035E+01   1.604E+01  2.126E+00 
1.049E+01   1.614E+01  2.124E+00 
1.062E+01   1.625E+01  2.121E+00 
1.076E+01   1.636E+01  2.119E+00 
1.090E+01   1.646E+01  2.116E+00 
1.104E+01   1.657E+01  2.114E+00 
1.119E+01   1.668E+01  2.111E+00 
1.133E+01   1.679E+01  2.108E+00 
1.148E+01   1.690E+01  2.106E+00 
1.163E+01   1.701E+01  2.103E+00 
1.178E+01   1.712E+01  2.100E+00 
1.193E+01   1.723E+01  2.097E+00 
1.209E+01   1.735E+01  2.094E+00 
1.224E+01   1.746E+01  2.091E+00 
1.240E+01   1.757E+01  2.088E+00 
1.256E+01   1.769E+01  2.085E+00 
1.273E+01   1.780E+01  2.082E+00 
1.289E+01   1.792E+01  2.079E+00 
1.306E+01   1.804E+01  2.075E+00 
1.323E+01   1.816E+01  2.072E+00 
1.340E+01   1.828E+01  2.069E+00 
1.358E+01   1.840E+01  2.065E+00 
1.375E+01   1.852E+01  2.062E+00 
1.393E+01   1.864E+01  2.058E+00 
1.411E+01   1.876E+01  2.054E+00 
1.430E+01   1.888E+01  2.051E+00 
1.448E+01   1.901E+01  2.047E+00 
1.467E+01   1.913E+01  2.043E+00 
1.486E+01   1.926E+01  2.039E+00 
1.505E+01   1.938E+01  2.035E+00 
1.525E+01   1.951E+01  2.031E+00 
1.545E+01   1.964E+01  2.027E+00 
1.565E+01   1.977E+01  2.023E+00 
1.585E+01   1.990E+01  2.019E+00 
1.606E+01   2.003E+01  2.015E+00 
1.627E+01   2.016E+01  2.011E+00 
1.648E+01   2.029E+01  2.007E+00 
1.669E+01   2.042E+01  2.002E+00 
1.691E+01   2.056E+01  1.998E+00 
1.713E+01   2.069E+01  1.993E+00 
1.735E+01   2.083E+01  1.989E+00 
1.758E+01   2.096E+01  1.984E+00 
1.781E+01   2.110E+01  1.980E+00 
1.804E+01   2.124E+01  1.975E+00 
1.827E+01   2.138E+01  1.970E+00 
1.851E+01   2.152E+01  1.966E+00 
1.875E+01   2.166E+01  1.961E+00 
1.899E+01   2.180E+01  1.956E+00 
1.924E+01   2.195E+01  1.951E+00 
1.949E+01   2.209E+01  1.946E+00 
1.974E+01   2.223E+01  1.941E+00 
2.000E+01   2.238E+01  1.936E+00 
2.026E+01   2.253E+01  1.931E+00 
2.052E+01   2.267E+01  1.926E+00 
2.079E+01   2.282E+01  1.920E+00 
2.106E+01   2.297E+01  1.915E+00 
2.133E+01   2.312E+01  1.910E+00 
2.161E+01   2.327E+01  1.905E+00 
2.189E+01   2.342E+01  1.899E+00 
2.218E+01   2.358E+01  1.894E+00 
2.247E+01   2.373E+01  1.888E+00 
2.276E+01   2.389E+01  1.883E+00 
2.305E+01   2.404E+01  1.877E+00 
2.335E+01   2.420E+01  1.872E+00 
2.366E+01   2.436E+01  1.866E+00 
2.396E+01   2.452E+01  1.860E+00 
2.428E+01   2.468E+01  1.854E+00 
2.459E+01   2.484E+01  1.849E+00 
2.491E+01   2.500E+01  1.843E+00 
2.523E+01   2.516E+01  1.837E+00 
2.556E+01   2.533E+01  1.831E+00 
2.589E+01   2.549E+01  1.825E+00 
2.623E+01   2.566E+01  1.819E+00 
2.657E+01   2.583E+01  1.813E+00 
2.692E+01   2.599E+01  1.807E+00 
2.727E+01   2.616E+01  1.801E+00 
2.762E+01   2.633E+01  1.795E+00 
2.798E+01   2.651E+01  1.789E+00 
2.834E+01   2.668E+01  1.782E+00 
2.871E+01   2.685E+01  1.776E+00 
2.909E+01   2.703E+01  1.770E+00 
2.946E+01   2.720E+01  1.764E+00 
2.985E+01   2.738E+01  1.757E+00 
3.023E+01   2.756E+01  1.751E+00 
3.063E+01   2.774E+01  1.744E+00 
3.103E+01   2.792E+01  1.738E+00 
3.143E+01   2.810E+01  1.731E+00 
3.184E+01   2.828E+01  1.725E+00 
3.225E+01   2.847E+01  1.718E+00 
3.267E+01   2.865E+01  1.712E+00 
3.309E+01   2.884E+01  1.705E+00 
3.352E+01   2.903E+01  1.699E+00 
3.396E+01   2.922E+01  1.692E+00 
3.440E+01   2.941E+01  1.685E+00 
3.485E+01   2.960E+01  1.678E+00 
3.530E+01   2.979E+01  1.672E+00 
3.576E+01   2.999E+01  1.665E+00 
3.623E+01   3.018E+01  1.658E+00 
3.670E+01   3.038E+01  1.651E+00 
3.717E+01   3.058E+01  1.644E+00 
3.766E+01   3.078E+01  1.638E+00 
3.815E+01   3.098E+01  1.631E+00 
3.864E+01   3.118E+01  1.624E+00 
3.914E+01   3.139E+01  1.617E+00 
3.965E+01   3.159E+01  1.610E+00 
4.017E+01   3.180E+01  1.603E+00 
4.069E+01   3.201E+01  1.596E+00 
4.122E+01   3.222E+01  1.589E+00 
4.175E+01   3.243E+01  1.582E+00 
4.230E+01   3.264E+01  1.575E+00 
4.285E+01   3.285E+01  1.568E+00 
4.340E+01   3.307E+01  1.561E+00 
4.397E+01   3.329E+01  1.553E+00 
4.454E+01   3.351E+01  1.546E+00 
4.512E+01   3.373E+01  1.539E+00 
4.570E+01   3.395E+01  1.532E+00 
4.630E+01   3.417E+01  1.525E+00 
4.690E+01   3.440E+01  1.518E+00 
4.751E+01   3.462E+01  1.510E+00 
4.813E+01   3.485E+01  1.503E+00 
4.875E+01   3.508E+01  1.496E+00 
4.939E+01   3.532E+01  1.489E+00 
5.003E+01   3.555E+01  1.481E+00 
5.068E+01   3.578E+01  1.474E+00 
5.134E+01   3.602E+01  1.467E+00 
5.200E+01   3.626E+01  1.460E+00 
5.268E+01   3.650E+01  1.452E+00 
5.336E+01   3.674E+01  1.445E+00 
5.406E+01   3.699E+01  1.438E+00 
5.476E+01   3.723E+01  1.430E+00 
5.547E+01   3.748E+01  1.423E+00 
5.619E+01   3.773E+01  1.416E+00 
5.692E+01   3.798E+01  1.408E+00 
5.766E+01   3.824E+01  1.401E+00 
5.841E+01   3.849E+01  1.394E+00 
5.917E+01   3.875E+01  1.386E+00 
5.994E+01   3.901E+01  1.379E+00 
6.072E+01   3.927E+01  1.372E+00 
6.151E+01   3.953E+01  1.364E+00 
6.231E+01   3.980E+01  1.357E+00 
6.312E+01   4.007E+01  1.350E+00 
6.394E+01   4.033E+01  1.342E+00 
6.477E+01   4.061E+01  1.335E+00 
6.561E+01   4.088E+01  1.328E+00 
6.646E+01   4.116E+01  1.320E+00 
6.733E+01   4.143E+01  1.313E+00 
6.820E+01   4.171E+01  1.306E+00 
6.909E+01   4.199E+01  1.298E+00 
6.999E+01   4.228E+01  1.291E+00 
7.090E+01   4.256E+01  1.284E+00 
7.182E+01   4.285E+01  1.276E+00 
7.275E+01   4.314E+01  1.269E+00 
7.370E+01   4.344E+01  1.262E+00 
7.465E+01   4.373E+01  1.254E+00 
7.562E+01   4.403E+01  1.247E+00 
7.661E+01   4.433E+01  1.240E+00 
7.760E+01   4.463E+01  1.233E+00 
7.861E+01   4.494E+01  1.225E+00 
7.963E+01   4.524E+01  1.218E+00 
8.067E+01   4.555E+01  1.211E+00 
8.172E+01   4.586E+01  1.204E+00 
8.278E+01   4.618E+01  1.196E+00 
8.385E+01   4.649E+01  1.189E+00 
8.494E+01   4.681E+01  1.182E+00 
8.605E+01   4.713E+01  1.175E+00 
8.717E+01   4.745E+01  1.168E+00 
8.830E+01   4.778E+01  1.160E+00 
8.945E+01   4.811E+01  1.153E+00 
9.061E+01   4.844E+01  1.146E+00 
9.179E+01   4.877E+01  1.139E+00 
9.298E+01   4.911E+01  1.132E+00 
9.419E+01   4.944E+01  1.125E+00 
9.541E+01   4.979E+01  1.118E+00 
9.665E+01   5.013E+01  1.111E+00 
9.791E+01   5.047E+01  1.104E+00 
9.918E+01   5.082E+01  1.096E+00 
1.005E+02   5.117E+01  1.089E+00 
1.018E+02   5.153E+01  1.082E+00 
1.031E+02   5.188E+01  1.075E+00 
1.044E+02   5.224E+01  1.068E+00 
1.058E+02   5.260E+01  1.062E+00 
1.072E+02   5.297E+01  1.055E+00 
1.086E+02   5.333E+01  1.048E+00 
1.100E+02   5.370E+01  1.041E+00 
1.114E+02   5.407E+01  1.034E+00 
1.129E+02   5.445E+01  1.027E+00 
1.143E+02   5.483E+01  1.020E+00 
1.158E+02   5.521E+01  1.013E+00 
1.173E+02   5.559E+01  1.007E+00 
1.188E+02   5.597E+01  9.998E-01 
1.204E+02   5.636E+01  9.930E-01 
1.219E+02   5.675E+01  9.863E-01 
1.235E+02   5.714E+01  9.796E-01 
1.251E+02   5.754E+01  9.729E-01 
1.268E+02   5.794E+01  9.662E-01 
1.284E+02   5.834E+01  9.596E-01 
1.301E+02   5.875E+01  9.529E-01 
1.318E+02   5.915E+01  9.463E-01 
1.335E+02   5.956E+01  9.398E-01 
1.352E+02   5.998E+01  9.332E-01 
1.370E+02   6.039E+01  9.267E-01 
1.388E+02   6.081E+01  9.202E-01 
1.406E+02   6.123E+01  9.137E-01 
1.424E+02   6.165E+01  9.072E-01 
1.442E+02   6.208E+01  9.008E-01 
1.461E+02   6.251E+01  8.944E-01 
1.480E+02   6.294E+01  8.880E-01 
1.499E+02   6.338E+01  8.816E-01 
1.519E+02   6.381E+01  8.753E-01 
1.539E+02   6.425E+01  8.690E-01 
1.559E+02   6.470E+01  8.627E-01 
1.579E+02   6.514E+01  8.565E-01 
1.599E+02   6.559E+01  8.503E-01 
1.620E+02   6.604E+01  8.441E-01 
1.641E+02   6.649E+01  8.379E-01 
1.662E+02   6.695E+01  8.317E-01 
1.684E+02   6.741E+01  8.256E-01 
1.706E+02   6.787E+01  8.195E-01 
1.728E+02   6.834E+01  8.135E-01 
1.751E+02   6.880E+01  8.074E-01 
1.773E+02   6.927E+01  8.014E-01 
1.796E+02   6.974E+01  7.954E-01 
1.820E+02   7.022E+01  7.895E-01 
1.843E+02   7.070E+01  7.835E-01 
1.867E+02   7.118E+01  7.777E-01 
1.892E+02   7.166E+01  7.718E-01 
1.916E+02   7.214E+01  7.659E-01 
1.941E+02   7.263E+01  7.601E-01 
1.966E+02   7.312E+01  7.543E-01 
1.992E+02   7.361E+01  7.486E-01 
2.018E+02   7.411E+01  7.429E-01 
2.044E+02   7.460E+01  7.372E-01 
2.071E+02   7.510E+01  7.315E-01 
2.097E+02   7.560E+01  7.259E-01 
2.125E+02   7.610E+01  7.202E-01 
2.152E+02   7.661E+01  7.147E-01 
2.180E+02   7.712E+01  7.091E-01 
2.209E+02   7.763E+01  7.036E-01 
2.237E+02   7.814E+01  6.981E-01 
2.266E+02   7.865E+01  6.926E-01 
2.296E+02   7.917E+01  6.872E-01 
2.326E+02   7.969E+01  6.818E-01 
2.356E+02   8.020E+01  6.764E-01 
2.387E+02   8.073E+01  6.711E-01 
2.418E+02   8.125E+01  6.658E-01 
2.449E+02   8.177E+01  6.605E-01 
2.481E+02   8.230E+01  6.552E-01 
2.513E+02   8.283E+01  6.500E-01 
