Ion = Helium      . Mass = 4.0026
Tgt =  O (Solid). Density = 1.426 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.190E+00  3.854E+00 
1.013E+00   2.204E+00  3.848E+00 
1.026E+00   2.218E+00  3.842E+00 
1.039E+00   2.233E+00  3.836E+00 
1.053E+00   2.247E+00  3.830E+00 
1.067E+00   2.262E+00  3.823E+00 
1.081E+00   2.276E+00  3.817E+00 
1.095E+00   2.291E+00  3.810E+00 
1.109E+00   2.306E+00  3.804E+00 
1.123E+00   2.321E+00  3.797E+00 
1.138E+00   2.336E+00  3.790E+00 
1.153E+00   2.351E+00  3.783E+00 
1.168E+00   2.366E+00  3.776E+00 
1.183E+00   2.382E+00  3.768E+00 
1.198E+00   2.397E+00  3.761E+00 
1.214E+00   2.413E+00  3.753E+00 
1.229E+00   2.428E+00  3.746E+00 
1.245E+00   2.444E+00  3.738E+00 
1.262E+00   2.460E+00  3.730E+00 
1.278E+00   2.476E+00  3.722E+00 
1.295E+00   2.492E+00  3.714E+00 
1.311E+00   2.508E+00  3.705E+00 
1.329E+00   2.524E+00  3.697E+00 
1.346E+00   2.540E+00  3.689E+00 
1.363E+00   2.557E+00  3.680E+00 
1.381E+00   2.574E+00  3.671E+00 
1.399E+00   2.590E+00  3.662E+00 
1.417E+00   2.607E+00  3.653E+00 
1.436E+00   2.624E+00  3.644E+00 
1.454E+00   2.641E+00  3.635E+00 
1.473E+00   2.658E+00  3.626E+00 
1.492E+00   2.675E+00  3.616E+00 
1.512E+00   2.692E+00  3.607E+00 
1.531E+00   2.710E+00  3.597E+00 
1.551E+00   2.727E+00  3.588E+00 
1.571E+00   2.745E+00  3.578E+00 
1.592E+00   2.763E+00  3.568E+00 
1.612E+00   2.781E+00  3.558E+00 
1.633E+00   2.799E+00  3.548E+00 
1.655E+00   2.817E+00  3.538E+00 
1.676E+00   2.835E+00  3.527E+00 
1.698E+00   2.854E+00  3.517E+00 
1.720E+00   2.872E+00  3.506E+00 
1.742E+00   2.891E+00  3.496E+00 
1.765E+00   2.909E+00  3.485E+00 
1.788E+00   2.928E+00  3.474E+00 
1.811E+00   2.947E+00  3.463E+00 
1.835E+00   2.966E+00  3.453E+00 
1.859E+00   2.986E+00  3.441E+00 
1.883E+00   3.005E+00  3.430E+00 
