Ion = Helium      . Mass = 4.0026
Tgt = Hg (Solid). Density = 13.5462 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.945E+00  1.763E+00 
1.013E+00   3.970E+00  1.768E+00 
1.026E+00   3.996E+00  1.773E+00 
1.039E+00   4.022E+00  1.778E+00 
1.053E+00   4.048E+00  1.783E+00 
1.067E+00   4.074E+00  1.787E+00 
1.081E+00   4.100E+00  1.792E+00 
1.095E+00   4.127E+00  1.797E+00 
1.109E+00   4.154E+00  1.802E+00 
1.123E+00   4.181E+00  1.806E+00 
1.138E+00   4.208E+00  1.811E+00 
1.153E+00   4.235E+00  1.816E+00 
1.168E+00   4.262E+00  1.821E+00 
1.183E+00   4.290E+00  1.825E+00 
1.198E+00   4.318E+00  1.830E+00 
1.214E+00   4.346E+00  1.834E+00 
1.229E+00   4.374E+00  1.839E+00 
1.245E+00   4.402E+00  1.844E+00 
1.262E+00   4.431E+00  1.848E+00 
1.278E+00   4.460E+00  1.853E+00 
1.295E+00   4.488E+00  1.857E+00 
1.311E+00   4.517E+00  1.862E+00 
1.329E+00   4.547E+00  1.866E+00 
1.346E+00   4.576E+00  1.871E+00 
1.363E+00   4.606E+00  1.875E+00 
1.381E+00   4.636E+00  1.880E+00 
1.399E+00   4.666E+00  1.884E+00 
1.417E+00   4.696E+00  1.888E+00 
1.436E+00   4.726E+00  1.893E+00 
1.454E+00   4.757E+00  1.897E+00 
1.473E+00   4.788E+00  1.901E+00 
1.492E+00   4.819E+00  1.905E+00 
1.512E+00   4.850E+00  1.910E+00 
1.531E+00   4.881E+00  1.914E+00 
1.551E+00   4.913E+00  1.918E+00 
1.571E+00   4.945E+00  1.922E+00 
1.592E+00   4.977E+00  1.926E+00 
1.612E+00   5.009E+00  1.930E+00 
1.633E+00   5.042E+00  1.935E+00 
1.655E+00   5.074E+00  1.939E+00 
1.676E+00   5.107E+00  1.943E+00 
1.698E+00   5.140E+00  1.947E+00 
1.720E+00   5.173E+00  1.951E+00 
1.742E+00   5.207E+00  1.955E+00 
1.765E+00   5.241E+00  1.959E+00 
1.788E+00   5.275E+00  1.962E+00 
1.811E+00   5.309E+00  1.966E+00 
