Ion = Helium      . Mass = 4.0026
Tgt = Tl (Solid). Density = 11.85 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.568E+00  1.736E+00 
1.013E+00   4.598E+00  1.741E+00 
1.026E+00   4.627E+00  1.746E+00 
1.039E+00   4.657E+00  1.751E+00 
1.053E+00   4.688E+00  1.755E+00 
1.067E+00   4.718E+00  1.760E+00 
1.081E+00   4.748E+00  1.765E+00 
1.095E+00   4.779E+00  1.770E+00 
1.109E+00   4.810E+00  1.774E+00 
1.123E+00   4.841E+00  1.779E+00 
1.138E+00   4.873E+00  1.784E+00 
1.153E+00   4.904E+00  1.789E+00 
1.168E+00   4.936E+00  1.793E+00 
1.183E+00   4.968E+00  1.798E+00 
1.198E+00   5.000E+00  1.803E+00 
1.214E+00   5.033E+00  1.807E+00 
1.229E+00   5.065E+00  1.812E+00 
1.245E+00   5.098E+00  1.816E+00 
1.262E+00   5.131E+00  1.821E+00 
1.278E+00   5.164E+00  1.825E+00 
1.295E+00   5.198E+00  1.830E+00 
1.311E+00   5.231E+00  1.834E+00 
1.329E+00   5.265E+00  1.839E+00 
1.346E+00   5.299E+00  1.843E+00 
1.363E+00   5.334E+00  1.848E+00 
1.381E+00   5.368E+00  1.852E+00 
1.399E+00   5.403E+00  1.856E+00 
1.417E+00   5.438E+00  1.861E+00 
1.436E+00   5.473E+00  1.865E+00 
1.454E+00   5.509E+00  1.869E+00 
1.473E+00   5.544E+00  1.874E+00 
1.492E+00   5.580E+00  1.878E+00 
1.512E+00   5.616E+00  1.882E+00 
1.531E+00   5.653E+00  1.886E+00 
1.551E+00   5.689E+00  1.890E+00 
1.571E+00   5.726E+00  1.895E+00 
1.592E+00   5.763E+00  1.899E+00 
1.612E+00   5.801E+00  1.903E+00 
1.633E+00   5.838E+00  1.907E+00 
1.655E+00   5.876E+00  1.911E+00 
1.676E+00   5.914E+00  1.915E+00 
1.698E+00   5.952E+00  1.919E+00 
1.720E+00   5.991E+00  1.923E+00 
1.742E+00   6.030E+00  1.927E+00 
1.765E+00   6.069E+00  1.931E+00 
1.788E+00   6.108E+00  1.935E+00 
1.811E+00   6.148E+00  1.938E+00 
1.835E+00   6.187E+00  1.942E+00 
1.859E+00   6.228E+00  1.946E+00 
1.883E+00   6.268E+00  1.950E+00 
1.907E+00   6.308E+00  1.954E+00 
1.932E+00   6.349E+00  1.957E+00 
1.957E+00   6.390E+00  1.961E+00 
1.983E+00   6.432E+00  1.965E+00 
2.008E+00   6.474E+00  1.968E+00 
2.034E+00   6.515E+00  1.972E+00 
2.061E+00   6.558E+00  1.975E+00 
2.088E+00   6.600E+00  1.979E+00 
2.115E+00   6.643E+00  1.982E+00 
2.142E+00   6.686E+00  1.986E+00 
2.170E+00   6.729E+00  1.989E+00 
2.198E+00   6.773E+00  1.993E+00 
2.227E+00   6.817E+00  1.996E+00 
2.256E+00   6.861E+00  1.999E+00 
2.285E+00   6.905E+00  2.003E+00 
2.315E+00   6.950E+00  2.006E+00 
2.345E+00   6.995E+00  2.009E+00 
2.375E+00   7.040E+00  2.012E+00 
2.406E+00   7.086E+00  2.016E+00 
2.438E+00   7.132E+00  2.019E+00 
2.469E+00   7.178E+00  2.022E+00 
2.501E+00   7.225E+00  2.025E+00 
2.534E+00   7.271E+00  2.028E+00 
2.567E+00   7.318E+00  2.031E+00 
2.600E+00   7.366E+00  2.034E+00 
2.634E+00   7.414E+00  2.037E+00 
2.668E+00   7.462E+00  2.040E+00 
2.703E+00   7.510E+00  2.043E+00 
2.738E+00   7.559E+00  2.046E+00 
2.773E+00   7.607E+00  2.048E+00 
2.810E+00   7.657E+00  2.051E+00 
2.846E+00   7.706E+00  2.054E+00 
2.883E+00   7.756E+00  2.056E+00 
2.921E+00   7.806E+00  2.059E+00 
2.958E+00   7.857E+00  2.062E+00 
2.997E+00   7.908E+00  2.064E+00 
3.036E+00   7.959E+00  2.067E+00 
3.075E+00   8.011E+00  2.069E+00 
3.115E+00   8.063E+00  2.072E+00 
3.156E+00   8.115E+00  2.074E+00 
3.197E+00   8.167E+00  2.076E+00 
3.238E+00   8.220E+00  2.079E+00 
3.280E+00   8.274E+00  2.081E+00 
3.323E+00   8.327E+00  2.083E+00 
3.366E+00   8.381E+00  2.086E+00 
3.410E+00   8.435E+00  2.088E+00 
3.454E+00   8.490E+00  2.090E+00 
3.499E+00   8.545E+00  2.092E+00 
3.545E+00   8.600E+00  2.094E+00 
3.591E+00   8.656E+00  2.096E+00 
3.637E+00   8.712E+00  2.098E+00 
3.685E+00   8.769E+00  2.100E+00 
3.733E+00   8.825E+00  2.102E+00 
3.781E+00   8.883E+00  2.104E+00 
3.830E+00   8.940E+00  2.105E+00 
3.880E+00   8.998E+00  2.107E+00 
3.930E+00   9.056E+00  2.109E+00 
3.982E+00   9.115E+00  2.110E+00 
4.033E+00   9.174E+00  2.112E+00 
4.086E+00   9.233E+00  2.114E+00 
4.139E+00   9.293E+00  2.115E+00 
4.193E+00   9.353E+00  2.117E+00 
4.247E+00   9.414E+00  2.118E+00 
4.302E+00   9.475E+00  2.119E+00 
4.358E+00   9.536E+00  2.121E+00 
4.415E+00   9.598E+00  2.122E+00 
4.472E+00   9.660E+00  2.123E+00 
4.530E+00   9.723E+00  2.125E+00 
4.589E+00   9.786E+00  2.126E+00 
4.649E+00   9.849E+00  2.127E+00 
4.709E+00   9.913E+00  2.128E+00 
4.770E+00   9.977E+00  2.129E+00 
4.832E+00   1.004E+01  2.130E+00 
4.895E+00   1.011E+01  2.131E+00 
4.959E+00   1.017E+01  2.132E+00 
5.023E+00   1.024E+01  2.133E+00 
5.089E+00   1.030E+01  2.133E+00 
5.155E+00   1.037E+01  2.134E+00 
5.222E+00   1.044E+01  2.135E+00 
5.290E+00   1.051E+01  2.135E+00 
5.358E+00   1.057E+01  2.136E+00 
5.428E+00   1.064E+01  2.136E+00 
5.499E+00   1.071E+01  2.137E+00 
5.570E+00   1.078E+01  2.137E+00 
5.642E+00   1.085E+01  2.138E+00 
5.716E+00   1.092E+01  2.138E+00 
5.790E+00   1.099E+01  2.138E+00 
5.865E+00   1.106E+01  2.139E+00 
5.942E+00   1.113E+01  2.139E+00 
6.019E+00   1.121E+01  2.139E+00 
6.097E+00   1.128E+01  2.139E+00 
6.176E+00   1.135E+01  2.139E+00 
6.256E+00   1.143E+01  2.139E+00 
6.338E+00   1.150E+01  2.139E+00 
6.420E+00   1.157E+01  2.139E+00 
6.504E+00   1.165E+01  2.139E+00 
6.588E+00   1.172E+01  2.138E+00 
6.674E+00   1.180E+01  2.138E+00 
6.760E+00   1.188E+01  2.138E+00 
6.848E+00   1.195E+01  2.137E+00 
6.937E+00   1.203E+01  2.137E+00 
7.027E+00   1.211E+01  2.136E+00 
7.119E+00   1.219E+01  2.136E+00 
7.211E+00   1.227E+01  2.135E+00 
7.305E+00   1.235E+01  2.135E+00 
7.400E+00   1.243E+01  2.134E+00 
7.496E+00   1.251E+01  2.133E+00 
7.594E+00   1.259E+01  2.132E+00 
7.692E+00   1.267E+01  2.131E+00 
7.792E+00   1.275E+01  2.130E+00 
7.894E+00   1.283E+01  2.129E+00 
7.996E+00   1.292E+01  2.128E+00 
8.100E+00   1.301E+01  2.127E+00 
8.205E+00   1.311E+01  2.126E+00 
8.312E+00   1.321E+01  2.125E+00 
8.420E+00   1.330E+01  2.124E+00 
8.529E+00   1.340E+01  2.122E+00 
8.640E+00   1.350E+01  2.121E+00 
8.753E+00   1.360E+01  2.120E+00 
8.866E+00   1.371E+01  2.118E+00 
8.982E+00   1.381E+01  2.117E+00 
9.098E+00   1.391E+01  2.115E+00 
9.217E+00   1.401E+01  2.113E+00 
9.336E+00   1.412E+01  2.112E+00 
9.458E+00   1.422E+01  2.110E+00 
9.581E+00   1.433E+01  2.108E+00 
9.705E+00   1.444E+01  2.106E+00 
9.831E+00   1.455E+01  2.104E+00 
9.959E+00   1.465E+01  2.102E+00 
1.009E+01   1.476E+01  2.100E+00 
1.022E+01   1.487E+01  2.098E+00 
1.035E+01   1.499E+01  2.096E+00 
1.049E+01   1.510E+01  2.094E+00 
1.062E+01   1.521E+01  2.091E+00 
1.076E+01   1.532E+01  2.089E+00 
1.090E+01   1.544E+01  2.087E+00 
1.104E+01   1.555E+01  2.084E+00 
1.119E+01   1.567E+01  2.082E+00 
1.133E+01   1.579E+01  2.079E+00 
1.148E+01   1.591E+01  2.077E+00 
1.163E+01   1.602E+01  2.074E+00 
1.178E+01   1.614E+01  2.071E+00 
1.193E+01   1.627E+01  2.068E+00 
1.209E+01   1.639E+01  2.066E+00 
1.224E+01   1.651E+01  2.063E+00 
1.240E+01   1.663E+01  2.060E+00 
1.256E+01   1.676E+01  2.057E+00 
1.273E+01   1.688E+01  2.054E+00 
1.289E+01   1.701E+01  2.051E+00 
1.306E+01   1.714E+01  2.047E+00 
1.323E+01   1.727E+01  2.044E+00 
1.340E+01   1.740E+01  2.041E+00 
1.358E+01   1.753E+01  2.038E+00 
1.375E+01   1.766E+01  2.034E+00 
1.393E+01   1.779E+01  2.031E+00 
1.411E+01   1.793E+01  2.027E+00 
1.430E+01   1.806E+01  2.024E+00 
1.448E+01   1.820E+01  2.020E+00 
1.467E+01   1.833E+01  2.016E+00 
1.486E+01   1.847E+01  2.013E+00 
1.505E+01   1.861E+01  2.009E+00 
1.525E+01   1.875E+01  2.005E+00 
1.545E+01   1.889E+01  2.001E+00 
1.565E+01   1.903E+01  1.997E+00 
1.585E+01   1.918E+01  1.993E+00 
1.606E+01   1.932E+01  1.989E+00 
1.627E+01   1.947E+01  1.985E+00 
1.648E+01   1.961E+01  1.981E+00 
1.669E+01   1.976E+01  1.977E+00 
1.691E+01   1.991E+01  1.973E+00 
1.713E+01   2.006E+01  1.968E+00 
1.735E+01   2.021E+01  1.964E+00 
1.758E+01   2.036E+01  1.960E+00 
1.781E+01   2.052E+01  1.955E+00 
1.804E+01   2.067E+01  1.951E+00 
1.827E+01   2.083E+01  1.946E+00 
1.851E+01   2.098E+01  1.941E+00 
1.875E+01   2.114E+01  1.937E+00 
1.899E+01   2.130E+01  1.932E+00 
1.924E+01   2.146E+01  1.927E+00 
1.949E+01   2.162E+01  1.923E+00 
1.974E+01   2.179E+01  1.918E+00 
2.000E+01   2.195E+01  1.913E+00 
2.026E+01   2.212E+01  1.908E+00 
2.052E+01   2.228E+01  1.903E+00 
2.079E+01   2.245E+01  1.898E+00 
2.106E+01   2.262E+01  1.893E+00 
2.133E+01   2.279E+01  1.888E+00 
2.161E+01   2.296E+01  1.882E+00 
2.189E+01   2.314E+01  1.877E+00 
2.218E+01   2.331E+01  1.872E+00 
2.247E+01   2.349E+01  1.867E+00 
2.276E+01   2.367E+01  1.861E+00 
2.305E+01   2.384E+01  1.856E+00 
2.335E+01   2.403E+01  1.850E+00 
2.366E+01   2.421E+01  1.845E+00 
2.396E+01   2.439E+01  1.839E+00 
2.428E+01   2.457E+01  1.834E+00 
2.459E+01   2.476E+01  1.828E+00 
2.491E+01   2.495E+01  1.823E+00 
2.523E+01   2.514E+01  1.817E+00 
2.556E+01   2.533E+01  1.811E+00 
2.589E+01   2.552E+01  1.805E+00 
2.623E+01   2.571E+01  1.800E+00 
2.657E+01   2.591E+01  1.794E+00 
2.692E+01   2.610E+01  1.788E+00 
2.727E+01   2.630E+01  1.782E+00 
2.762E+01   2.650E+01  1.776E+00 
2.798E+01   2.670E+01  1.770E+00 
2.834E+01   2.690E+01  1.764E+00 
2.871E+01   2.710E+01  1.758E+00 
2.909E+01   2.731E+01  1.752E+00 
2.946E+01   2.752E+01  1.746E+00 
2.985E+01   2.772E+01  1.739E+00 
3.023E+01   2.793E+01  1.733E+00 
3.063E+01   2.815E+01  1.727E+00 
3.103E+01   2.836E+01  1.721E+00 
3.143E+01   2.857E+01  1.714E+00 
3.184E+01   2.879E+01  1.708E+00 
3.225E+01   2.901E+01  1.702E+00 
3.267E+01   2.923E+01  1.695E+00 
3.309E+01   2.945E+01  1.689E+00 
3.352E+01   2.967E+01  1.682E+00 
3.396E+01   2.990E+01  1.676E+00 
3.440E+01   3.012E+01  1.669E+00 
3.485E+01   3.035E+01  1.663E+00 
3.530E+01   3.058E+01  1.656E+00 
3.576E+01   3.081E+01  1.649E+00 
3.623E+01   3.105E+01  1.643E+00 
3.670E+01   3.128E+01  1.636E+00 
3.717E+01   3.152E+01  1.629E+00 
3.766E+01   3.176E+01  1.623E+00 
3.815E+01   3.200E+01  1.616E+00 
3.864E+01   3.224E+01  1.609E+00 
3.914E+01   3.248E+01  1.603E+00 
3.965E+01   3.273E+01  1.596E+00 
