Ion = Helium      . Mass = 4.0026
Tgt = Pb (Solid). Density = 11.3437 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.616E+00  1.725E+00 
1.013E+00   5.653E+00  1.730E+00 
1.026E+00   5.689E+00  1.735E+00 
1.039E+00   5.726E+00  1.740E+00 
1.053E+00   5.763E+00  1.745E+00 
1.067E+00   5.801E+00  1.750E+00 
1.081E+00   5.838E+00  1.755E+00 
1.095E+00   5.876E+00  1.760E+00 
1.109E+00   5.914E+00  1.765E+00 
1.123E+00   5.952E+00  1.770E+00 
1.138E+00   5.991E+00  1.775E+00 
1.153E+00   6.030E+00  1.780E+00 
1.168E+00   6.069E+00  1.785E+00 
1.183E+00   6.108E+00  1.789E+00 
1.198E+00   6.148E+00  1.794E+00 
1.214E+00   6.187E+00  1.799E+00 
1.229E+00   6.228E+00  1.804E+00 
1.245E+00   6.268E+00  1.809E+00 
1.262E+00   6.308E+00  1.813E+00 
1.278E+00   6.349E+00  1.818E+00 
1.295E+00   6.390E+00  1.823E+00 
1.311E+00   6.432E+00  1.828E+00 
1.329E+00   6.473E+00  1.832E+00 
1.346E+00   6.515E+00  1.837E+00 
1.363E+00   6.558E+00  1.842E+00 
1.381E+00   6.600E+00  1.846E+00 
1.399E+00   6.643E+00  1.851E+00 
1.417E+00   6.686E+00  1.855E+00 
1.436E+00   6.729E+00  1.860E+00 
1.454E+00   6.773E+00  1.865E+00 
1.473E+00   6.817E+00  1.869E+00 
1.492E+00   6.861E+00  1.874E+00 
1.512E+00   6.905E+00  1.878E+00 
1.531E+00   6.950E+00  1.883E+00 
1.551E+00   6.995E+00  1.887E+00 
1.571E+00   7.040E+00  1.891E+00 
1.592E+00   7.086E+00  1.896E+00 
1.612E+00   7.132E+00  1.900E+00 
1.633E+00   7.178E+00  1.904E+00 
1.655E+00   7.224E+00  1.909E+00 
1.676E+00   7.271E+00  1.913E+00 
1.698E+00   7.318E+00  1.917E+00 
1.720E+00   7.366E+00  1.921E+00 
1.742E+00   7.413E+00  1.926E+00 
1.765E+00   7.461E+00  1.930E+00 
1.788E+00   7.510E+00  1.934E+00 
1.811E+00   7.558E+00  1.938E+00 
1.835E+00   7.607E+00  1.942E+00 
1.859E+00   7.657E+00  1.946E+00 
1.883E+00   7.706E+00  1.950E+00 
1.907E+00   7.756E+00  1.954E+00 
1.932E+00   7.806E+00  1.958E+00 
1.957E+00   7.857E+00  1.962E+00 
1.983E+00   7.908E+00  1.966E+00 
2.008E+00   7.959E+00  1.970E+00 
2.034E+00   8.011E+00  1.974E+00 
2.061E+00   8.063E+00  1.978E+00 
2.088E+00   8.115E+00  1.982E+00 
2.115E+00   8.167E+00  1.985E+00 
2.142E+00   8.220E+00  1.989E+00 
2.170E+00   8.273E+00  1.993E+00 
2.198E+00   8.327E+00  1.996E+00 
2.227E+00   8.381E+00  2.000E+00 
2.256E+00   8.435E+00  2.004E+00 
2.285E+00   8.490E+00  2.007E+00 
2.315E+00   8.545E+00  2.011E+00 
2.345E+00   8.600E+00  2.014E+00 
2.375E+00   8.656E+00  2.018E+00 
2.406E+00   8.712E+00  2.021E+00 
2.438E+00   8.768E+00  2.025E+00 
2.469E+00   8.825E+00  2.028E+00 
2.501E+00   8.882E+00  2.031E+00 
2.534E+00   8.940E+00  2.035E+00 
2.567E+00   8.998E+00  2.038E+00 
2.600E+00   9.056E+00  2.041E+00 
2.634E+00   9.115E+00  2.044E+00 
2.668E+00   9.174E+00  2.048E+00 
2.703E+00   9.233E+00  2.051E+00 
2.738E+00   9.293E+00  2.054E+00 
2.773E+00   9.353E+00  2.057E+00 
2.810E+00   9.414E+00  2.060E+00 
2.846E+00   9.475E+00  2.063E+00 
2.883E+00   9.536E+00  2.066E+00 
2.921E+00   9.598E+00  2.069E+00 
2.958E+00   9.660E+00  2.072E+00 
2.997E+00   9.723E+00  2.074E+00 
3.036E+00   9.786E+00  2.077E+00 
3.075E+00   9.849E+00  2.080E+00 
3.115E+00   9.913E+00  2.083E+00 
3.156E+00   9.977E+00  2.085E+00 
3.197E+00   1.004E+01  2.088E+00 
3.238E+00   1.011E+01  2.091E+00 
3.280E+00   1.017E+01  2.093E+00 
3.323E+00   1.024E+01  2.096E+00 
3.366E+00   1.030E+01  2.098E+00 
3.410E+00   1.037E+01  2.100E+00 
3.454E+00   1.044E+01  2.103E+00 
3.499E+00   1.051E+01  2.105E+00 
3.545E+00   1.057E+01  2.108E+00 
3.591E+00   1.064E+01  2.110E+00 
3.637E+00   1.071E+01  2.112E+00 
3.685E+00   1.078E+01  2.114E+00 
3.733E+00   1.085E+01  2.116E+00 
3.781E+00   1.092E+01  2.118E+00 
3.830E+00   1.099E+01  2.120E+00 
3.880E+00   1.106E+01  2.122E+00 
3.930E+00   1.113E+01  2.124E+00 
3.982E+00   1.121E+01  2.126E+00 
4.033E+00   1.128E+01  2.128E+00 
4.086E+00   1.135E+01  2.130E+00 
4.139E+00   1.143E+01  2.132E+00 
4.193E+00   1.150E+01  2.133E+00 
4.247E+00   1.157E+01  2.135E+00 
4.302E+00   1.165E+01  2.137E+00 
4.358E+00   1.172E+01  2.138E+00 
4.415E+00   1.180E+01  2.140E+00 
4.472E+00   1.188E+01  2.141E+00 
4.530E+00   1.195E+01  2.143E+00 
4.589E+00   1.203E+01  2.144E+00 
4.649E+00   1.211E+01  2.146E+00 
4.709E+00   1.219E+01  2.147E+00 
4.770E+00   1.227E+01  2.148E+00 
4.832E+00   1.235E+01  2.149E+00 
4.895E+00   1.243E+01  2.150E+00 
4.959E+00   1.251E+01  2.152E+00 
5.023E+00   1.259E+01  2.153E+00 
5.089E+00   1.267E+01  2.154E+00 
5.155E+00   1.275E+01  2.155E+00 
5.222E+00   1.283E+01  2.155E+00 
5.290E+00   1.292E+01  2.156E+00 
5.358E+00   1.300E+01  2.157E+00 
5.428E+00   1.308E+01  2.158E+00 
5.499E+00   1.317E+01  2.159E+00 
5.570E+00   1.325E+01  2.159E+00 
5.642E+00   1.334E+01  2.160E+00 
5.716E+00   1.343E+01  2.160E+00 
5.790E+00   1.351E+01  2.161E+00 
5.865E+00   1.360E+01  2.161E+00 
5.942E+00   1.369E+01  2.162E+00 
6.019E+00   1.378E+01  2.162E+00 
6.097E+00   1.387E+01  2.162E+00 
6.176E+00   1.396E+01  2.162E+00 
6.256E+00   1.405E+01  2.163E+00 
6.338E+00   1.414E+01  2.163E+00 
6.420E+00   1.423E+01  2.163E+00 
6.504E+00   1.432E+01  2.163E+00 
6.588E+00   1.442E+01  2.163E+00 
6.674E+00   1.451E+01  2.163E+00 
6.760E+00   1.460E+01  2.163E+00 
6.848E+00   1.470E+01  2.162E+00 
6.937E+00   1.479E+01  2.162E+00 
7.027E+00   1.489E+01  2.162E+00 
7.119E+00   1.498E+01  2.161E+00 
7.211E+00   1.508E+01  2.161E+00 
7.305E+00   1.518E+01  2.160E+00 
7.400E+00   1.528E+01  2.160E+00 
7.496E+00   1.538E+01  2.159E+00 
7.594E+00   1.548E+01  2.159E+00 
7.692E+00   1.558E+01  2.158E+00 
7.792E+00   1.568E+01  2.157E+00 
7.894E+00   1.578E+01  2.156E+00 
7.996E+00   1.588E+01  2.155E+00 
8.100E+00   1.599E+01  2.154E+00 
8.205E+00   1.611E+01  2.153E+00 
8.312E+00   1.622E+01  2.152E+00 
8.420E+00   1.634E+01  2.151E+00 
8.529E+00   1.645E+01  2.150E+00 
8.640E+00   1.657E+01  2.149E+00 
8.753E+00   1.669E+01  2.147E+00 
8.866E+00   1.680E+01  2.146E+00 
8.982E+00   1.692E+01  2.145E+00 
9.098E+00   1.704E+01  2.143E+00 
9.217E+00   1.716E+01  2.142E+00 
9.336E+00   1.729E+01  2.140E+00 
9.458E+00   1.741E+01  2.138E+00 
9.581E+00   1.753E+01  2.137E+00 
9.705E+00   1.766E+01  2.135E+00 
9.831E+00   1.778E+01  2.133E+00 
9.959E+00   1.791E+01  2.131E+00 
1.009E+01   1.804E+01  2.129E+00 
1.022E+01   1.817E+01  2.127E+00 
1.035E+01   1.830E+01  2.125E+00 
1.049E+01   1.843E+01  2.123E+00 
1.062E+01   1.856E+01  2.121E+00 
1.076E+01   1.869E+01  2.119E+00 
1.090E+01   1.883E+01  2.116E+00 
1.104E+01   1.896E+01  2.114E+00 
1.119E+01   1.910E+01  2.112E+00 
1.133E+01   1.923E+01  2.109E+00 
1.148E+01   1.937E+01  2.107E+00 
1.163E+01   1.951E+01  2.104E+00 
1.178E+01   1.965E+01  2.101E+00 
1.193E+01   1.979E+01  2.099E+00 
1.209E+01   1.993E+01  2.096E+00 
1.224E+01   2.008E+01  2.093E+00 
1.240E+01   2.022E+01  2.090E+00 
1.256E+01   2.037E+01  2.087E+00 
