Ion = Helium      . Mass = 4.0026
Tgt = Bi (Solid). Density = 9.8 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.848E+00  1.698E+00 
1.013E+00   6.893E+00  1.703E+00 
1.026E+00   6.937E+00  1.708E+00 
1.039E+00   6.982E+00  1.713E+00 
1.053E+00   7.028E+00  1.718E+00 
1.067E+00   7.073E+00  1.723E+00 
1.081E+00   7.119E+00  1.728E+00 
1.095E+00   7.165E+00  1.732E+00 
1.109E+00   7.211E+00  1.737E+00 
1.123E+00   7.258E+00  1.742E+00 
1.138E+00   7.305E+00  1.747E+00 
1.153E+00   7.353E+00  1.752E+00 
1.168E+00   7.400E+00  1.756E+00 
1.183E+00   7.448E+00  1.761E+00 
1.198E+00   7.496E+00  1.766E+00 
1.214E+00   7.545E+00  1.770E+00 
1.229E+00   7.594E+00  1.775E+00 
1.245E+00   7.643E+00  1.780E+00 
1.262E+00   7.692E+00  1.784E+00 
1.278E+00   7.742E+00  1.789E+00 
1.295E+00   7.792E+00  1.793E+00 
1.311E+00   7.843E+00  1.798E+00 
1.329E+00   7.894E+00  1.803E+00 
1.346E+00   7.945E+00  1.807E+00 
1.363E+00   7.996E+00  1.812E+00 
1.381E+00   8.048E+00  1.816E+00 
1.399E+00   8.100E+00  1.821E+00 
1.417E+00   8.153E+00  1.825E+00 
1.436E+00   8.205E+00  1.829E+00 
1.454E+00   8.259E+00  1.834E+00 
1.473E+00   8.312E+00  1.838E+00 
1.492E+00   8.366E+00  1.843E+00 
1.512E+00   8.420E+00  1.847E+00 
1.531E+00   8.475E+00  1.851E+00 
1.551E+00   8.530E+00  1.856E+00 
1.571E+00   8.585E+00  1.860E+00 
1.592E+00   8.640E+00  1.864E+00 
1.612E+00   8.696E+00  1.868E+00 
1.633E+00   8.753E+00  1.872E+00 
1.655E+00   8.809E+00  1.877E+00 
1.676E+00   8.866E+00  1.881E+00 
1.698E+00   8.924E+00  1.885E+00 
1.720E+00   8.982E+00  1.889E+00 
1.742E+00   9.040E+00  1.893E+00 
1.765E+00   9.098E+00  1.897E+00 
1.788E+00   9.157E+00  1.901E+00 
1.811E+00   9.217E+00  1.905E+00 
1.835E+00   9.276E+00  1.909E+00 
1.859E+00   9.336E+00  1.913E+00 
1.883E+00   9.397E+00  1.917E+00 
1.907E+00   9.458E+00  1.921E+00 
1.932E+00   9.519E+00  1.925E+00 
1.957E+00   9.581E+00  1.929E+00 
1.983E+00   9.643E+00  1.932E+00 
2.008E+00   9.705E+00  1.936E+00 
2.034E+00   9.768E+00  1.940E+00 
2.061E+00   9.831E+00  1.944E+00 
2.088E+00   9.895E+00  1.947E+00 
2.115E+00   9.959E+00  1.951E+00 
2.142E+00   1.002E+01  1.955E+00 
2.170E+00   1.009E+01  1.958E+00 
2.198E+00   1.015E+01  1.962E+00 
2.227E+00   1.022E+01  1.965E+00 
2.256E+00   1.029E+01  1.969E+00 
2.285E+00   1.035E+01  1.972E+00 
2.315E+00   1.042E+01  1.976E+00 
2.345E+00   1.049E+01  1.979E+00 
2.375E+00   1.056E+01  1.983E+00 
2.406E+00   1.062E+01  1.986E+00 
2.438E+00   1.069E+01  1.989E+00 
2.469E+00   1.076E+01  1.993E+00 
2.501E+00   1.083E+01  1.996E+00 
2.534E+00   1.090E+01  1.999E+00 
2.567E+00   1.097E+01  2.002E+00 
2.600E+00   1.104E+01  2.005E+00 
2.634E+00   1.111E+01  2.009E+00 
2.668E+00   1.119E+01  2.012E+00 
2.703E+00   1.126E+01  2.015E+00 
2.738E+00   1.133E+01  2.018E+00 
2.773E+00   1.141E+01  2.021E+00 
2.810E+00   1.148E+01  2.024E+00 
2.846E+00   1.155E+01  2.027E+00 
2.883E+00   1.163E+01  2.029E+00 
2.921E+00   1.170E+01  2.032E+00 
2.958E+00   1.178E+01  2.035E+00 
2.997E+00   1.186E+01  2.038E+00 
3.036E+00   1.193E+01  2.041E+00 
3.075E+00   1.201E+01  2.043E+00 
3.115E+00   1.209E+01  2.046E+00 
3.156E+00   1.217E+01  2.049E+00 
3.197E+00   1.224E+01  2.051E+00 
3.238E+00   1.232E+01  2.054E+00 
3.280E+00   1.240E+01  2.056E+00 
3.323E+00   1.248E+01  2.059E+00 
3.366E+00   1.257E+01  2.061E+00 
3.410E+00   1.265E+01  2.063E+00 
3.454E+00   1.273E+01  2.066E+00 
3.499E+00   1.281E+01  2.068E+00 
3.545E+00   1.289E+01  2.070E+00 
3.591E+00   1.298E+01  2.073E+00 
3.637E+00   1.306E+01  2.075E+00 
3.685E+00   1.315E+01  2.077E+00 
3.733E+00   1.323E+01  2.079E+00 
3.781E+00   1.332E+01  2.081E+00 
3.830E+00   1.340E+01  2.083E+00 
3.880E+00   1.349E+01  2.085E+00 
3.930E+00   1.358E+01  2.087E+00 
3.982E+00   1.367E+01  2.089E+00 
4.033E+00   1.375E+01  2.091E+00 
4.086E+00   1.384E+01  2.092E+00 
4.139E+00   1.393E+01  2.094E+00 
4.193E+00   1.402E+01  2.096E+00 
4.247E+00   1.411E+01  2.098E+00 
4.302E+00   1.421E+01  2.099E+00 
4.358E+00   1.430E+01  2.101E+00 
4.415E+00   1.439E+01  2.102E+00 
4.472E+00   1.448E+01  2.104E+00 
4.530E+00   1.458E+01  2.105E+00 
4.589E+00   1.467E+01  2.107E+00 
4.649E+00   1.477E+01  2.108E+00 
4.709E+00   1.486E+01  2.109E+00 
4.770E+00   1.496E+01  2.111E+00 
4.832E+00   1.505E+01  2.112E+00 
4.895E+00   1.515E+01  2.113E+00 
4.959E+00   1.525E+01  2.114E+00 
5.023E+00   1.535E+01  2.115E+00 
5.089E+00   1.545E+01  2.116E+00 
5.155E+00   1.555E+01  2.117E+00 
5.222E+00   1.565E+01  2.118E+00 
5.290E+00   1.575E+01  2.119E+00 
5.358E+00   1.585E+01  2.120E+00 
5.428E+00   1.596E+01  2.120E+00 
5.499E+00   1.606E+01  2.121E+00 
5.570E+00   1.616E+01  2.122E+00 
5.642E+00   1.627E+01  2.122E+00 
5.716E+00   1.637E+01  2.123E+00 
5.790E+00   1.648E+01  2.124E+00 
5.865E+00   1.659E+01  2.124E+00 
5.942E+00   1.669E+01  2.124E+00 
6.019E+00   1.680E+01  2.125E+00 
6.097E+00   1.691E+01  2.125E+00 
6.176E+00   1.702E+01  2.125E+00 
6.256E+00   1.713E+01  2.126E+00 
6.338E+00   1.724E+01  2.126E+00 
6.420E+00   1.735E+01  2.126E+00 
6.504E+00   1.747E+01  2.126E+00 
6.588E+00   1.758E+01  2.126E+00 
6.674E+00   1.769E+01  2.126E+00 
6.760E+00   1.781E+01  2.126E+00 
6.848E+00   1.792E+01  2.126E+00 
6.937E+00   1.804E+01  2.126E+00 
7.027E+00   1.815E+01  2.125E+00 
7.119E+00   1.827E+01  2.125E+00 
7.211E+00   1.839E+01  2.125E+00 
7.305E+00   1.851E+01  2.124E+00 
7.400E+00   1.863E+01  2.124E+00 
7.496E+00   1.875E+01  2.123E+00 
7.594E+00   1.887E+01  2.123E+00 
7.692E+00   1.899E+01  2.122E+00 
7.792E+00   1.912E+01  2.121E+00 
7.894E+00   1.924E+01  2.121E+00 
7.996E+00   1.937E+01  2.120E+00 
8.100E+00   1.949E+01  2.119E+00 
8.205E+00   1.961E+01  2.118E+00 
8.312E+00   1.974E+01  2.117E+00 
8.420E+00   1.987E+01  2.116E+00 
8.529E+00   1.999E+01  2.115E+00 
8.640E+00   2.012E+01  2.114E+00 
8.753E+00   2.025E+01  2.113E+00 
8.866E+00   2.039E+01  2.111E+00 
8.982E+00   2.052E+01  2.110E+00 
9.098E+00   2.065E+01  2.109E+00 
9.217E+00   2.078E+01  2.107E+00 
9.336E+00   2.092E+01  2.106E+00 
9.458E+00   2.106E+01  2.104E+00 
9.581E+00   2.119E+01  2.103E+00 
9.705E+00   2.133E+01  2.101E+00 
9.831E+00   2.147E+01  2.099E+00 
9.959E+00   2.161E+01  2.098E+00 
1.009E+01   2.176E+01  2.096E+00 
1.022E+01   2.190E+01  2.094E+00 
1.035E+01   2.205E+01  2.092E+00 
1.049E+01   2.219E+01  2.090E+00 
1.062E+01   2.234E+01  2.088E+00 
1.076E+01   2.249E+01  2.086E+00 
1.090E+01   2.264E+01  2.084E+00 
1.104E+01   2.279E+01  2.081E+00 
1.119E+01   2.294E+01  2.079E+00 
1.133E+01   2.309E+01  2.077E+00 
1.148E+01   2.325E+01  2.075E+00 
1.163E+01   2.340E+01  2.072E+00 
1.178E+01   2.356E+01  2.070E+00 
1.193E+01   2.372E+01  2.067E+00 
1.209E+01   2.388E+01  2.064E+00 
1.224E+01   2.404E+01  2.062E+00 
1.240E+01   2.420E+01  2.059E+00 
1.256E+01   2.437E+01  2.056E+00 
1.273E+01   2.453E+01  2.053E+00 
1.289E+01   2.470E+01  2.051E+00 
1.306E+01   2.486E+01  2.048E+00 
1.323E+01   2.503E+01  2.045E+00 
1.340E+01   2.520E+01  2.041E+00 
1.358E+01   2.538E+01  2.038E+00 
1.375E+01   2.555E+01  2.035E+00 
1.393E+01   2.572E+01  2.032E+00 
1.411E+01   2.590E+01  2.029E+00 
1.430E+01   2.608E+01  2.025E+00 
1.448E+01   2.626E+01  2.022E+00 
1.467E+01   2.644E+01  2.018E+00 
1.486E+01   2.662E+01  2.015E+00 
1.505E+01   2.681E+01  2.011E+00 
1.525E+01   2.699E+01  2.008E+00 
1.545E+01   2.718E+01  2.004E+00 
1.565E+01   2.737E+01  2.000E+00 
1.585E+01   2.756E+01  1.997E+00 
1.606E+01   2.775E+01  1.993E+00 
1.627E+01   2.794E+01  1.989E+00 
1.648E+01   2.814E+01  1.985E+00 
1.669E+01   2.833E+01  1.981E+00 
1.691E+01   2.853E+01  1.977E+00 
1.713E+01   2.873E+01  1.973E+00 
1.735E+01   2.893E+01  1.969E+00 
1.758E+01   2.913E+01  1.964E+00 
1.781E+01   2.934E+01  1.960E+00 
1.804E+01   2.954E+01  1.956E+00 
1.827E+01   2.975E+01  1.951E+00 
1.851E+01   2.996E+01  1.947E+00 
1.875E+01   3.017E+01  1.943E+00 
1.899E+01   3.039E+01  1.938E+00 
1.924E+01   3.060E+01  1.934E+00 
1.949E+01   3.082E+01  1.929E+00 
1.974E+01   3.104E+01  1.924E+00 
2.000E+01   3.126E+01  1.920E+00 
2.026E+01   3.148E+01  1.915E+00 
2.052E+01   3.170E+01  1.910E+00 
2.079E+01   3.193E+01  1.905E+00 
2.106E+01   3.216E+01  1.900E+00 
2.133E+01   3.239E+01  1.895E+00 
2.161E+01   3.262E+01  1.890E+00 
2.189E+01   3.285E+01  1.885E+00 
2.218E+01   3.309E+01  1.880E+00 
2.247E+01   3.332E+01  1.875E+00 
2.276E+01   3.356E+01  1.870E+00 
2.305E+01   3.381E+01  1.864E+00 
2.335E+01   3.405E+01  1.859E+00 
2.366E+01   3.429E+01  1.854E+00 
2.396E+01   3.454E+01  1.848E+00 
2.428E+01   3.479E+01  1.843E+00 
2.459E+01   3.504E+01  1.838E+00 
2.491E+01   3.529E+01  1.832E+00 
2.523E+01   3.555E+01  1.826E+00 
2.556E+01   3.581E+01  1.821E+00 
2.589E+01   3.607E+01  1.815E+00 
2.623E+01   3.633E+01  1.810E+00 
2.657E+01   3.659E+01  1.804E+00 
2.692E+01   3.686E+01  1.798E+00 
2.727E+01   3.713E+01  1.792E+00 
2.762E+01   3.740E+01  1.786E+00 
2.798E+01   3.767E+01  1.781E+00 
2.834E+01   3.794E+01  1.775E+00 
2.871E+01   3.822E+01  1.769E+00 
2.909E+01   3.850E+01  1.763E+00 
2.946E+01   3.878E+01  1.757E+00 
2.985E+01   3.907E+01  1.751E+00 
3.023E+01   3.935E+01  1.745E+00 
3.063E+01   3.964E+01  1.738E+00 
3.103E+01   3.993E+01  1.732E+00 
