Ion = Helium      . Mass = 4.0026
Tgt = Po (Solid). Density = 9.2511 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.789E+00  1.711E+00 
1.013E+00   6.833E+00  1.716E+00 
1.026E+00   6.877E+00  1.721E+00 
1.039E+00   6.921E+00  1.726E+00 
1.053E+00   6.966E+00  1.731E+00 
1.067E+00   7.011E+00  1.736E+00 
1.081E+00   7.057E+00  1.741E+00 
1.095E+00   7.102E+00  1.746E+00 
1.109E+00   7.148E+00  1.751E+00 
1.123E+00   7.195E+00  1.755E+00 
1.138E+00   7.241E+00  1.760E+00 
1.153E+00   7.288E+00  1.765E+00 
1.168E+00   7.335E+00  1.770E+00 
1.183E+00   7.383E+00  1.775E+00 
1.198E+00   7.431E+00  1.780E+00 
1.214E+00   7.479E+00  1.784E+00 
1.229E+00   7.527E+00  1.789E+00 
1.245E+00   7.576E+00  1.794E+00 
1.262E+00   7.625E+00  1.799E+00 
1.278E+00   7.675E+00  1.803E+00 
1.295E+00   7.724E+00  1.808E+00 
1.311E+00   7.774E+00  1.813E+00 
1.329E+00   7.825E+00  1.817E+00 
1.346E+00   7.875E+00  1.822E+00 
1.363E+00   7.926E+00  1.827E+00 
1.381E+00   7.978E+00  1.831E+00 
1.399E+00   8.029E+00  1.836E+00 
1.417E+00   8.081E+00  1.840E+00 
1.436E+00   8.134E+00  1.845E+00 
1.454E+00   8.186E+00  1.849E+00 
1.473E+00   8.239E+00  1.854E+00 
1.492E+00   8.293E+00  1.858E+00 
1.512E+00   8.346E+00  1.863E+00 
1.531E+00   8.401E+00  1.867E+00 
1.551E+00   8.455E+00  1.871E+00 
1.571E+00   8.510E+00  1.876E+00 
1.592E+00   8.565E+00  1.880E+00 
1.612E+00   8.620E+00  1.884E+00 
1.633E+00   8.676E+00  1.889E+00 
1.655E+00   8.732E+00  1.893E+00 
1.676E+00   8.789E+00  1.897E+00 
1.698E+00   8.846E+00  1.902E+00 
1.720E+00   8.903E+00  1.906E+00 
1.742E+00   8.961E+00  1.910E+00 
1.765E+00   9.019E+00  1.914E+00 
1.788E+00   9.077E+00  1.918E+00 
1.811E+00   9.136E+00  1.922E+00 
1.835E+00   9.195E+00  1.926E+00 
1.859E+00   9.255E+00  1.930E+00 
1.883E+00   9.315E+00  1.934E+00 
1.907E+00   9.375E+00  1.938E+00 
1.932E+00   9.436E+00  1.942E+00 
1.957E+00   9.497E+00  1.946E+00 
1.983E+00   9.558E+00  1.950E+00 
2.008E+00   9.620E+00  1.954E+00 
2.034E+00   9.683E+00  1.958E+00 
2.061E+00   9.745E+00  1.962E+00 
2.088E+00   9.809E+00  1.966E+00 
2.115E+00   9.872E+00  1.969E+00 
2.142E+00   9.936E+00  1.973E+00 
2.170E+00   1.000E+01  1.977E+00 
2.198E+00   1.007E+01  1.981E+00 
2.227E+00   1.013E+01  1.984E+00 
2.256E+00   1.020E+01  1.988E+00 
2.285E+00   1.026E+01  1.991E+00 
2.315E+00   1.033E+01  1.995E+00 
2.345E+00   1.040E+01  1.998E+00 
2.375E+00   1.046E+01  2.002E+00 
2.406E+00   1.053E+01  2.005E+00 
2.438E+00   1.060E+01  2.009E+00 
2.469E+00   1.067E+01  2.012E+00 
2.501E+00   1.074E+01  2.016E+00 
2.534E+00   1.081E+01  2.019E+00 
2.567E+00   1.088E+01  2.022E+00 
2.600E+00   1.095E+01  2.025E+00 
2.634E+00   1.102E+01  2.029E+00 
2.668E+00   1.109E+01  2.032E+00 
2.703E+00   1.116E+01  2.035E+00 
2.738E+00   1.123E+01  2.038E+00 
2.773E+00   1.131E+01  2.041E+00 
2.810E+00   1.138E+01  2.044E+00 
2.846E+00   1.145E+01  2.047E+00 
2.883E+00   1.153E+01  2.050E+00 
2.921E+00   1.160E+01  2.053E+00 
2.958E+00   1.168E+01  2.056E+00 
2.997E+00   1.175E+01  2.059E+00 
3.036E+00   1.183E+01  2.062E+00 
3.075E+00   1.190E+01  2.065E+00 
3.115E+00   1.198E+01  2.067E+00 
3.156E+00   1.206E+01  2.070E+00 
3.197E+00   1.214E+01  2.073E+00 
3.238E+00   1.222E+01  2.075E+00 
3.280E+00   1.230E+01  2.078E+00 
3.323E+00   1.238E+01  2.081E+00 
3.366E+00   1.246E+01  2.083E+00 
3.410E+00   1.254E+01  2.086E+00 
3.454E+00   1.262E+01  2.088E+00 
3.499E+00   1.270E+01  2.090E+00 
3.545E+00   1.278E+01  2.093E+00 
3.591E+00   1.286E+01  2.095E+00 
3.637E+00   1.295E+01  2.097E+00 
3.685E+00   1.303E+01  2.100E+00 
3.733E+00   1.312E+01  2.102E+00 
3.781E+00   1.320E+01  2.104E+00 
3.830E+00   1.329E+01  2.106E+00 
3.880E+00   1.337E+01  2.108E+00 
3.930E+00   1.346E+01  2.110E+00 
3.982E+00   1.355E+01  2.112E+00 
4.033E+00   1.363E+01  2.114E+00 
4.086E+00   1.372E+01  2.116E+00 
4.139E+00   1.381E+01  2.118E+00 
4.193E+00   1.390E+01  2.120E+00 
4.247E+00   1.399E+01  2.121E+00 
4.302E+00   1.408E+01  2.123E+00 
4.358E+00   1.417E+01  2.125E+00 
4.415E+00   1.426E+01  2.126E+00 
4.472E+00   1.436E+01  2.128E+00 
4.530E+00   1.445E+01  2.129E+00 
4.589E+00   1.454E+01  2.131E+00 
4.649E+00   1.464E+01  2.132E+00 
4.709E+00   1.473E+01  2.134E+00 
4.770E+00   1.483E+01  2.135E+00 
4.832E+00   1.492E+01  2.136E+00 
4.895E+00   1.502E+01  2.138E+00 
4.959E+00   1.512E+01  2.139E+00 
5.023E+00   1.522E+01  2.140E+00 
5.089E+00   1.531E+01  2.141E+00 
5.155E+00   1.541E+01  2.142E+00 
5.222E+00   1.551E+01  2.143E+00 
5.290E+00   1.561E+01  2.144E+00 
5.358E+00   1.571E+01  2.145E+00 
5.428E+00   1.582E+01  2.146E+00 
5.499E+00   1.592E+01  2.147E+00 
5.570E+00   1.602E+01  2.147E+00 
5.642E+00   1.613E+01  2.148E+00 
5.716E+00   1.623E+01  2.149E+00 
5.790E+00   1.633E+01  2.149E+00 
5.865E+00   1.644E+01  2.150E+00 
5.942E+00   1.655E+01  2.150E+00 
6.019E+00   1.665E+01  2.151E+00 
6.097E+00   1.676E+01  2.151E+00 
6.176E+00   1.687E+01  2.152E+00 
6.256E+00   1.698E+01  2.152E+00 
6.338E+00   1.709E+01  2.152E+00 
6.420E+00   1.720E+01  2.152E+00 
6.504E+00   1.731E+01  2.152E+00 
6.588E+00   1.742E+01  2.153E+00 
6.674E+00   1.754E+01  2.153E+00 
6.760E+00   1.765E+01  2.153E+00 
6.848E+00   1.777E+01  2.152E+00 
6.937E+00   1.788E+01  2.152E+00 
7.027E+00   1.800E+01  2.152E+00 
7.119E+00   1.811E+01  2.152E+00 
7.211E+00   1.823E+01  2.152E+00 
7.305E+00   1.835E+01  2.151E+00 
7.400E+00   1.847E+01  2.151E+00 
7.496E+00   1.859E+01  2.150E+00 
7.594E+00   1.871E+01  2.150E+00 
7.692E+00   1.883E+01  2.149E+00 
7.792E+00   1.895E+01  2.149E+00 
7.894E+00   1.907E+01  2.148E+00 
7.996E+00   1.920E+01  2.147E+00 
8.100E+00   1.933E+01  2.146E+00 
8.205E+00   1.948E+01  2.145E+00 
8.312E+00   1.962E+01  2.145E+00 
8.420E+00   1.976E+01  2.144E+00 
8.529E+00   1.991E+01  2.143E+00 
8.640E+00   2.005E+01  2.141E+00 
8.753E+00   2.020E+01  2.140E+00 
8.866E+00   2.034E+01  2.139E+00 
8.982E+00   2.049E+01  2.138E+00 
9.098E+00   2.064E+01  2.137E+00 
9.217E+00   2.079E+01  2.135E+00 
9.336E+00   2.094E+01  2.134E+00 
9.458E+00   2.110E+01  2.132E+00 
9.581E+00   2.125E+01  2.131E+00 
9.705E+00   2.141E+01  2.129E+00 
9.831E+00   2.156E+01  2.127E+00 
9.959E+00   2.172E+01  2.126E+00 
1.009E+01   2.188E+01  2.124E+00 
1.022E+01   2.204E+01  2.122E+00 
1.035E+01   2.220E+01  2.120E+00 
1.049E+01   2.236E+01  2.118E+00 
1.062E+01   2.253E+01  2.116E+00 
1.076E+01   2.269E+01  2.114E+00 
1.090E+01   2.286E+01  2.112E+00 
1.104E+01   2.302E+01  2.110E+00 
1.119E+01   2.319E+01  2.108E+00 
1.133E+01   2.336E+01  2.105E+00 
1.148E+01   2.353E+01  2.103E+00 
1.163E+01   2.370E+01  2.101E+00 
1.178E+01   2.387E+01  2.098E+00 
1.193E+01   2.405E+01  2.096E+00 
1.209E+01   2.422E+01  2.093E+00 
1.224E+01   2.440E+01  2.090E+00 
1.240E+01   2.458E+01  2.088E+00 
1.256E+01   2.476E+01  2.085E+00 
1.273E+01   2.494E+01  2.082E+00 
1.289E+01   2.512E+01  2.079E+00 
1.306E+01   2.531E+01  2.076E+00 
1.323E+01   2.549E+01  2.073E+00 
1.340E+01   2.568E+01  2.070E+00 
1.358E+01   2.586E+01  2.067E+00 
