Ion = Helium      . Mass = 4.0026
Tgt = Fr (Solid). Density = 10 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.705E+00  1.636E+00 
1.013E+00   7.755E+00  1.641E+00 
1.026E+00   7.805E+00  1.645E+00 
1.039E+00   7.856E+00  1.650E+00 
1.053E+00   7.907E+00  1.655E+00 
1.067E+00   7.958E+00  1.659E+00 
1.081E+00   8.010E+00  1.664E+00 
1.095E+00   8.061E+00  1.669E+00 
1.109E+00   8.114E+00  1.673E+00 
1.123E+00   8.166E+00  1.678E+00 
1.138E+00   8.219E+00  1.683E+00 
1.153E+00   8.272E+00  1.687E+00 
1.168E+00   8.326E+00  1.692E+00 
1.183E+00   8.380E+00  1.697E+00 
1.198E+00   8.434E+00  1.701E+00 
1.214E+00   8.489E+00  1.706E+00 
1.229E+00   8.544E+00  1.710E+00 
1.245E+00   8.599E+00  1.715E+00 
1.262E+00   8.655E+00  1.719E+00 
1.278E+00   8.711E+00  1.724E+00 
1.295E+00   8.767E+00  1.728E+00 
1.311E+00   8.824E+00  1.732E+00 
1.329E+00   8.881E+00  1.737E+00 
1.346E+00   8.939E+00  1.741E+00 
1.363E+00   8.997E+00  1.746E+00 
1.381E+00   9.055E+00  1.750E+00 
1.399E+00   9.114E+00  1.754E+00 
1.417E+00   9.173E+00  1.759E+00 
1.436E+00   9.232E+00  1.763E+00 
1.454E+00   9.292E+00  1.767E+00 
1.473E+00   9.352E+00  1.772E+00 
1.492E+00   9.413E+00  1.776E+00 
1.512E+00   9.474E+00  1.780E+00 
1.531E+00   9.535E+00  1.784E+00 
1.551E+00   9.597E+00  1.788E+00 
1.571E+00   9.659E+00  1.793E+00 
1.592E+00   9.721E+00  1.797E+00 
1.612E+00   9.784E+00  1.801E+00 
1.633E+00   9.848E+00  1.805E+00 
1.655E+00   9.912E+00  1.809E+00 
1.676E+00   9.976E+00  1.813E+00 
1.698E+00   1.004E+01  1.817E+00 
1.720E+00   1.011E+01  1.821E+00 
1.742E+00   1.017E+01  1.825E+00 
1.765E+00   1.024E+01  1.829E+00 
1.788E+00   1.030E+01  1.833E+00 
1.811E+00   1.037E+01  1.837E+00 
1.835E+00   1.044E+01  1.841E+00 
