Ion = Helium      . Mass = 4.0026
Tgt = Ra (Solid). Density = 5.0222 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.506E+00  1.641E+00 
1.013E+00   6.548E+00  1.646E+00 
1.026E+00   6.591E+00  1.651E+00 
1.039E+00   6.633E+00  1.655E+00 
1.053E+00   6.676E+00  1.660E+00 
1.067E+00   6.720E+00  1.665E+00 
1.081E+00   6.763E+00  1.670E+00 
1.095E+00   6.807E+00  1.674E+00 
1.109E+00   6.851E+00  1.679E+00 
1.123E+00   6.895E+00  1.684E+00 
1.138E+00   6.940E+00  1.688E+00 
1.153E+00   6.985E+00  1.693E+00 
1.168E+00   7.030E+00  1.697E+00 
1.183E+00   7.076E+00  1.702E+00 
1.198E+00   7.122E+00  1.707E+00 
1.214E+00   7.168E+00  1.711E+00 
1.229E+00   7.214E+00  1.716E+00 
1.245E+00   7.261E+00  1.720E+00 
1.262E+00   7.308E+00  1.725E+00 
1.278E+00   7.355E+00  1.729E+00 
1.295E+00   7.403E+00  1.734E+00 
1.311E+00   7.451E+00  1.738E+00 
1.329E+00   7.499E+00  1.742E+00 
1.346E+00   7.548E+00  1.747E+00 
1.363E+00   7.597E+00  1.751E+00 
1.381E+00   7.646E+00  1.756E+00 
1.399E+00   7.695E+00  1.760E+00 
1.417E+00   7.745E+00  1.764E+00 
1.436E+00   7.795E+00  1.768E+00 
1.454E+00   7.846E+00  1.773E+00 
1.473E+00   7.897E+00  1.777E+00 
1.492E+00   7.948E+00  1.781E+00 
1.512E+00   7.999E+00  1.785E+00 
1.531E+00   8.051E+00  1.790E+00 
1.551E+00   8.103E+00  1.794E+00 
1.571E+00   8.156E+00  1.798E+00 
1.592E+00   8.208E+00  1.802E+00 
1.612E+00   8.262E+00  1.806E+00 
1.633E+00   8.315E+00  1.810E+00 
1.655E+00   8.369E+00  1.814E+00 
1.676E+00   8.423E+00  1.818E+00 
1.698E+00   8.478E+00  1.822E+00 
1.720E+00   8.533E+00  1.826E+00 
1.742E+00   8.588E+00  1.830E+00 
1.765E+00   8.644E+00  1.834E+00 
1.788E+00   8.700E+00  1.838E+00 
1.811E+00   8.756E+00  1.842E+00 
1.835E+00   8.813E+00  1.846E+00 
1.859E+00   8.870E+00  1.850E+00 
1.883E+00   8.927E+00  1.854E+00 
1.907E+00   8.985E+00  1.857E+00 
1.932E+00   9.043E+00  1.861E+00 
1.957E+00   9.102E+00  1.865E+00 
1.983E+00   9.161E+00  1.868E+00 
2.008E+00   9.220E+00  1.872E+00 
2.034E+00   9.280E+00  1.876E+00 
2.061E+00   9.340E+00  1.879E+00 
2.088E+00   9.400E+00  1.883E+00 
