Ion = Helium      . Mass = 4.0026
Tgt = Ac (Solid). Density = 10 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.832E+00  1.615E+00 
1.013E+00   6.876E+00  1.620E+00 
1.026E+00   6.921E+00  1.624E+00 
1.039E+00   6.966E+00  1.629E+00 
1.053E+00   7.011E+00  1.634E+00 
1.067E+00   7.056E+00  1.638E+00 
1.081E+00   7.102E+00  1.643E+00 
1.095E+00   7.148E+00  1.648E+00 
1.109E+00   7.194E+00  1.652E+00 
1.123E+00   7.241E+00  1.657E+00 
1.138E+00   7.288E+00  1.662E+00 
1.153E+00   7.335E+00  1.666E+00 
1.168E+00   7.382E+00  1.671E+00 
1.183E+00   7.430E+00  1.676E+00 
1.198E+00   7.478E+00  1.680E+00 
1.214E+00   7.527E+00  1.685E+00 
1.229E+00   7.576E+00  1.689E+00 
1.245E+00   7.625E+00  1.694E+00 
1.262E+00   7.674E+00  1.698E+00 
1.278E+00   7.724E+00  1.703E+00 
1.295E+00   7.774E+00  1.707E+00 
1.311E+00   7.824E+00  1.712E+00 
1.329E+00   7.875E+00  1.716E+00 
1.346E+00   7.926E+00  1.721E+00 
1.363E+00   7.977E+00  1.725E+00 
1.381E+00   8.029E+00  1.729E+00 
1.399E+00   8.081E+00  1.734E+00 
1.417E+00   8.133E+00  1.738E+00 
1.436E+00   8.186E+00  1.742E+00 
1.454E+00   8.239E+00  1.747E+00 
1.473E+00   8.292E+00  1.751E+00 
1.492E+00   8.346E+00  1.755E+00 
1.512E+00   8.400E+00  1.760E+00 
1.531E+00   8.454E+00  1.764E+00 
1.551E+00   8.509E+00  1.768E+00 
1.571E+00   8.564E+00  1.772E+00 
1.592E+00   8.620E+00  1.776E+00 
1.612E+00   8.676E+00  1.781E+00 
1.633E+00   8.732E+00  1.785E+00 
1.655E+00   8.788E+00  1.789E+00 
1.676E+00   8.845E+00  1.793E+00 
1.698E+00   8.903E+00  1.797E+00 
1.720E+00   8.960E+00  1.801E+00 
1.742E+00   9.018E+00  1.805E+00 
1.765E+00   9.077E+00  1.809E+00 
1.788E+00   9.135E+00  1.813E+00 
1.811E+00   9.195E+00  1.817E+00 
1.835E+00   9.254E+00  1.821E+00 
1.859E+00   9.314E+00  1.825E+00 
1.883E+00   9.374E+00  1.829E+00 
1.907E+00   9.435E+00  1.833E+00 
1.932E+00   9.496E+00  1.837E+00 
1.957E+00   9.558E+00  1.840E+00 
1.983E+00   9.620E+00  1.844E+00 
2.008E+00   9.682E+00  1.848E+00 
2.034E+00   9.745E+00  1.852E+00 
2.061E+00   9.808E+00  1.855E+00 
2.088E+00   9.871E+00  1.859E+00 
2.115E+00   9.935E+00  1.863E+00 
2.142E+00   1.000E+01  1.866E+00 
2.170E+00   1.006E+01  1.870E+00 
2.198E+00   1.013E+01  1.874E+00 
2.227E+00   1.020E+01  1.877E+00 
2.256E+00   1.026E+01  1.881E+00 
2.285E+00   1.033E+01  1.884E+00 
2.315E+00   1.039E+01  1.888E+00 
2.345E+00   1.046E+01  1.891E+00 
2.375E+00   1.053E+01  1.895E+00 
2.406E+00   1.060E+01  1.898E+00 
2.438E+00   1.067E+01  1.901E+00 
2.469E+00   1.074E+01  1.905E+00 
2.501E+00   1.081E+01  1.908E+00 
2.534E+00   1.088E+01  1.911E+00 
2.567E+00   1.095E+01  1.915E+00 
2.600E+00   1.102E+01  1.918E+00 
2.634E+00   1.109E+01  1.921E+00 
2.668E+00   1.116E+01  1.924E+00 
2.703E+00   1.123E+01  1.927E+00 
2.738E+00   1.130E+01  1.930E+00 
2.773E+00   1.138E+01  1.933E+00 
2.810E+00   1.145E+01  1.936E+00 
2.846E+00   1.153E+01  1.939E+00 
2.883E+00   1.160E+01  1.942E+00 
2.921E+00   1.168E+01  1.945E+00 
2.958E+00   1.175E+01  1.948E+00 
2.997E+00   1.183E+01  1.951E+00 
3.036E+00   1.190E+01  1.954E+00 
3.075E+00   1.198E+01  1.957E+00 
3.115E+00   1.206E+01  1.959E+00 
3.156E+00   1.214E+01  1.962E+00 
3.197E+00   1.222E+01  1.965E+00 
3.238E+00   1.229E+01  1.968E+00 
3.280E+00   1.237E+01  1.970E+00 
3.323E+00   1.245E+01  1.973E+00 
3.366E+00   1.254E+01  1.975E+00 
3.410E+00   1.262E+01  1.978E+00 
3.454E+00   1.270E+01  1.980E+00 
3.499E+00   1.278E+01  1.983E+00 
3.545E+00   1.286E+01  1.985E+00 
3.591E+00   1.295E+01  1.988E+00 
3.637E+00   1.303E+01  1.990E+00 
3.685E+00   1.311E+01  1.992E+00 
3.733E+00   1.320E+01  1.995E+00 
3.781E+00   1.328E+01  1.997E+00 
3.830E+00   1.337E+01  1.999E+00 
3.880E+00   1.346E+01  2.001E+00 
3.930E+00   1.354E+01  2.003E+00 
3.982E+00   1.363E+01  2.005E+00 
4.033E+00   1.372E+01  2.007E+00 
4.086E+00   1.381E+01  2.009E+00 
4.139E+00   1.390E+01  2.011E+00 
4.193E+00   1.399E+01  2.013E+00 
4.247E+00   1.408E+01  2.015E+00 
4.302E+00   1.417E+01  2.017E+00 
4.358E+00   1.426E+01  2.019E+00 
4.415E+00   1.436E+01  2.020E+00 
4.472E+00   1.445E+01  2.022E+00 
4.530E+00   1.454E+01  2.024E+00 
4.589E+00   1.464E+01  2.025E+00 
4.649E+00   1.473E+01  2.027E+00 
4.709E+00   1.483E+01  2.028E+00 
4.770E+00   1.492E+01  2.030E+00 
4.832E+00   1.502E+01  2.031E+00 
4.895E+00   1.512E+01  2.033E+00 
4.959E+00   1.521E+01  2.034E+00 
5.023E+00   1.531E+01  2.035E+00 
5.089E+00   1.541E+01  2.037E+00 
5.155E+00   1.551E+01  2.038E+00 
5.222E+00   1.561E+01  2.039E+00 
5.290E+00   1.571E+01  2.040E+00 
5.358E+00   1.581E+01  2.041E+00 
5.428E+00   1.592E+01  2.042E+00 
5.499E+00   1.602E+01  2.043E+00 
5.570E+00   1.612E+01  2.044E+00 
5.642E+00   1.623E+01  2.045E+00 
5.716E+00   1.633E+01  2.046E+00 
5.790E+00   1.644E+01  2.047E+00 
5.865E+00   1.655E+01  2.048E+00 
5.942E+00   1.665E+01  2.049E+00 
6.019E+00   1.676E+01  2.049E+00 
6.097E+00   1.687E+01  2.050E+00 
6.176E+00   1.698E+01  2.050E+00 
6.256E+00   1.709E+01  2.051E+00 
6.338E+00   1.720E+01  2.051E+00 
6.420E+00   1.731E+01  2.052E+00 
6.504E+00   1.742E+01  2.052E+00 
6.588E+00   1.754E+01  2.053E+00 
6.674E+00   1.765E+01  2.053E+00 
6.760E+00   1.776E+01  2.053E+00 
6.848E+00   1.788E+01  2.053E+00 
6.937E+00   1.799E+01  2.053E+00 
7.027E+00   1.811E+01  2.054E+00 
7.119E+00   1.823E+01  2.054E+00 
7.211E+00   1.835E+01  2.054E+00 
7.305E+00   1.847E+01  2.054E+00 
7.400E+00   1.859E+01  2.053E+00 
7.496E+00   1.871E+01  2.053E+00 
7.594E+00   1.883E+01  2.053E+00 
7.692E+00   1.895E+01  2.053E+00 
7.792E+00   1.907E+01  2.052E+00 
7.894E+00   1.919E+01  2.052E+00 
7.996E+00   1.932E+01  2.052E+00 
