Ion = Helium      . Mass = 4.0026
Tgt =  F (Solid). Density = 1.1111 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.079E+00  3.802E+00 
1.013E+00   2.093E+00  3.797E+00 
1.026E+00   2.106E+00  3.792E+00 
1.039E+00   2.120E+00  3.787E+00 
1.053E+00   2.134E+00  3.782E+00 
1.067E+00   2.147E+00  3.777E+00 
1.081E+00   2.161E+00  3.772E+00 
1.095E+00   2.175E+00  3.766E+00 
1.109E+00   2.189E+00  3.761E+00 
1.123E+00   2.204E+00  3.755E+00 
1.138E+00   2.218E+00  3.749E+00 
1.153E+00   2.232E+00  3.743E+00 
1.168E+00   2.247E+00  3.737E+00 
1.183E+00   2.261E+00  3.731E+00 
1.198E+00   2.276E+00  3.724E+00 
1.214E+00   2.291E+00  3.718E+00 
1.229E+00   2.305E+00  3.711E+00 
1.245E+00   2.320E+00  3.704E+00 
1.262E+00   2.335E+00  3.697E+00 
1.278E+00   2.350E+00  3.690E+00 
1.295E+00   2.366E+00  3.683E+00 
1.311E+00   2.381E+00  3.676E+00 
1.329E+00   2.396E+00  3.669E+00 
1.346E+00   2.412E+00  3.661E+00 
1.363E+00   2.428E+00  3.654E+00 
1.381E+00   2.443E+00  3.646E+00 
1.399E+00   2.459E+00  3.638E+00 
1.417E+00   2.475E+00  3.630E+00 
1.436E+00   2.491E+00  3.622E+00 
1.454E+00   2.507E+00  3.614E+00 
1.473E+00   2.524E+00  3.606E+00 
1.492E+00   2.540E+00  3.597E+00 
1.512E+00   2.556E+00  3.589E+00 
1.531E+00   2.573E+00  3.580E+00 
1.551E+00   2.590E+00  3.571E+00 
1.571E+00   2.606E+00  3.563E+00 
1.592E+00   2.623E+00  3.554E+00 
1.612E+00   2.640E+00  3.545E+00 
1.633E+00   2.657E+00  3.535E+00 
1.655E+00   2.674E+00  3.526E+00 
1.676E+00   2.692E+00  3.517E+00 
1.698E+00   2.709E+00  3.507E+00 
1.720E+00   2.727E+00  3.498E+00 
1.742E+00   2.744E+00  3.488E+00 
1.765E+00   2.762E+00  3.478E+00 
1.788E+00   2.780E+00  3.468E+00 
1.811E+00   2.798E+00  3.458E+00 
1.835E+00   2.816E+00  3.448E+00 
1.859E+00   2.835E+00  3.438E+00 
1.883E+00   2.853E+00  3.428E+00 
1.907E+00   2.871E+00  3.418E+00 
1.932E+00   2.890E+00  3.407E+00 
1.957E+00   2.909E+00  3.397E+00 
1.983E+00   2.928E+00  3.386E+00 
2.008E+00   2.946E+00  3.375E+00 
2.034E+00   2.966E+00  3.365E+00 
2.061E+00   2.985E+00  3.354E+00 
2.088E+00   3.004E+00  3.343E+00 
2.115E+00   3.024E+00  3.332E+00 
2.142E+00   3.043E+00  3.321E+00 
2.170E+00   3.063E+00  3.309E+00 
2.198E+00   3.083E+00  3.298E+00 
2.227E+00   3.103E+00  3.287E+00 
2.256E+00   3.123E+00  3.275E+00 
2.285E+00   3.143E+00  3.264E+00 
2.315E+00   3.163E+00  3.252E+00 
2.345E+00   3.184E+00  3.240E+00 
2.375E+00   3.204E+00  3.229E+00 
2.406E+00   3.225E+00  3.217E+00 
2.438E+00   3.246E+00  3.205E+00 
2.469E+00   3.267E+00  3.193E+00 
2.501E+00   3.288E+00  3.181E+00 
2.534E+00   3.310E+00  3.169E+00 
2.567E+00   3.331E+00  3.157E+00 
2.600E+00   3.353E+00  3.144E+00 
2.634E+00   3.374E+00  3.132E+00 
2.668E+00   3.396E+00  3.120E+00 
2.703E+00   3.418E+00  3.107E+00 
2.738E+00   3.440E+00  3.095E+00 
2.773E+00   3.463E+00  3.082E+00 
2.810E+00   3.485E+00  3.070E+00 
2.846E+00   3.508E+00  3.057E+00 
2.883E+00   3.530E+00  3.045E+00 
2.921E+00   3.553E+00  3.032E+00 
2.958E+00   3.576E+00  3.019E+00 
2.997E+00   3.599E+00  3.006E+00 
3.036E+00   3.623E+00  2.993E+00 
3.075E+00   3.646E+00  2.980E+00 
3.115E+00   3.670E+00  2.967E+00 
3.156E+00   3.694E+00  2.954E+00 
3.197E+00   3.718E+00  2.941E+00 
3.238E+00   3.742E+00  2.928E+00 
3.280E+00   3.766E+00  2.915E+00 
3.323E+00   3.790E+00  2.902E+00 
3.366E+00   3.815E+00  2.889E+00 
3.410E+00   3.839E+00  2.875E+00 
3.454E+00   3.864E+00  2.862E+00 
3.499E+00   3.889E+00  2.849E+00 
3.545E+00   3.915E+00  2.835E+00 
3.591E+00   3.940E+00  2.822E+00 
3.637E+00   3.965E+00  2.809E+00 
3.685E+00   3.991E+00  2.795E+00 
3.733E+00   4.017E+00  2.782E+00 
3.781E+00   4.043E+00  2.768E+00 
3.830E+00   4.069E+00  2.755E+00 
3.880E+00   4.096E+00  2.741E+00 
3.930E+00   4.122E+00  2.728E+00 
3.982E+00   4.149E+00  2.714E+00 
4.033E+00   4.176E+00  2.700E+00 
4.086E+00   4.203E+00  2.687E+00 
4.139E+00   4.230E+00  2.673E+00 
4.193E+00   4.257E+00  2.659E+00 
4.247E+00   4.285E+00  2.646E+00 
4.302E+00   4.313E+00  2.632E+00 
4.358E+00   4.341E+00  2.618E+00 
4.415E+00   4.369E+00  2.605E+00 
4.472E+00   4.397E+00  2.591E+00 
4.530E+00   4.426E+00  2.577E+00 
4.589E+00   4.454E+00  2.564E+00 
4.649E+00   4.483E+00  2.550E+00 
4.709E+00   4.512E+00  2.536E+00 
4.770E+00   4.541E+00  2.522E+00 
4.832E+00   4.571E+00  2.509E+00 
4.895E+00   4.600E+00  2.495E+00 
4.959E+00   4.630E+00  2.481E+00 
5.023E+00   4.660E+00  2.467E+00 
5.089E+00   4.690E+00  2.454E+00 
5.155E+00   4.721E+00  2.440E+00 
5.222E+00   4.751E+00  2.426E+00 
5.290E+00   4.782E+00  2.412E+00 
5.358E+00   4.813E+00  2.399E+00 
5.428E+00   4.844E+00  2.385E+00 
5.499E+00   4.876E+00  2.371E+00 
5.570E+00   4.907E+00  2.358E+00 
5.642E+00   4.939E+00  2.344E+00 
5.716E+00   4.971E+00  2.330E+00 
5.790E+00   5.003E+00  2.317E+00 
5.865E+00   5.036E+00  2.303E+00 
5.942E+00   5.068E+00  2.289E+00 
6.019E+00   5.101E+00  2.276E+00 
6.097E+00   5.134E+00  2.262E+00 
6.176E+00   5.167E+00  2.248E+00 
6.256E+00   5.201E+00  2.235E+00 
6.338E+00   5.235E+00  2.221E+00 
6.420E+00   5.268E+00  2.208E+00 
6.504E+00   5.303E+00  2.194E+00 
6.588E+00   5.337E+00  2.181E+00 
6.674E+00   5.371E+00  2.167E+00 
6.760E+00   5.406E+00  2.154E+00 
6.848E+00   5.441E+00  2.141E+00 
6.937E+00   5.477E+00  2.127E+00 
7.027E+00   5.512E+00  2.114E+00 
7.119E+00   5.548E+00  2.100E+00 
7.211E+00   5.584E+00  2.087E+00 
7.305E+00   5.620E+00  2.074E+00 
7.400E+00   5.656E+00  2.061E+00 
7.496E+00   5.693E+00  2.047E+00 
7.594E+00   5.730E+00  2.034E+00 
7.692E+00   5.767E+00  2.021E+00 
7.792E+00   5.804E+00  2.008E+00 
7.894E+00   5.842E+00  1.995E+00 
7.996E+00   5.880E+00  1.982E+00 
8.100E+00   5.918E+00  1.969E+00 
8.205E+00   5.956E+00  1.956E+00 
8.312E+00   5.995E+00  1.943E+00 
8.420E+00   6.034E+00  1.930E+00 
8.529E+00   6.073E+00  1.917E+00 
8.640E+00   6.113E+00  1.904E+00 
8.753E+00   6.152E+00  1.891E+00 
8.866E+00   6.192E+00  1.879E+00 
8.982E+00   6.233E+00  1.866E+00 
9.098E+00   6.273E+00  1.853E+00 
9.217E+00   6.314E+00  1.840E+00 
9.336E+00   6.355E+00  1.828E+00 
9.458E+00   6.396E+00  1.815E+00 
9.581E+00   6.438E+00  1.803E+00 
9.705E+00   6.480E+00  1.790E+00 
9.831E+00   6.522E+00  1.778E+00 
9.959E+00   6.564E+00  1.765E+00 
1.009E+01   6.607E+00  1.753E+00 
1.022E+01   6.650E+00  1.741E+00 
1.035E+01   6.693E+00  1.729E+00 
1.049E+01   6.737E+00  1.716E+00 
1.062E+01   6.781E+00  1.704E+00 
1.076E+01   6.825E+00  1.692E+00 
1.090E+01   6.869E+00  1.680E+00 
1.104E+01   6.914E+00  1.668E+00 
1.119E+01   6.959E+00  1.656E+00 
1.133E+01   7.004E+00  1.644E+00 
1.148E+01   7.050E+00  1.632E+00 
1.163E+01   7.096E+00  1.620E+00 
1.178E+01   7.142E+00  1.609E+00 
1.193E+01   7.188E+00  1.597E+00 
1.209E+01   7.235E+00  1.585E+00 
1.224E+01   7.282E+00  1.574E+00 
1.240E+01   7.330E+00  1.562E+00 
1.256E+01   7.378E+00  1.550E+00 
1.273E+01   7.426E+00  1.539E+00 
1.289E+01   7.474E+00  1.528E+00 
1.306E+01   7.523E+00  1.516E+00 
1.323E+01   7.572E+00  1.505E+00 
1.340E+01   7.621E+00  1.494E+00 
1.358E+01   7.671E+00  1.482E+00 
1.375E+01   7.721E+00  1.471E+00 
1.393E+01   7.771E+00  1.460E+00 
1.411E+01   7.822E+00  1.449E+00 
1.430E+01   7.873E+00  1.438E+00 
1.448E+01   7.924E+00  1.427E+00 
1.467E+01   7.975E+00  1.416E+00 
1.486E+01   8.027E+00  1.405E+00 
1.505E+01   8.080E+00  1.395E+00 
1.525E+01   8.132E+00  1.384E+00 
1.545E+01   8.186E+00  1.373E+00 
1.565E+01   8.239E+00  1.363E+00 
1.585E+01   8.293E+00  1.352E+00 
1.606E+01   8.347E+00  1.341E+00 
1.627E+01   8.401E+00  1.331E+00 
1.648E+01   8.456E+00  1.321E+00 
1.669E+01   8.511E+00  1.310E+00 
1.691E+01   8.567E+00  1.300E+00 
1.713E+01   8.622E+00  1.290E+00 
1.735E+01   8.679E+00  1.280E+00 
1.758E+01   8.735E+00  1.269E+00 
1.781E+01   8.792E+00  1.259E+00 
1.804E+01   8.850E+00  1.249E+00 
1.827E+01   8.907E+00  1.239E+00 
1.851E+01   8.965E+00  1.229E+00 
1.875E+01   9.024E+00  1.220E+00 
1.899E+01   9.083E+00  1.210E+00 
1.924E+01   9.142E+00  1.200E+00 
1.949E+01   9.202E+00  1.190E+00 
1.974E+01   9.262E+00  1.181E+00 
2.000E+01   9.322E+00  1.171E+00 
2.026E+01   9.383E+00  1.162E+00 
2.052E+01   9.444E+00  1.152E+00 
2.079E+01   9.506E+00  1.143E+00 
2.106E+01   9.568E+00  1.134E+00 
2.133E+01   9.630E+00  1.124E+00 
2.161E+01   9.693E+00  1.115E+00 
2.189E+01   9.756E+00  1.106E+00 
2.218E+01   9.820E+00  1.097E+00 
2.247E+01   9.884E+00  1.088E+00 
2.276E+01   9.949E+00  1.079E+00 
2.305E+01   1.001E+01  1.070E+00 
2.335E+01   1.008E+01  1.061E+00 
2.366E+01   1.014E+01  1.052E+00 
2.396E+01   1.021E+01  1.043E+00 
2.428E+01   1.028E+01  1.035E+00 
2.459E+01   1.034E+01  1.026E+00 
2.491E+01   1.041E+01  1.017E+00 
2.523E+01   1.048E+01  1.009E+00 
2.556E+01   1.055E+01  1.000E+00 
2.589E+01   1.062E+01  9.919E-01 
2.623E+01   1.069E+01  9.835E-01 
2.657E+01   1.076E+01  9.751E-01 
2.692E+01   1.083E+01  9.669E-01 
2.727E+01   1.090E+01  9.586E-01 
2.762E+01   1.097E+01  9.505E-01 
2.798E+01   1.104E+01  9.424E-01 
2.834E+01   1.111E+01  9.343E-01 
2.871E+01   1.118E+01  9.263E-01 
2.909E+01   1.126E+01  9.183E-01 
2.946E+01   1.133E+01  9.105E-01 
2.985E+01   1.140E+01  9.026E-01 
3.023E+01   1.148E+01  8.948E-01 
3.063E+01   1.155E+01  8.871E-01 
3.103E+01   1.163E+01  8.794E-01 
3.143E+01   1.170E+01  8.718E-01 
3.184E+01   1.178E+01  8.642E-01 
3.225E+01   1.186E+01  8.567E-01 
3.267E+01   1.193E+01  8.492E-01 
3.309E+01   1.201E+01  8.418E-01 
3.352E+01   1.209E+01  8.344E-01 
3.396E+01   1.217E+01  8.271E-01 
3.440E+01   1.225E+01  8.199E-01 
3.485E+01   1.233E+01  8.127E-01 
3.530E+01   1.241E+01  8.055E-01 
3.576E+01   1.249E+01  7.984E-01 
3.623E+01   1.257E+01  7.914E-01 
3.670E+01   1.265E+01  7.844E-01 
3.717E+01   1.273E+01  7.774E-01 
3.766E+01   1.282E+01  7.705E-01 
3.815E+01   1.290E+01  7.637E-01 
3.864E+01   1.298E+01  7.569E-01 
3.914E+01   1.307E+01  7.501E-01 
3.965E+01   1.315E+01  7.434E-01 
4.017E+01   1.324E+01  7.368E-01 
4.069E+01   1.332E+01  7.302E-01 
4.122E+01   1.341E+01  7.236E-01 
4.175E+01   1.350E+01  7.171E-01 
4.230E+01   1.358E+01  7.107E-01 
4.285E+01   1.367E+01  7.043E-01 
4.340E+01   1.376E+01  6.979E-01 
4.397E+01   1.385E+01  6.916E-01 
4.454E+01   1.394E+01  6.853E-01 
4.512E+01   1.403E+01  6.791E-01 
4.570E+01   1.412E+01  6.730E-01 
4.630E+01   1.421E+01  6.668E-01 
4.690E+01   1.430E+01  6.608E-01 
4.751E+01   1.439E+01  6.548E-01 
4.813E+01   1.449E+01  6.488E-01 
4.875E+01   1.458E+01  6.429E-01 
4.939E+01   1.467E+01  6.370E-01 
5.003E+01   1.477E+01  6.311E-01 
5.068E+01   1.486E+01  6.253E-01 
5.134E+01   1.496E+01  6.196E-01 
5.200E+01   1.505E+01  6.139E-01 
5.268E+01   1.515E+01  6.082E-01 
5.336E+01   1.525E+01  6.026E-01 
5.406E+01   1.535E+01  5.971E-01 
5.476E+01   1.545E+01  5.915E-01 
