Ion = Helium      . Mass = 4.0026
Tgt = Th (Solid). Density = 11.658 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.567E+00  1.608E+00 
1.013E+00   6.609E+00  1.613E+00 
1.026E+00   6.652E+00  1.617E+00 
1.039E+00   6.695E+00  1.622E+00 
1.053E+00   6.738E+00  1.627E+00 
1.067E+00   6.782E+00  1.632E+00 
1.081E+00   6.826E+00  1.637E+00 
1.095E+00   6.870E+00  1.641E+00 
1.109E+00   6.915E+00  1.646E+00 
1.123E+00   6.960E+00  1.651E+00 
1.138E+00   7.005E+00  1.655E+00 
1.153E+00   7.050E+00  1.660E+00 
1.168E+00   7.096E+00  1.665E+00 
1.183E+00   7.142E+00  1.669E+00 
1.198E+00   7.188E+00  1.674E+00 
1.214E+00   7.234E+00  1.679E+00 
1.229E+00   7.281E+00  1.683E+00 
1.245E+00   7.328E+00  1.688E+00 
1.262E+00   7.376E+00  1.692E+00 
1.278E+00   7.424E+00  1.697E+00 
1.295E+00   7.472E+00  1.701E+00 
1.311E+00   7.520E+00  1.706E+00 
1.329E+00   7.569E+00  1.710E+00 
1.346E+00   7.618E+00  1.715E+00 
1.363E+00   7.667E+00  1.719E+00 
1.381E+00   7.717E+00  1.724E+00 
1.399E+00   7.767E+00  1.728E+00 
1.417E+00   7.817E+00  1.733E+00 
1.436E+00   7.868E+00  1.737E+00 
1.454E+00   7.919E+00  1.742E+00 
1.473E+00   7.970E+00  1.746E+00 
1.492E+00   8.022E+00  1.750E+00 
1.512E+00   8.074E+00  1.755E+00 
1.531E+00   8.126E+00  1.759E+00 
1.551E+00   8.179E+00  1.763E+00 
1.571E+00   8.232E+00  1.767E+00 
1.592E+00   8.285E+00  1.772E+00 
1.612E+00   8.339E+00  1.776E+00 
1.633E+00   8.393E+00  1.780E+00 
1.655E+00   8.447E+00  1.784E+00 
1.676E+00   8.502E+00  1.788E+00 
1.698E+00   8.557E+00  1.793E+00 
1.720E+00   8.612E+00  1.797E+00 
1.742E+00   8.668E+00  1.801E+00 
1.765E+00   8.724E+00  1.805E+00 
1.788E+00   8.781E+00  1.809E+00 
1.811E+00   8.837E+00  1.813E+00 
1.835E+00   8.895E+00  1.817E+00 
1.859E+00   8.952E+00  1.821E+00 
1.883E+00   9.010E+00  1.825E+00 
1.907E+00   9.069E+00  1.829E+00 
1.932E+00   9.127E+00  1.833E+00 
1.957E+00   9.187E+00  1.837E+00 
1.983E+00   9.246E+00  1.841E+00 
2.008E+00   9.306E+00  1.845E+00 
2.034E+00   9.366E+00  1.848E+00 
2.061E+00   9.427E+00  1.852E+00 
2.088E+00   9.488E+00  1.856E+00 
2.115E+00   9.549E+00  1.860E+00 
2.142E+00   9.611E+00  1.863E+00 
2.170E+00   9.673E+00  1.867E+00 
2.198E+00   9.736E+00  1.871E+00 
2.227E+00   9.799E+00  1.874E+00 
2.256E+00   9.863E+00  1.878E+00 
2.285E+00   9.927E+00  1.882E+00 
2.315E+00   9.991E+00  1.885E+00 
2.345E+00   1.006E+01  1.889E+00 
2.375E+00   1.012E+01  1.892E+00 
2.406E+00   1.019E+01  1.896E+00 
2.438E+00   1.025E+01  1.899E+00 
2.469E+00   1.032E+01  1.903E+00 
2.501E+00   1.039E+01  1.906E+00 
2.534E+00   1.045E+01  1.909E+00 
2.567E+00   1.052E+01  1.913E+00 
2.600E+00   1.059E+01  1.916E+00 
2.634E+00   1.066E+01  1.919E+00 
2.668E+00   1.073E+01  1.923E+00 
2.703E+00   1.080E+01  1.926E+00 
2.738E+00   1.087E+01  1.929E+00 
2.773E+00   1.094E+01  1.932E+00 
2.810E+00   1.101E+01  1.935E+00 
2.846E+00   1.108E+01  1.938E+00 
2.883E+00   1.115E+01  1.941E+00 
2.921E+00   1.122E+01  1.944E+00 
2.958E+00   1.129E+01  1.947E+00 
2.997E+00   1.137E+01  1.950E+00 
3.036E+00   1.144E+01  1.953E+00 
3.075E+00   1.152E+01  1.956E+00 
3.115E+00   1.159E+01  1.959E+00 
3.156E+00   1.167E+01  1.962E+00 
3.197E+00   1.174E+01  1.965E+00 
3.238E+00   1.182E+01  1.967E+00 
3.280E+00   1.189E+01  1.970E+00 
3.323E+00   1.197E+01  1.973E+00 
3.366E+00   1.205E+01  1.975E+00 
3.410E+00   1.213E+01  1.978E+00 
3.454E+00   1.220E+01  1.981E+00 
3.499E+00   1.228E+01  1.983E+00 
3.545E+00   1.236E+01  1.986E+00 
3.591E+00   1.244E+01  1.988E+00 
3.637E+00   1.252E+01  1.990E+00 
3.685E+00   1.261E+01  1.993E+00 
3.733E+00   1.269E+01  1.995E+00 
3.781E+00   1.277E+01  1.997E+00 
3.830E+00   1.285E+01  2.000E+00 
3.880E+00   1.293E+01  2.002E+00 
3.930E+00   1.302E+01  2.004E+00 
3.982E+00   1.310E+01  2.006E+00 
4.033E+00   1.319E+01  2.008E+00 
4.086E+00   1.327E+01  2.011E+00 
4.139E+00   1.336E+01  2.013E+00 
4.193E+00   1.345E+01  2.015E+00 
