Ion = Helium      . Mass = 4.0026
Tgt = Pa (Solid). Density = 15.37 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.886E+00  1.685E+00 
1.013E+00   6.930E+00  1.689E+00 
1.026E+00   6.975E+00  1.694E+00 
1.039E+00   7.020E+00  1.699E+00 
1.053E+00   7.066E+00  1.704E+00 
1.067E+00   7.112E+00  1.708E+00 
1.081E+00   7.158E+00  1.713E+00 
1.095E+00   7.204E+00  1.718E+00 
1.109E+00   7.251E+00  1.722E+00 
1.123E+00   7.298E+00  1.727E+00 
1.138E+00   7.345E+00  1.732E+00 
1.153E+00   7.392E+00  1.736E+00 
1.168E+00   7.440E+00  1.741E+00 
1.183E+00   7.489E+00  1.746E+00 
1.198E+00   7.537E+00  1.750E+00 
1.214E+00   7.586E+00  1.755E+00 
1.229E+00   7.635E+00  1.759E+00 
1.245E+00   7.684E+00  1.764E+00 
1.262E+00   7.734E+00  1.768E+00 
1.278E+00   7.784E+00  1.773E+00 
1.295E+00   7.835E+00  1.777E+00 
1.311E+00   7.885E+00  1.781E+00 
1.329E+00   7.937E+00  1.786E+00 
1.346E+00   7.988E+00  1.790E+00 
1.363E+00   8.040E+00  1.795E+00 
1.381E+00   8.092E+00  1.799E+00 
1.399E+00   8.144E+00  1.803E+00 
1.417E+00   8.197E+00  1.807E+00 
1.436E+00   8.250E+00  1.812E+00 
1.454E+00   8.303E+00  1.816E+00 
1.473E+00   8.357E+00  1.820E+00 
1.492E+00   8.411E+00  1.824E+00 
1.512E+00   8.466E+00  1.828E+00 
1.531E+00   8.521E+00  1.833E+00 
1.551E+00   8.576E+00  1.837E+00 
1.571E+00   8.631E+00  1.841E+00 
1.592E+00   8.687E+00  1.845E+00 
1.612E+00   8.744E+00  1.849E+00 
1.633E+00   8.800E+00  1.853E+00 
1.655E+00   8.857E+00  1.857E+00 
1.676E+00   8.915E+00  1.861E+00 
1.698E+00   8.972E+00  1.865E+00 
1.720E+00   9.030E+00  1.869E+00 
1.742E+00   9.089E+00  1.873E+00 
1.765E+00   9.148E+00  1.876E+00 
1.788E+00   9.207E+00  1.880E+00 
1.811E+00   9.267E+00  1.884E+00 
1.835E+00   9.327E+00  1.888E+00 
1.859E+00   9.387E+00  1.892E+00 
1.883E+00   9.448E+00  1.895E+00 
1.907E+00   9.509E+00  1.899E+00 
1.932E+00   9.571E+00  1.903E+00 
1.957E+00   9.633E+00  1.906E+00 
1.983E+00   9.695E+00  1.910E+00 
2.008E+00   9.758E+00  1.913E+00 
2.034E+00   9.821E+00  1.917E+00 
2.061E+00   9.885E+00  1.920E+00 
2.088E+00   9.949E+00  1.924E+00 
2.115E+00   1.001E+01  1.927E+00 
2.142E+00   1.008E+01  1.931E+00 
2.170E+00   1.014E+01  1.934E+00 
2.198E+00   1.021E+01  1.938E+00 
2.227E+00   1.028E+01  1.941E+00 
2.256E+00   1.034E+01  1.944E+00 
2.285E+00   1.041E+01  1.947E+00 
2.315E+00   1.048E+01  1.951E+00 
2.345E+00   1.054E+01  1.954E+00 
