Ion = Helium      . Mass = 4.0026
Tgt =  U (Solid). Density = 19.043 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.945E+00  1.606E+00 
1.013E+00   4.977E+00  1.611E+00 
1.026E+00   5.010E+00  1.616E+00 
1.039E+00   5.042E+00  1.620E+00 
1.053E+00   5.075E+00  1.625E+00 
1.067E+00   5.108E+00  1.629E+00 
1.081E+00   5.141E+00  1.634E+00 
1.095E+00   5.174E+00  1.638E+00 
1.109E+00   5.208E+00  1.643E+00 
1.123E+00   5.241E+00  1.647E+00 
1.138E+00   5.275E+00  1.652E+00 
1.153E+00   5.309E+00  1.656E+00 
1.168E+00   5.344E+00  1.661E+00 
1.183E+00   5.378E+00  1.665E+00 
1.198E+00   5.413E+00  1.670E+00 
1.214E+00   5.448E+00  1.674E+00 
1.229E+00   5.484E+00  1.678E+00 
1.245E+00   5.519E+00  1.683E+00 
1.262E+00   5.555E+00  1.687E+00 
1.278E+00   5.591E+00  1.691E+00 
1.295E+00   5.627E+00  1.696E+00 
1.311E+00   5.663E+00  1.700E+00 
1.329E+00   5.700E+00  1.704E+00 
1.346E+00   5.737E+00  1.709E+00 
1.363E+00   5.774E+00  1.713E+00 
1.381E+00   5.812E+00  1.717E+00 
1.399E+00   5.849E+00  1.721E+00 
1.417E+00   5.887E+00  1.725E+00 
1.436E+00   5.925E+00  1.730E+00 
1.454E+00   5.964E+00  1.734E+00 
1.473E+00   6.002E+00  1.738E+00 
1.492E+00   6.041E+00  1.742E+00 
1.512E+00   6.080E+00  1.746E+00 
1.531E+00   6.120E+00  1.750E+00 
1.551E+00   6.159E+00  1.754E+00 
1.571E+00   6.199E+00  1.758E+00 
1.592E+00   6.239E+00  1.762E+00 
1.612E+00   6.280E+00  1.766E+00 
1.633E+00   6.321E+00  1.770E+00 
1.655E+00   6.361E+00  1.774E+00 
1.676E+00   6.403E+00  1.778E+00 
1.698E+00   6.444E+00  1.782E+00 
1.720E+00   6.486E+00  1.786E+00 
1.742E+00   6.528E+00  1.790E+00 
1.765E+00   6.570E+00  1.794E+00 
1.788E+00   6.613E+00  1.797E+00 
1.811E+00   6.656E+00  1.801E+00 
1.835E+00   6.699E+00  1.805E+00 
1.859E+00   6.742E+00  1.809E+00 
1.883E+00   6.786E+00  1.812E+00 
1.907E+00   6.830E+00  1.816E+00 
1.932E+00   6.874E+00  1.820E+00 
1.957E+00   6.918E+00  1.823E+00 
1.983E+00   6.963E+00  1.827E+00 
2.008E+00   7.008E+00  1.831E+00 
2.034E+00   7.054E+00  1.834E+00 
2.061E+00   7.099E+00  1.838E+00 
2.088E+00   7.145E+00  1.841E+00 
2.115E+00   7.192E+00  1.845E+00 
2.142E+00   7.238E+00  1.848E+00 
2.170E+00   7.285E+00  1.852E+00 
2.198E+00   7.332E+00  1.855E+00 
2.227E+00   7.380E+00  1.858E+00 
2.256E+00   7.428E+00  1.862E+00 
2.285E+00   7.476E+00  1.865E+00 
2.315E+00   7.524E+00  1.868E+00 
2.345E+00   7.573E+00  1.872E+00 
2.375E+00   7.622E+00  1.875E+00 
2.406E+00   7.671E+00  1.878E+00 
2.438E+00   7.721E+00  1.881E+00 
2.469E+00   7.771E+00  1.884E+00 
2.501E+00   7.821E+00  1.888E+00 
2.534E+00   7.872E+00  1.891E+00 
2.567E+00   7.923E+00  1.894E+00 
2.600E+00   7.974E+00  1.897E+00 
2.634E+00   8.026E+00  1.900E+00 
2.668E+00   8.078E+00  1.903E+00 
2.703E+00   8.130E+00  1.906E+00 
2.738E+00   8.183E+00  1.909E+00 
2.773E+00   8.236E+00  1.912E+00 
2.810E+00   8.289E+00  1.914E+00 
2.846E+00   8.343E+00  1.917E+00 
2.883E+00   8.397E+00  1.920E+00 
2.921E+00   8.451E+00  1.923E+00 
2.958E+00   8.506E+00  1.926E+00 
2.997E+00   8.561E+00  1.928E+00 
3.036E+00   8.617E+00  1.931E+00 
3.075E+00   8.673E+00  1.934E+00 
3.115E+00   8.729E+00  1.936E+00 
3.156E+00   8.785E+00  1.939E+00 
3.197E+00   8.842E+00  1.941E+00 
3.238E+00   8.899E+00  1.944E+00 
3.280E+00   8.957E+00  1.946E+00 
3.323E+00   9.015E+00  1.949E+00 
3.366E+00   9.074E+00  1.951E+00 
3.410E+00   9.132E+00  1.953E+00 
3.454E+00   9.191E+00  1.956E+00 
3.499E+00   9.251E+00  1.958E+00 
3.545E+00   9.311E+00  1.960E+00 
3.591E+00   9.371E+00  1.963E+00 
3.637E+00   9.432E+00  1.965E+00 
3.685E+00   9.493E+00  1.967E+00 
3.733E+00   9.554E+00  1.969E+00 
3.781E+00   9.616E+00  1.971E+00 
3.830E+00   9.679E+00  1.973E+00 
3.880E+00   9.741E+00  1.975E+00 
3.930E+00   9.804E+00  1.977E+00 
3.982E+00   9.868E+00  1.979E+00 
4.033E+00   9.932E+00  1.981E+00 
4.086E+00   9.996E+00  1.983E+00 
4.139E+00   1.006E+01  1.985E+00 
4.193E+00   1.013E+01  1.986E+00 
4.247E+00   1.019E+01  1.988E+00 
4.302E+00   1.026E+01  1.990E+00 
4.358E+00   1.032E+01  1.991E+00 
4.415E+00   1.039E+01  1.993E+00 
4.472E+00   1.046E+01  1.995E+00 
4.530E+00   1.053E+01  1.996E+00 
4.589E+00   1.059E+01  1.998E+00 
4.649E+00   1.066E+01  1.999E+00 
4.709E+00   1.073E+01  2.001E+00 
4.770E+00   1.080E+01  2.002E+00 
4.832E+00   1.087E+01  2.003E+00 
4.895E+00   1.094E+01  2.005E+00 
4.959E+00   1.101E+01  2.006E+00 
5.023E+00   1.108E+01  2.007E+00 
5.089E+00   1.116E+01  2.008E+00 
5.155E+00   1.123E+01  2.009E+00 
5.222E+00   1.130E+01  2.010E+00 
5.290E+00   1.137E+01  2.011E+00 
5.358E+00   1.145E+01  2.012E+00 
5.428E+00   1.152E+01  2.013E+00 
5.499E+00   1.160E+01  2.014E+00 
5.570E+00   1.167E+01  2.015E+00 
5.642E+00   1.175E+01  2.016E+00 
5.716E+00   1.182E+01  2.017E+00 
